Procedure Number,Description,Standard Amount,UB Code,Modifier 1,hospital
PH001004,Latanoprost 0.005% Opth 2.5 mL,77.76,250,,Advanced_Care_Hospital_Of_Montana
PH001005,BETAXOLOL 0.5% OPHTH DROPS 10,471.64,250,,Advanced_Care_Hospital_Of_Montana
PH001007,LIDOCAINE  2%  JELLY FOR EXTER,513.4,250,,Advanced_Care_Hospital_Of_Montana
PH001008,Ofloxacin 0.3% Eye Drops,83.76,250,,Advanced_Care_Hospital_Of_Montana
PH001009,Ketotifen Fum 0.025%  Eye Drop,48.76,257,,Advanced_Care_Hospital_Of_Montana
PH001010,HydrALAZINE  INJECTION 20 MG /,45.0,250,,Advanced_Care_Hospital_Of_Montana
PH001012,ARIPiprazole 5 mg,127.3,250,,Advanced_Care_Hospital_Of_Montana
PH001013,Tetracycline 250 mg Cap,31.5,250,,Advanced_Care_Hospital_Of_Montana
PH001014,Nimodipine 30 Mg,5.76,250,,Advanced_Care_Hospital_Of_Montana
PH001015,Muro-128 5% Ophth Sol 15 mL,72.64,257,,Advanced_Care_Hospital_Of_Montana
PH001016,Tobramycin 0.3% Ophth Sol 5 mL,56.4,250,,Advanced_Care_Hospital_Of_Montana
PH001017,Lotemax 0.5% Eye Dps 5  ML,1282.08,250,,Advanced_Care_Hospital_Of_Montana
PH001018,Flurbiprofen 0.03% Ophth 2.5mL,172.8,250,,Advanced_Care_Hospital_Of_Montana
PH001019,Polymyxin B Sulf/Trimetho 10mL,53.76,250,,Advanced_Care_Hospital_Of_Montana
PH001020,Ipratropium 0.03% Nasal 30mL,182.52,250,,Advanced_Care_Hospital_Of_Montana
PH001021,IPRATROPIUM 0.06% NASAL SPRAY,182.52,250,,Advanced_Care_Hospital_Of_Montana
PH001022,Dorzolamide 2% Ophth Drop 10mL,183.56,250,,Advanced_Care_Hospital_Of_Montana
PH001023,Dorzolamide-Timolol Opth 10mL,269.96,250,,Advanced_Care_Hospital_Of_Montana
PH001024,Levobunolol 0.5% 5mL opth,96.72,250,,Advanced_Care_Hospital_Of_Montana
PH001025,NEOMYCIN -OTIC-  DRO 3.5-10K-1,402.72,250,,Advanced_Care_Hospital_Of_Montana
PH001026,Neomycin-Poly-HC OTI 3.5-10K-1,402.72,250,,Advanced_Care_Hospital_Of_Montana
PH001027,Sulfacetamide 10% 15mL opth,244.0,250,,Advanced_Care_Hospital_Of_Montana
PH001029,Neo/PolyB/Gramicidin Ophth 10,247.76,250,,Advanced_Care_Hospital_Of_Montana
PH001030,Neo/PolyBSulf/Dex Ophth 5 mL,79.44,250,,Advanced_Care_Hospital_Of_Montana
PH001031,Erythromycin 3.5 G Ophth Oint,76.0,250,,Advanced_Care_Hospital_Of_Montana
PH001032,E.E.S. Oral Suspension,1805.86,250,,Advanced_Care_Hospital_Of_Montana
PH001034,ANECREAM4 CREAM (G) 4 %,134.4,250,,Advanced_Care_Hospital_Of_Montana
PH001035,ANECREAM 5 5 %,177.6,250,,Advanced_Care_Hospital_Of_Montana
PH001036,Hyoscyamine Sulfate 0.125Mg SL,2.25,250,,Advanced_Care_Hospital_Of_Montana
PH001037,Phytonadione 5 mg Tab,267.95,250,,Advanced_Care_Hospital_Of_Montana
PH001038,Fluconazole 200 mg/100 mL,43.2,250,,Advanced_Care_Hospital_Of_Montana
PH001039,CLINDAMYCIN  IV 900 MG / 6 ML,22.8,250,,Advanced_Care_Hospital_Of_Montana
PH001040,Levofloxacin-D5W 500 mg/100 mL,52.8,250,,Advanced_Care_Hospital_Of_Montana
PH001041,Levofloxacin/D5W 750Mg/150mL,52.8,250,,Advanced_Care_Hospital_Of_Montana
PH001042,Fluconazole 400 mg/200 mL,67.2,250,,Advanced_Care_Hospital_Of_Montana
PH001043,"Heparin 5,000 Unit/mL Vial",12.48,250,,Advanced_Care_Hospital_Of_Montana
PH001044,Octreotide Acetate 500 mCg/mL,168.0,250,,Advanced_Care_Hospital_Of_Montana
PH001045,lidocaine HCl JEL/PF APP 2 % /,28.56,250,,Advanced_Care_Hospital_Of_Montana
PH001046,ENTACAPONE 200 MG,18.16,250,,Advanced_Care_Hospital_Of_Montana
PH001047,FENOFIBRATE CAPSULE 200 MG,12.6,250,,Advanced_Care_Hospital_Of_Montana
PH001049,Carbamazepine ER 100 Mg,7.86,250,,Advanced_Care_Hospital_Of_Montana
PH001050,Carbamazepine ER 200 Mg,7.86,250,,Advanced_Care_Hospital_Of_Montana
PH001051,BISOPROLOL TABLET 5 MG,5.61,250,,Advanced_Care_Hospital_Of_Montana
PH001052,VITAMIN B COMPLEX TABLET 1 EA,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001054,"Biotin 5,000 mCg = 5Mg Cap/tab",1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001055,AzaSite 1% Eye Drops 2 mL,989.8,250,,Advanced_Care_Hospital_Of_Montana
PH001056,Methylphenidate 20 mg Tab,6.0,250,,Advanced_Care_Hospital_Of_Montana
PH001057,INDOMETHACIN ER CAPSULE 75 MG,12.01,250,,Advanced_Care_Hospital_Of_Montana
PH001058,Montelukast 10 mg Tab,22.63,250,,Advanced_Care_Hospital_Of_Montana
PH001059,Montelukast Sod 4 Mg Chewable,22.63,250,,Advanced_Care_Hospital_Of_Montana
PH001060,Pioglitazone 15 mg Tab,28.02,250,,Advanced_Care_Hospital_Of_Montana
PH001061,CANDESARTAN TABLET 8 MG,12.22,250,,Advanced_Care_Hospital_Of_Montana
PH001064,Metamucil Packet 3.5g,1.77,257,,Advanced_Care_Hospital_Of_Montana
PH001065,eucalyptus oil/menth 1.2%-4.8%,31.3,257,,Advanced_Care_Hospital_Of_Montana
PH001066,"Cyanocobalamin 1,000 mCg Tab",1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001067,Thermotabs 452 mg Tab,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001068,AcetaZOLAMIDE  IV 500 MG,151.2,250,,Advanced_Care_Hospital_Of_Montana
PH001069,Neomycin Sulfate 500 mg,6.51,250,,Advanced_Care_Hospital_Of_Montana
PH001071,Amphotericin B 50 Mg IV,209.76,250,,Advanced_Care_Hospital_Of_Montana
PH001073,Ammonia 15 % (W/V),2.1,250,,Advanced_Care_Hospital_Of_Montana
PH001074,Iodosorb Gel 0.9 %,548.24,250,,Advanced_Care_Hospital_Of_Montana
PH001075,Mineral Oil 1 mL,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001076,ASPERCREME FOR EXTERNAL USE 10,27.41,250,,Advanced_Care_Hospital_Of_Montana
PH001077,Alendronate Sodium 10 Mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001078,Visine-A Eye Allerg 0.025-0.3%,36.1,257,,Advanced_Care_Hospital_Of_Montana
PH001079,Adrenalin 1 Mg/ml 30mL Vial,40.09,250,,Advanced_Care_Hospital_Of_Montana
PH001080,PPD 5T Units/0.1mL,42.64,250,,Advanced_Care_Hospital_Of_Montana
PH001081,Dantrium 20 Mg Vial,425.47,250,,Advanced_Care_Hospital_Of_Montana
PH001082,Gabapentin 250 Mg/5 mL 240 mL,3.33,250,,Advanced_Care_Hospital_Of_Montana
PH001083,Dalfampridine ER 10 mg Tab,193.6,250,,Advanced_Care_Hospital_Of_Montana
PH001084,Ivermectin 3 mg Tab,19.88,250,,Advanced_Care_Hospital_Of_Montana
PH001086,Oxycodone 5 mg Tab,2.48,250,,Advanced_Care_Hospital_Of_Montana
PH001089,Methenamine Hippurate 1Gm,8.37,250,,Advanced_Care_Hospital_Of_Montana
PH001090,Fenofibrate 145 Mg,4.47,250,,Advanced_Care_Hospital_Of_Montana
PH001091,NIFEdipine 10 mg Cap,5.15,250,,Advanced_Care_Hospital_Of_Montana
PH001092,Tretinoin 0.01% Gel 15Gm,405.24,250,,Advanced_Care_Hospital_Of_Montana
PH001093,Propranolol LA 80 mg Cap,9.54,250,,Advanced_Care_Hospital_Of_Montana
PH001094,chlordiazePOXIDE 10 MG CAP,1.59,250,,Advanced_Care_Hospital_Of_Montana
PH001095,Ropinirole 0.25 mg Tab,10.0,250,,Advanced_Care_Hospital_Of_Montana
PH001096,Ropinirole 2 mg Tab,10.0,250,,Advanced_Care_Hospital_Of_Montana
PH001097,Ropinirole Hcl 4 Mg,10.0,250,,Advanced_Care_Hospital_Of_Montana
PH001098,Bupropion SR 100 mg Tab (Q12),7.76,250,,Advanced_Care_Hospital_Of_Montana
PH001099,Bupropion SR 150 mg Tab (Q12),7.76,250,,Advanced_Care_Hospital_Of_Montana
PH001100,LisiNOpril 5 mg Tab,3.84,250,,Advanced_Care_Hospital_Of_Montana
PH001101,Voriconazole 50 Mg Tablet,50.24,250,,Advanced_Care_Hospital_Of_Montana
PH001102,OLANZAPINE TABLET 7.5 MG,64.33,250,,Advanced_Care_Hospital_Of_Montana
PH001103,AMOXICILLIN-CLAVULANATE 250 mg,5.81,250,,Advanced_Care_Hospital_Of_Montana
PH001104,SSD 1% Cream 25G,35.96,250,,Advanced_Care_Hospital_Of_Montana
PH001105,PhyTONADIONE 10 MG / 1 ML,205.28,250,,Advanced_Care_Hospital_Of_Montana
PH001106,RALOXIFENE  TABLET 60 MG,28.51,250,,Advanced_Care_Hospital_Of_Montana
PH001107,GUAR GUM 3 GRAM PACKET 0.14 OZ,1.94,250,,Advanced_Care_Hospital_Of_Montana
PH001110,PRIVIGEN 10% INFUSION 20 GRAM,14616.0,250,,Advanced_Care_Hospital_Of_Montana
PH001111,Hizentra 10 Gram/ 50 Ml Vial,9172.8,250,,Advanced_Care_Hospital_Of_Montana
PH001112,CEFEPIME  IV 1 G,27.36,250,,Advanced_Care_Hospital_Of_Montana
PH001113,CEFEPIME  IV 2 G,47.04,250,,Advanced_Care_Hospital_Of_Montana
PH001114,dexMEDEtomidine 400 MCG/4 ML,378.96,250,,Advanced_Care_Hospital_Of_Montana
PH001115,Hydrocortisone 2.5% Cream,19.6,250,,Advanced_Care_Hospital_Of_Montana
PH001116,Selenium Sul 2.5% Lotion 120mL,79.2,250,,Advanced_Care_Hospital_Of_Montana
PH001117,gentamicin 0.1% OINTMENT,395.0,250,,Advanced_Care_Hospital_Of_Montana
PH001119,Triamcinolone 0.5% Oint 15g,40.4,250,,Advanced_Care_Hospital_Of_Montana
PH001120,Triamcin Acet Oin 0.1% 454Gm,165.36,250,,Advanced_Care_Hospital_Of_Montana
PH001122,MESALAMINE ENEMA 4 G / 60 ML,97.16,250,,Advanced_Care_Hospital_Of_Montana
PH001123,Mupirocin 2% 22g Oint,45.0,250,,Advanced_Care_Hospital_Of_Montana
PH001124,Hydrocortisone-Pramox Crm 28Gm,568.12,250,,Advanced_Care_Hospital_Of_Montana
PH001125,Fluocinonide 0.1% Crm 30 Gm,79.4,250,,Advanced_Care_Hospital_Of_Montana
PH001126,Muscle Rub 10% Cream,13.96,257,,Advanced_Care_Hospital_Of_Montana
PH001127,Fluticasone Prop 0.005% 30Gm,137.2,250,,Advanced_Care_Hospital_Of_Montana
PH001129,Benzoyl Peroxide 10% Wash,56.64,257,,Advanced_Care_Hospital_Of_Montana
PH001130,Sodium Chl 0.65% Nasa Spray,15.96,257,,Advanced_Care_Hospital_Of_Montana
PH001131,ANTI-ITCH CREAM 2% FOR EXTERNA,15.96,257,,Advanced_Care_Hospital_Of_Montana
PH001132,Afrin 0.05%,15.96,257,,Advanced_Care_Hospital_Of_Montana
PH001134,Hydrocortisone 1% Cream 28.5G,15.96,257,,Advanced_Care_Hospital_Of_Montana
PH001136,Econazole Nitrate 1% Crm 30Gm,240.28,250,,Advanced_Care_Hospital_Of_Montana
PH001137,Ammonium Lactate 12% Lotion,72.96,257,,Advanced_Care_Hospital_Of_Montana
PH001138,TACROLIMUS OINT. (G) 0.1 %,1055.16,250,,Advanced_Care_Hospital_Of_Montana
PH001139,Desipramine  25 mg Tab,5.69,250,,Advanced_Care_Hospital_Of_Montana
PH001140,sodium polystyrene 15 G/60 ML,1.53,250,,Advanced_Care_Hospital_Of_Montana
PH001141,SODIUM POLYSTYRENE 15 G/60 ML,95.6,250,,Advanced_Care_Hospital_Of_Montana
PH001142,Salonpas,5.6,250,,Advanced_Care_Hospital_Of_Montana
PH001143,Calmoseptine Oint 71 g,24.0,250,,Advanced_Care_Hospital_Of_Montana
PH001144,DULoxetine,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001145,Vecuronium 10 mg Vial,40.8,250,,Advanced_Care_Hospital_Of_Montana
PH001146,Nitroglycerin 0.6mg/hr Patch,12.61,250,,Advanced_Care_Hospital_Of_Montana
PH001147,Acarbose 100 Mg Tablet,4.64,250,,Advanced_Care_Hospital_Of_Montana
PH001148,Buprenor/Naloxone 4mg-1mg Film,35.16,250,,Advanced_Care_Hospital_Of_Montana
PH001151,Biotene Moisturizing M 1 spray,21.46,250,,Advanced_Care_Hospital_Of_Montana
PH001154,Head & Shoulders Shampoo 1%,29.96,250,,Advanced_Care_Hospital_Of_Montana
PH001156,Imovax Rabies Vacc+ d 2.5 unit,1849.92,250,,Advanced_Care_Hospital_Of_Montana
PH001158,Epsom Salt Granules,6.36,257,,Advanced_Care_Hospital_Of_Montana
PH001159,TRIPLE ANTIBIOTIC F 3.5-400-5K,23.96,257,,Advanced_Care_Hospital_Of_Montana
PH001160,Benadryl 12.5 mg/5 mL,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH001161,PYRIDIUM 95 MG,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH001163,Lice Treatme 1% Crm Rnse 59mL,27.41,257,,Advanced_Care_Hospital_Of_Montana
PH001164,Bengay Cream 114 Gm,16.51,257,,Advanced_Care_Hospital_Of_Montana
PH001165,LotriMIN 1% Cream 30Gm,18.91,257,,Advanced_Care_Hospital_Of_Montana
PH001166,Docusate CALCIUM 240 Mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001167,Caldyphen Lotion SM 177mL,12.19,257,,Advanced_Care_Hospital_Of_Montana
PH001168,ANTI-DIARRHEAL TABLET 2 MG,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH001170,Ubidecarenone 100 mg Softgel,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH001171,Advanced Moist Eye Drops 15mL,6.62,257,,Advanced_Care_Hospital_Of_Montana
PH001172,Terbinafine 1% Cream,33.7,257,,Advanced_Care_Hospital_Of_Montana
PH001173,Peg400 Lubricant Eye Drop 15mL,19.34,257,,Advanced_Care_Hospital_Of_Montana
PH001174,Loperamide 1Mg/7.5mL 120mL,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH001175,Amicar 500 mg,97.72,250,,Advanced_Care_Hospital_Of_Montana
PH001176,Epipen Jr 2-pak 0.15 mg Inj,1460.66,250,,Advanced_Care_Hospital_Of_Montana
PH001177,Perforomist 20 mcg/2 mL,89.23,250,,Advanced_Care_Hospital_Of_Montana
PH001180,Yupelri 175 mcg/3 mL Neb Sol,185.47,250,,Advanced_Care_Hospital_Of_Montana
PH001181,Tivicay 25 Mg Tablet,153.34,250,,Advanced_Care_Hospital_Of_Montana
PH001182,Tivicay 50 Mg Tablet,306.67,250,,Advanced_Care_Hospital_Of_Montana
PH001184,TRANYLCYPROMINE SULFATE 10 mg,14.44,250,,Advanced_Care_Hospital_Of_Montana
PH001185,imipramine Hcl 10 Mg Tablet,1.72,250,,Advanced_Care_Hospital_Of_Montana
PH001186,IMIPRAMINE TABLET 50 MG,4.87,250,,Advanced_Care_Hospital_Of_Montana
PH001188,Megestrol Acetate 20 Mg,2.77,250,,Advanced_Care_Hospital_Of_Montana
PH001189,Oxandrolone 2.5Mg,22.12,250,,Advanced_Care_Hospital_Of_Montana
PH001190,Metoprolol SUCCINATE ER 50 Mg,5.12,250,,Advanced_Care_Hospital_Of_Montana
PH001192,Methimazole 5 Mg,1.78,250,,Advanced_Care_Hospital_Of_Montana
PH001193,Hydroxyurea 500 mg Cap,5.11,250,,Advanced_Care_Hospital_Of_Montana
PH001195,Dronabinol 2.5 Mg,23.56,250,,Advanced_Care_Hospital_Of_Montana
PH001196,Nateglinide 120 mg Tab,6.91,250,,Advanced_Care_Hospital_Of_Montana
PH001197,Dapsone 100 mg,13.44,250,,Advanced_Care_Hospital_Of_Montana
PH001198,HydrOXYzine 25 Mg Tab,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001199,Metronidazole 500 Mg,2.91,250,,Advanced_Care_Hospital_Of_Montana
PH001200,Theophylline Anh ER 100MG,1.77,250,,Advanced_Care_Hospital_Of_Montana
PH001201,Azithromycin  250 mg Tab,31.13,250,,Advanced_Care_Hospital_Of_Montana
PH001202,Torsemide 100 Mg Tab,12.17,250,,Advanced_Care_Hospital_Of_Montana
PH001203,Ergocalciferol (vitamin D2),3.82,250,,Advanced_Care_Hospital_Of_Montana
PH001204,Cathflo Activase 2 mg,734.69,250,,Advanced_Care_Hospital_Of_Montana
PH001205,Activase 50 mg,21120.86,250,,Advanced_Care_Hospital_Of_Montana
PH001206,Pulmozyme 1 mg/ml Ampule,551.62,250,,Advanced_Care_Hospital_Of_Montana
PH001207,NAPROXEN 250 MG,3.11,250,,Advanced_Care_Hospital_Of_Montana
PH001208,Torsemide 10 Mg,2.85,250,,Advanced_Care_Hospital_Of_Montana
PH001209,Gatifloxacin 0.5% Ophth 2.5 mL,472.64,250,,Advanced_Care_Hospital_Of_Montana
PH001212,Fluticasone 50 mcg Nasal Spray,337.28,250,,Advanced_Care_Hospital_Of_Montana
PH001213,Lorazepam 2Mg/mL Oral Concentr,6.4,250,,Advanced_Care_Hospital_Of_Montana
PH001214,Lidocaine 2% Visc 100mL,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001215,FERROUS SULFATE SOLUTION 120 M,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH001216,Lactulose 20 G/30 mL Solution,11.92,250,,Advanced_Care_Hospital_Of_Montana
PH001218,BUPRENORPHINE SUBL TAB 8 MG,33.93,250,,Advanced_Care_Hospital_Of_Montana
PH001219,Elmiron 100 mg Cap,46.0,250,,Advanced_Care_Hospital_Of_Montana
PH001220,Invokana 100 Mg Tablet,86.95,250,,Advanced_Care_Hospital_Of_Montana
PH001221,Sporanox 10 Mg/mL Sol 150 mL,10.97,250,,Advanced_Care_Hospital_Of_Montana
PH001222,Razadyne ER 8 mg,51.23,250,,Advanced_Care_Hospital_Of_Montana
PH001223,Xarelto 15 Mg Tablet,78.8,250,,Advanced_Care_Hospital_Of_Montana
PH001224,Xarelto 20 mg Tab,78.8,250,,Advanced_Care_Hospital_Of_Montana
PH001225,Xarelto 10 Mg Tablet,78.8,250,,Advanced_Care_Hospital_Of_Montana
PH001226,Risperidone 0.5 Mg,5.74,250,,Advanced_Care_Hospital_Of_Montana
PH001227,Risperidone 2 Mg,15.74,250,,Advanced_Care_Hospital_Of_Montana
PH001228,Nucynta 50 Mg Tablet,36.88,250,,Advanced_Care_Hospital_Of_Montana
PH001229,Theo-24 ER 300 Mg Capsule,13.19,250,,Advanced_Care_Hospital_Of_Montana
PH001230,Neupro 2 mg Patch,114.0,250,,Advanced_Care_Hospital_Of_Montana
PH001231,Neupro 4 Mg/24 Hr Patch,114.0,250,,Advanced_Care_Hospital_Of_Montana
PH001232,Neupro 6 mg Patch,114.0,250,,Advanced_Care_Hospital_Of_Montana
PH001233,SANTYL 30 GM OINTMENT 250 UNIT,1253.76,250,,Advanced_Care_Hospital_Of_Montana
PH001234,Nifedipine ER 30 mg Tab,5.58,250,,Advanced_Care_Hospital_Of_Montana
PH001235,Mouthkote Solution 1 spray,54.0,250,,Advanced_Care_Hospital_Of_Montana
PH001236,Acetaminophen 325 mg tablet,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001237,Metolazone 2.5 Mg,9.8,250,,Advanced_Care_Hospital_Of_Montana
PH001238,Metolazone 5 mg Tab,14.93,250,,Advanced_Care_Hospital_Of_Montana
PH001239,Torsemide 20 Mg,3.32,250,,Advanced_Care_Hospital_Of_Montana
PH001241,Carisoprodol 350 Mg,2.83,250,,Advanced_Care_Hospital_Of_Montana
PH001242,Chlorthalidone 25 Mg,9.18,250,,Advanced_Care_Hospital_Of_Montana
PH001243,Isoniazid 300 Mg Tab,5.15,250,,Advanced_Care_Hospital_Of_Montana
PH001244,Meclizine 12.5 Mg,2.8,250,,Advanced_Care_Hospital_Of_Montana
PH001245,Spironolactone 25 Mg,1.71,250,,Advanced_Care_Hospital_Of_Montana
PH001246,Amitriptyline 25 Mg,2.54,250,,Advanced_Care_Hospital_Of_Montana
PH001247,Dicyclomine 10 Mg,2.39,250,,Advanced_Care_Hospital_Of_Montana
PH001248,Amitriptyline 10 Mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001249,Chlordiazepoxide 25 Mg,2.67,250,,Advanced_Care_Hospital_Of_Montana
PH001250,Indomethacin 25 mg Cap,1.72,250,,Advanced_Care_Hospital_Of_Montana
PH001251,Methyldopa 250 Mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001252,METHYLDOPA TABLET 500 MG,2.69,250,,Advanced_Care_Hospital_Of_Montana
PH001253,Allopurinol 100 Mg,1.51,250,,Advanced_Care_Hospital_Of_Montana
PH001254,Metronidazole 250 mg Tab,1.91,250,,Advanced_Care_Hospital_Of_Montana
PH001255,Propranolol 10 mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001256,Propranolol 40Mg,5.21,250,,Advanced_Care_Hospital_Of_Montana
PH001257,Metoclopramide 10 Mg,2.88,250,,Advanced_Care_Hospital_Of_Montana
PH001258,Diazepam 2 Mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001259,Diazepam 5 Mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001260,Clonidine 0.1 mg Tab,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001261,Chlordiazepoxide 5 Mg,3.24,250,,Advanced_Care_Hospital_Of_Montana
PH001262,Lorazepam 1 Mg,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001264,Temazepam 15 Mg,2.86,250,,Advanced_Care_Hospital_Of_Montana
PH001265,Glimepiride 4 Mg Tab,4.92,250,,Advanced_Care_Hospital_Of_Montana
PH001266,Doxepin 10 Mg,2.56,250,,Advanced_Care_Hospital_Of_Montana
PH001267,Doxepin 25 mg Cap,3.37,250,,Advanced_Care_Hospital_Of_Montana
PH001268,Levothyroxine 50 mCg,2.16,250,,Advanced_Care_Hospital_Of_Montana
PH001269,Levothyroxine 75 mCg,2.39,250,,Advanced_Care_Hospital_Of_Montana
PH001270,Levothyroxine 100 mCg,2.45,250,,Advanced_Care_Hospital_Of_Montana
PH001271,Levothyroxine 125 mCg,2.87,250,,Advanced_Care_Hospital_Of_Montana
PH001272,Simvastatin 10 mg Tab,11.16,250,,Advanced_Care_Hospital_Of_Montana
PH001273,Pravastatin,13.07,250,,Advanced_Care_Hospital_Of_Montana
PH001274,Venlafaxine 75Mg,8.74,250,,Advanced_Care_Hospital_Of_Montana
PH001275,Fluphenazine,46.4,250,,Advanced_Care_Hospital_Of_Montana
PH001277,Mycophenolate Sod 360 Mg DR,40.52,250,,Advanced_Care_Hospital_Of_Montana
PH001278,Chlorpromazine  25 mg Tab,38.24,250,,Advanced_Care_Hospital_Of_Montana
PH001279,Repaglinide 1 MG,14.21,250,,Advanced_Care_Hospital_Of_Montana
PH001280,Acyclovir 5% Ointment 5 gram,561.52,250,,Advanced_Care_Hospital_Of_Montana
PH001281,Modafinil 100 Mg,105.51,250,,Advanced_Care_Hospital_Of_Montana
PH001282,Sulfamylon 8.5% Cream,290.48,250,,Advanced_Care_Hospital_Of_Montana
PH001283,Prazosin 1 mg Cap,7.25,250,,Advanced_Care_Hospital_Of_Montana
PH001284,Methotrexate 2.5 mg Tab,24.95,250,,Advanced_Care_Hospital_Of_Montana
PH001285,Atenolol 50 Mg,3.57,250,,Advanced_Care_Hospital_Of_Montana
PH001286,Loperamide 2 mg Cap,3.5,250,,Advanced_Care_Hospital_Of_Montana
PH001287,Topiramate 25 mg,8.4,250,,Advanced_Care_Hospital_Of_Montana
PH001288,Ibuprofen 200 Mg Tab,1.5,257,,Advanced_Care_Hospital_Of_Montana
PH001289,haloperidoL 0.5 MG TABLET,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001290,Diltiazem 30 mg Tab,1.8,250,,Advanced_Care_Hospital_Of_Montana
PH001291,Diltiazem 90 mg Tab,3.43,250,,Advanced_Care_Hospital_Of_Montana
PH001293,Atenolol 25 mg Tab,3.2,250,,Advanced_Care_Hospital_Of_Montana
PH001294,Zonisamide 100 Mg,7.9,250,,Advanced_Care_Hospital_Of_Montana
PH001295,Carvedilol 3.125 Mg,8.54,250,,Advanced_Care_Hospital_Of_Montana
PH001296,PAROXETINE  TABLET 20 MG,10.91,250,,Advanced_Care_Hospital_Of_Montana
PH001297,Gabapentin 300 Mg Cap,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001298,Alprazolam 1 Mg,4.05,250,,Advanced_Care_Hospital_Of_Montana
PH001299,Glipizide 5 Mg Tab,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001301,Nadolol 40 mg Tab,28.91,250,,Advanced_Care_Hospital_Of_Montana
PH001302,Galantamine Hbr 4 Mg,16.89,250,,Advanced_Care_Hospital_Of_Montana
PH001303,Captopril 25 Mg,7.45,250,,Advanced_Care_Hospital_Of_Montana
PH001304,Carbamazepine Chew Tab,2.46,250,,Advanced_Care_Hospital_Of_Montana
PH001305,Sucralfate 1 Gm Tab,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001306,Clonazepam 1 Mg,3.62,250,,Advanced_Care_Hospital_Of_Montana
PH001307,Pentoxifylline ER 400 Mg,5.99,250,,Advanced_Care_Hospital_Of_Montana
PH001308,Rifampin 300 Mg,5.31,250,,Advanced_Care_Hospital_Of_Montana
PH001309,Bumetanide 1 Mg,8.54,250,,Advanced_Care_Hospital_Of_Montana
PH001310,Verapamil ER 120 Mg,9.27,250,,Advanced_Care_Hospital_Of_Montana
PH001311,Verapamil ER 180 Mg,9.97,250,,Advanced_Care_Hospital_Of_Montana
PH001312,Loxapine 25 mg Cap,1.5,250,,Advanced_Care_Hospital_Of_Montana
PH001313,Diltiazem SR 90 mg (q12h) Cap,18.69,250,,Advanced_Care_Hospital_Of_Montana
PH001314,Labetalol 100 mg Tab,1.93,250,,Advanced_Care_Hospital_Of_Montana
PH001315,Carvedilol 6.25 Mg,8.54,250,,Advanced_Care_Hospital_Of_Montana
PH001316,Carvedilol 25 Mg,8.54,250,,Advanced_Care_Hospital_Of_Montana
PH001317,Triam/HCTZ 37.5-25Mg,1.81,250,,Advanced_Care_Hospital_Of_Montana
PH001318,Bupropion,6.19,250,,Advanced_Care_Hospital_Of_Montana
PH001319,Doxazosin Mesylate 2 Mg,15.03,250,,Advanced_Care_Hospital_Of_Montana
PH001320,Doxazosin 4 mg Tab,15.78,250,,Advanced_Care_Hospital_Of_Montana
PH001321,Famotidine 20 Mg Tab,6.96,250,,Advanced_Care_Hospital_Of_Montana
PH001322,BuSpirone 5 Mg,3.08,250,,Advanced_Care_Hospital_Of_Montana
PH001323,Buspirone Hcl 10 Mg Tab,5.38,250,,Advanced_Care_Hospital_Of_Montana
PH001324,Tramadol 50 Mg,3.18,250,,Advanced_Care_Hospital_Of_Montana
PH001325,Tizanidine 4 Mg,10.2,250,,Advanced_Care_Hospital_Of_Montana
PH001326,Naltrexone 50 mg Tablet,13.77,250,,Advanced_Care_Hospital_Of_Montana
PH001327,Vesicare 5 mg,61.68,250,,Advanced_Care_Hospital_Of_Montana
PH001330,Azactam Frozen 1 Gm/50 mL,159.7,250,,Advanced_Care_Hospital_Of_Montana
PH001331,Azactam Frozen 2 Gm/50 mL,319.82,250,,Advanced_Care_Hospital_Of_Montana
