Charge Master Code,Description,Invoice Label,Dynamic Pricing,Price,Soft Code,HCPCS Code,HCPCS Multiplier,Revenue Code,Effective Date,Expiration Date,Department,Fractional Billing,Minimum Price,Default Cost,Cost Multiplier,Charge Code Type,hospital
5358,THERMOMETER VACCINE  FREEZER/ REFRIGERATOR DIGITAL W/ ALARM,THERMOMETER VACCINE,,45.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5470,TIP YANKAUER SUCTION STERILE  BULB TIP W/O VENT LATEX FREE,TIP YANKAUER SUCTION,,12.5,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5190,TOURNIQUET 1X18IN BLUE LATEX  FREE 250/BG,TOURNIQUET BLUE,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5468,"TOURNIQUET PINK LF TEXTUR     4/250 1""""X18 MAGENTA",TOURNIQUET PINK,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5184,TRACH QUICK 2.0MM             CRICOTHYROTOMY SINGLE USE,TRACH QUICK 2.0MM,,172.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5396,TRACH QUICK 4.0MM             CRICOTHYROTOMY SINGLE USE,TRACH QUICK 4.0MM,,172.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5121,TRANSFER PIPETTE 5ML GRAD     500/BX 10BX/CA,TRANSFER PIPETTE,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5151,TRANSFER PIPETTE 5ML GRAD     500/BX 10BX/CA,TRANSFER PIPETTE,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5355,TRAY BASIC LACERATION STERILE COMFORT LOOP INSTRUMENTS,TRAY BASIC LACERATION,,25.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5301,TRAY DRESSING CHANGE W/       INSTRUMENTS & ABDOMINAL PAD,TRAY DRESSING,,25.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5285,TRAY URETHRAL 15FR            BARD BILEVEL CATHETERIZATION,TRAY URETHRAL 15FR,,30.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5133,TUBE VACUTAINER 3ML LIGHTGREENLITHIUM/HEPARIN PLUS PSG,TUBE VACUTAINER LIGHTGREEN,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5199,TUBE VACUTAINER 4ML LAVENDER  RUBBER STOPPER 7.2MG K2EDTA,TUBE VACUTAINER LAVENDER,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5202,TUBE VACUTAINER 4ML LAVENDER  RUBBER STOPPER 7.2MG K2EDTA,TUBE VACUTAINER LAVENDER,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5329,TUBE VACUTAINER 4ML LAVENDER  RUBBER STOPPER 7.2MG K2EDTA,TUBE VACUTAINER LAVENDER,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5276,TUBE VACUTAINER 8.5ML DRAW    16X100MM PLASTIC STERILE BLOOD,TUBE VACUTAINER 8.5ML,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5282,TUBE YANKAUER SUCTION REGULAR ARGYLE FLEXIBLE VINYL SINGLE,TUBE YANKAUER SUCTION,,12.5,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5414,TUBING EXTENSION URINARY 18IN W/CONNECTOR NONSTERILE,TUBING EXTENSION URINARY 18IN,,12.5,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5475,UNIT BLOOD PRESSURE XLARGE    CUFF BARIATRIC DIGITAL,UNIT BLOOD PRESSURE,,175.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5294,URINAL MALE 1000CC 1QT W/ LID TRANSLUCENT DISPOSABLE,URINAL MALE,,18.8,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5213,URINE CONTROL DIPSTICK        POS & NEG 3 X 10ML EACH,URINE CONTROL DIPSTICK,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5420,URINE CONTROL LIQ. MICRO,URINE CONTROL,,0.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5363,WALKER AIR EQUALIZER MEDIUM   BLACK W/ HOOK & LOOP STRAPS,WALKER AIR EQUALIZER,,76.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5305,WATER STERILE 250ML IRRIGATIONPLASTIC POUR BOTTLE,WATER STERILE 250ML IRRIGATION,,20.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5200,WRAP COBAN LF 2INX5YD BRIGHTS PACK SELF ADHERENT ASST COLORS,WRAP COBAN,,10.7,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5191,"WRIST BRACE LEFT UNIV         7.25""""",WRIST BRACE,,60.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5140,WRIST BRACE LG RT BLK,WRIST BRACE,,60.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5437,WRIST BRACE MD RT BLK,WRIST BRACE,,60.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5395,"WRIST BRACE RIGHT UNIV        7.25""""",WRIST BRACE,,60.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5364,WRIST BRACE SM RT BLK,WRIST BRACE,,60.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
5275,WRIST BRACE XL RT,WRIST BRACE,,60.0,,,1.0,270,2017-06-06,,CC_CENTRAL SUPPLY,,,,,Standard,Granite_County_Medical_Center
6001,A/G RATIO,A/G RATIO,,65.0,,,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6002,ALBUMIN,ALBUMIN,,53.0,,82040,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6004,ALKALINE PHOSPHATASE,ALKALINE PHOSPHATASE,,53.0,,84075,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6005,ALT(SGTP),ALT(SGTP),,53.0,,84460,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6007,AMYLASE,AMYLASE,,64.0,,82150,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6008,ANA SCREEN RFLX,ANA SCREEN RFLX,,74.0,,86038,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6010,ANION GAP,ANION GAP,,53.0,,,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6011,AST(SGOT),AST(SGOT),,82.0,,84450,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6013,BASIC METABOLIC PROFILE,BASIC METABOLIC PROFILE,,126.0,,80048,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6014,"BETA HCG, QUANT","BETA HCG, QUANT",,46.0,,84702,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6015,B-TYPE NATRIURETIC PEPTIDE,B-TYPE NATRIURETIC PEPTIDE,,115.0,,83880,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6016,BUN,BUN,,53.0,,84520,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6017,BUN/CREAT RATIO,BUN/CREAT RATIO,,74.0,,82565,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6018,C PEPTIDE,C PEPTIDE,,115.0,,84681,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6019,C REACTIVE PROTEIN,C REACTIVE PROTEIN,,43.0,,86140,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6020,CA 15-3,CA 15-3,,125.0,,86300,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6021,CALCIUM,CALCIUM,,53.0,,82310,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6022,CAPILLARY COLLECTION (FINGERSTICK),CAPILLARY COLLECTION (FINGERSTICK),,10.0,,36416,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6023,CARBAMAZAPINE,CARBAMAZAPINE,,119.0,,80156,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6024,CARBON DIOXIDE,CARBON DIOXIDE,,90.0,,82374,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6025,CARBOXYHEMOGLOBIN,CARBOXYHEMOGLOBIN,,92.0,,82375,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6027,CELIAC PANEL EXTENDED RFLX,CELIAC PANEL EXTENDED RFLX,,185.0,,,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6028,CHLAMYDIA TRACHOMATIS CULTURE,CHLAMYDIA TRACHOMATIS CULTURE,,84.0,,86631,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6029,CHLORIDE,CHLORIDE,,50.0,,82435,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6030,CHOLESTEROL,CHOLESTEROL,,25.0,,82465,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6031,CLOSTRIDIUM DIFFICILE TOXIN,CLOSTRIDIUM DIFFICILE TOXIN,,104.0,,87493,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6032,COMP METABOLIC PROFILE,COMP METABOLIC PROFILE,,173.0,,80053,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6033,COMPLETE BLOOD COUNT W/ AUTO DIFFERENTIAL,COMPLETE BLOOD COUNT W/ AUTO DIFFERENTIAL,,94.0,,85025,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6035,"CORTISOL, AM","CORTISOL, AM",,100.0,,82533,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6036,CREATINE KINASE (TOTAL),CREATINE KINASE (TOTAL),,42.0,,82550,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6038,CREATININE,CREATININE,,74.0,,82565,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6045,CULTURE FUNGUS RFLX,CULTURE FUNGUS RFLX,,98.0,,87101,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6046,CULTURE GENITAL RFLX,CULTURE GENITAL RFLX,,60.0,,87070,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6047,CULTURE RESPIRATORY RFLX,CULTURE RESPIRATORY RFLX,,60.0,,89220,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6049,CULTURE STOOL/YER/SHIGA RFLX,CULTURE STOOL/YER/SHIGA RFLX,,52.0,,87045,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6051,CULTURE WOUND RFLX,CULTURE WOUND RFLX,,50.0,,87070,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6052,CULTURE YERSINIA SCRN RFLX,CULTURE YERSINIA SCRN RFLX,,50.0,,87046,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6053,"CYCLIC CITRULLINE PEP AB, IGG","CYCLIC CITRULLINE PEP AB, IGG",,30.0,,86200,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6054,CYCLOSPORINE A BY LC/MS/MS,CYCLOSPORINE A BY LC/MS/MS,,35.0,,80158,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6055,BLOOD COLLECTION AND HANDLING,BLOOD COLLECTION AND HANDLING,,25.0,,99000,1.0,309,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6056,D-DIMER,D-DIMER,,88.0,,85379,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6057,DIGOXIN,DIGOXIN,,78.0,,80162,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6058,DIRECT BILIRUBIN,DIRECT BILIRUBIN,,22.0,,82248,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6059,ELECTROLYTE PROFILE,ELECTROLYTE PROFILE,,66.0,,80051,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6060,ESTIMATED GFR,ESTIMATED GFR,,38.0,,,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6061,ESTIMATED GFR NON-AFRICAN AMERICAN (MDRD),ESTIMATED GFR NON-AFRICAN AMERICAN (MDRD),,38.0,,,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6062,FERRITIN,FERRITIN,,92.0,,82728,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6063,FIBRINOGEN,FIBRINOGEN,,42.0,,85362,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6064,FOLATE,FOLATE,,80.0,,82746,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6066,FSH (FOLLICLE STIM HORMONE),FSH (FOLLICLE STIM HORMONE),,96.0,,83001,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6067,GGT,GGT,,54.0,,82977,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6068,GLOBULIN,GLOBULIN,,32.0,,84442,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6069,GLUCOSE,GLUCOSE,,54.0,,82962,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6070,"H. PYLORI AB, IGM","H. PYLORI AB, IGM",,88.0,,87338,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6074,HDL CHOLESTEROL,HDL CHOLESTEROL,,54.0,,83718,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6075,HDL RISK FACTOR,HDL RISK FACTOR,,54.0,,83718,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6076,HEMOGLOBIN A1C,HEMOGLOBIN A1C,,94.0,,83036,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6077,HEPATIC PROFILE,HEPATIC PROFILE,,146.0,,80076,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6078,"HEPATITIS B CORE AB, IGM","HEPATITIS B CORE AB, IGM",,68.0,,86705,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6080,"HEPATITIS B SURFACE AB, QUANT","HEPATITIS B SURFACE AB, QUANT",,266.0,,87517,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6081,HEPATITIS B SURFACE AG RFLX,HEPATITIS B SURFACE AG RFLX,,68.0,,87340,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6082,HEPATITIS C AB,HEPATITIS C AB,,95.0,,86803,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6086,HLA B27 RFLX,HLA B27 RFLX,,125.0,,86813,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6087,IGA,IGA,,134.0,,82784,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6089,INFECTIOUS MONONUCLEOSIS,INFECTIOUS MONONUCLEOSIS,,40.0,,86308,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6090,INFLUENZA A/B AG (EIA),INFLUENZA A/B AG (EIA),,122.0,,87400,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6091,INSULIN,INSULIN,,156.0,,83525,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6092,IRON,IRON,,42.0,,83540,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6093,IRON AND IRON BINDING CAPACITY,IRON AND IRON BINDING CAPACITY,,56.0,,83550,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6094,KEPPRA (LEVETIRACETAM),KEPPRA (LEVETIRACETAM),,92.0,,80177,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6095,"LACTOFERRIN, FECAL (ELISA)","LACTOFERRIN, FECAL (ELISA)",,136.0,,83630,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6096,LAMOTRIGINE,LAMOTRIGINE,,125.0,,80175,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6097,LDL (CALCULATED),LDL (CALCULATED),,80.0,,83721,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6098,LH AND FSH,LH AND FSH,,98.0,,,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6099,LIPASE,LIPASE,,66.0,,83690,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6100,LIPID PROFILE,LIPID PROFILE,,125.0,,80061,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6101,LITHIUM,LITHIUM,,52.0,,80178,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6102,LYME AB SCREEN RFLX,LYME AB SCREEN RFLX,,115.0,,86618,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6104,MANUAL DIFFERENTIAL,MANUAL DIFFERENTIAL,,35.0,,85007,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6106,MICROALBUMIN/CREATININE RATIO,MICROALBUMIN/CREATININE RATIO,,120.0,,,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6107,MYOGLOBIN,MYOGLOBIN,,98.0,,83874,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6108,OCCULT BLOOD X3,OCCULT BLOOD X3,,42.0,,82270,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6109,ORGANISM SENSI-EACH ORGANISM,ORGANISM SENSI-EACH ORGANISM,,42.0,,87076,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6110,OSMOLALITY,OSMOLALITY,,62.0,,83930,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6111,OVA AND PARASITES,OVA AND PARASITES,,48.0,,87177,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6112,PARATHYROID HORMONE-INTACT,PARATHYROID HORMONE-INTACT,,225.0,,83970,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6113,PARTIAL THROMBOPLASTIN TIME,PARTIAL THROMBOPLASTIN TIME,,52.0,,85730,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6114,PATHOLOGIST DIFFERENTIAL,PATHOLOGIST DIFFERENTIAL,,75.0,,88304,1.0,309,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6115,PHENYTOIN,PHENYTOIN,,82.0,,80185,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6117,POTASSIUM,POTASSIUM,,68.0,,84132,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6118,PREALBUMIN,PREALBUMIN,,131.0,,84134,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6119,PROLACTIN,PROLACTIN,,105.0,,84146,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6120,PROTHROMBIN TIME,PROTHROMBIN TIME,,55.0,,85610,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6123,RAPID INFLUENZA A/B,RAPID INFLUENZA A/B,,120.0,,87400,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6125,REFERENCE TEST TO QUEST,REFERENCE TEST TO QUEST,,25.0,,,1.0,309,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6126,"RETICULOCYTE COUNT, AUTOMATED","RETICULOCYTE COUNT, AUTOMATED",,76.0,,85044,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6127,RHEUMATOID FACTOR,RHEUMATOID FACTOR,,42.0,,86431,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6128,ROCKY MTN SPOTTED FEVER ABS,ROCKY MTN SPOTTED FEVER ABS,,98.0,,86757,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6130,SED RATE,SED RATE,,28.0,,85651,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6131,SEXUAL HEALTH PANEL FEMALE RFLX,SEXUAL HEALTH PANEL FEMALE RFLX,,258.0,,,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6132,SEXUAL HEALTH PANEL MALE RFLX,SEXUAL HEALTH PANEL MALE RFLX,,258.0,,,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6133,SMOOTH MUSCLE ABS,SMOOTH MUSCLE ABS,,32.0,,86255,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6134,SODIUM,SODIUM,,50.0,,84295,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6136,"T3, FREE","T3, FREE",,125.0,,84481,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6137,"TESTOS, TOT (ADULT MALE)","TESTOS, TOT (ADULT MALE)",,142.0,,84403,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6140,TISSUE TRANSGLUTAMINASE AB IGA,TISSUE TRANSGLUTAMINASE AB IGA,,134.0,,82784,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6147,UA DIPSTICK ONLY,UA DIPSTICK ONLY,,22.0,,81002,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6148,URIC ACID SERUM,URIC ACID SERUM,,53.0,,84550,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6152,VALPROIC ACID,VALPROIC ACID,,20.0,,80164,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6153,VENIPUNCTURE,VENIPUNCTURE,,25.0,,36415,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6154,VIRAL CULTURE RFLX,VIRAL CULTURE RFLX,,95.0,,86790,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6155,"VITAMIN B1, WHOLE BLOOD","VITAMIN B1, WHOLE BLOOD",,88.0,,84425,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6156,VITAMIN B12,VITAMIN B12,,88.0,,82607,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6159,VLDL (CALCULATED),VLDL (CALCULATED),,21.0,,84478,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6160,"VZV AB, IGG","VZV AB, IGG",,32.0,,86787,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6161,WEST NILE VIRUS RNA (RT-PCR),WEST NILE VIRUS RNA (RT-PCR),,145.0,,86789,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
6162,WET PREP,WET PREP,,45.0,,87210,1.0,300,2017-06-06,,CC_LAB,,,,,Standard,Granite_County_Medical_Center
7000,CARDIOPULMONARY RESUSCITATION CART,CARDIOPULMONARY RESUSCITATION CART,,874.0,,92950,1.0,480,2017-06-06,,CC_EKG,,,,,Standard,Granite_County_Medical_Center
7002,HOLTER MONITOR,HOLTER MONITOR,,125.0,,93225,1.0,731,2017-06-06,,CC_EKG,,,,,Standard,Granite_County_Medical_Center
8000,ABDOMEN 3 VIEWS,ABDOMEN 3 VIEWS,,250.0,,74022,1.0,320,2017-06-06,,CC_RAD,,,,,Standard,Granite_County_Medical_Center
8001,A-C JOINTS BILATERAL,A-C JOINTS BILATERAL,,200.0,,73050,1.0,320,2017-06-06,,CC_RAD,,,,,Standard,Granite_County_Medical_Center
8003,ANKLE COMPLETE 3 VIEWS LEFT,ANKLE COMPLETE 3 VIEWS LEFT,,180.0,,73610,1.0,320,2017-06-06,,CC_RAD,,,,,Standard,Granite_County_Medical_Center
8004,ANKLE COMPLETE 3 VIEWS RIGHT,ANKLE COMPLETE 3 VIEWS RIGHT,,180.0,,73610,1.0,320,2017-06-06,,CC_RAD,,,,,Standard,Granite_County_Medical_Center
8005,ANKLE LIMITED 2 VIEWS LEFT,ANKLE LIMITED 2 VIEWS LEFT,,125.0,,73600,1.0,320,2017-06-06,,CC_RAD,,,,,Standard,Granite_County_Medical_Center
8006,ANKLE LIMITED 2 VIEWS RIGHT,ANKLE LIMITED 2 VIEWS RIGHT,,125.0,,73600,1.0,320,2017-06-06,,CC_RAD,,,,,Standard,Granite_County_Medical_Center
8007,ANKLE/BRACHIAL INDICES ULTRASOUND LEFT,ANKLE/BRACHIAL INDICES ULTRASOUND LEFT,,330.0,,93922,1.0,320,2017-06-06,,CC_RAD,,,,,Standard,Granite_County_Medical_Center
