CDM Item Number,Revenue Code,Service ID,Service Mod1,Service Mod2,Service Mod3,Service Mod4,Service Description,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: All),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Default),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Federal),Payer Negotiated Charge: Blue Cross Blue Shield of MT (Plan: Medicare Advantage),Payer Negotiated Charge: Medicare A MT JF (Plan: All),Payer Negotiated Charge: Medicare B MT JF (Plan: All),Payer Negotiated Charge: Medicare Railroad Palmetto GBA (Plan: All),hospital
3200328,270,L3908,,,,,WRIST CINCH LOCK LG LT,45.25,45.25,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200330,270,A4570,,,,,SPLINT FINGER UMBRELLA 3.5'',11.0,11.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200332,270,A6538,,,,,TED THIGH HIGH LG/LONG,48.25,48.25,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200338,272,,,,,,ENDO BOUGIE ADULT 15 FR,45.25,45.25,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3200340,272,A4320,,,,,TRAY IRRIGATION PISTON,16.95,16.95,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200342,270,,,,,,BRACE ANKLE AFO,0.0,0.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3200343,272,A4351,,,,,CATH RED STRAIGHT 12FR,11.0,11.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200344,272,A4358,,,,,BAG-URINE DRAINAGE,27.15,27.15,13.68,13.68,,,,,13.68,,,Fallon_Medical_Complex_Hospital
3200346,272,A6266,,,,,"GAUZE-VASELINE 1""x36""",11.0,11.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200351,272,B4034,,,,,SYRINGE IRRIGATION PISTON 70CC,12.05,12.05,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200352,270,A4570,,,,,SPLINT COLLES ADULT LEFT,44.45,44.45,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200354,272,A4373,,,,,"OSTOMY WAFER 2.25"" LARGE FLANGE",30.55,30.55,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200356,271,A5063,,,,,OSTOMY DRAIN POUCH,12.05,12.05,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200358,272,A4456,,,,,OSTOMY WIPE-PER 50,52.55,52.55,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200360,270,L0627,,,,,"BRACE LUMBO SACRAL SMALL 26""-32""",78.05,78.05,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200362,271,A5114,,,,,SECURE CATHETER WITH LEGSTRAP  FOAM,18.42,18.42,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200364,272,A4358,,,,,BAG-URINE LEG 32OZ,15.59,15.59,13.68,13.68,,,,,13.68,,,Fallon_Medical_Complex_Hospital
3200366,272,A4331,,,,,CATHETER TUBE-EXTENSION,11.0,11.0,7.04,7.04,,,,,7.04,,,Fallon_Medical_Complex_Hospital
3200368,271,,,,,,MASK NEBULIZER MISTY,11.0,11.0,10.46,11.68,11.68,11.68,,,10.46,,,Fallon_Medical_Complex_Hospital
3200370,272,A4556,,,,,ELECTRODES QUIK COMBO ADULT,153.0,153.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200372,271,A4406,,,,,OSTOMY PASTE/OZ......X2,11.0,11.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200374,271,A4371,,,,,OSTOMY POWDER 1OZ.....X3,14.0,14.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200375,270,L4386,,,,,WALKER 3D XLG DEROYAL,294.5,294.5,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200376,271,,,,,,TUBING-SUCTION,11.0,11.0,10.46,11.68,11.68,11.68,,,10.46,,,Fallon_Medical_Complex_Hospital
3200384,272,A4340,,,,,CATHETER COUDE 16FR 5CC,85.37,85.37,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200385,272,C1751,,,,,KIT-ANTICUBITAL CVC,183.92,183.92,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200391,270,,,,,,SET CLEANSING-ENEMA,14.05,14.05,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3200392,270,,,,,,ENEMA-PHOSPHATE,11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3200394,270,,,,,,BUDDY FLUID WARMER DISP,112.45,112.45,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3200395,272,A6445,,,,,"BANDAGE KLING -2""",11.0,11.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200396,279,,,,,,KIT-SEXUAL ASSAULT,59.25,59.25,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200397,272,,,,,,CONTAINER GLASS VACUUM,60.7,60.7,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3200398,278,A4212,,,,,NEEDLE- EZ IO 15MM PEDS,488.0,488.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200399,272,A4300,,,,,KIT CENTRAL VENOUS CATH,98.55,98.55,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200402,272,,,,,,STAPLER SKIN DISPOSABLE,63.6,63.6,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3200403,270,L0627,,,,,BRACE LUMBO SACRAL MEDIUM,78.05,78.05,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200404,270,L0627,,,,,BRACE LUMBO SACRAL LARGE,89.6,89.6,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200406,272,,,,,,NASAL PACKING RHINO 5.5,170.3,170.3,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3200408,270,,,,,,MISC BRACE,0.0,0.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3200550,270,,,,,,BLANKET BAIR HUG DISPOS,46.1,46.1,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3200987,270,,,,,,ACAPELLA GREEN,208.35,208.35,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3200995,272,,,,,,BROSELOW INTUB MODULE,147.9,147.9,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3200997,272,A4344,,,,,CATHETER FOLEY 10FR MEDLINE,30.31,30.31,,,,,,,,,,Fallon_Medical_Complex_Hospital
3200998,272,,,,,,FOLEY CATH 8FR 3CC SILICONE,39.5,39.5,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201000,270,,,,,,DETECTOR CO2 ADULT,75.15,75.15,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201001,272,A6196,,,,,DRESSING AQUACEL AG 4X4,63.6,63.6,35.94,35.94,,,,,35.94,,,Fallon_Medical_Complex_Hospital
3201003,270,A6449,,,,,"BANDAGE ELASTIC XLONG 4""X11YRDS",32.65,32.65,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201004,270,L4350,,,,,CAST-AIRCAST-ANKLE,75.15,75.15,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201006,272,A4212,,,,,NEEDLE GRIPPER 20GX1.25,48.25,48.25,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201009,272,A4625,,,,,KIT CRICOTHYROTOMY PEDS,574.5,574.5,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201011,270,L0140,,,,,COLLAR CERVICAL SPIRIT-ELECT ADULT,51.3,51.3,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201012,272,,,,,,KIT DRESSING CHANGE PICC,78.05,78.05,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201013,270,,,,,,MISC SUPPLIES- PURCHASING,0.0,0.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201014,271,A4356,,,,,CLAMP CUMMINGHAM ALL SIZE,143.4,143.4,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201015,270,L0621,,,,,SLING PELVIC LARGE 36-60,333.5,333.5,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201016,270,L0621,,,,,SLING PELVIC SMALL 27-36,333.5,333.5,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201017,271,,,,,,NASAL TRUMPET 22FR,24.65,24.65,10.46,11.68,11.68,11.68,,,10.46,,,Fallon_Medical_Complex_Hospital
3201019,272,A6262,,,,,DRESSING POWDER  ARGLAES 5 GM,92.9,92.9,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201020,272,A6251,,,,,DRESSING ACTICOAT 2X2,63.6,63.6,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201021,272,A4344,,,,,CATHETER FOLEY 26FR 30CC SILICONE,15.1,15.1,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201022,270,L3908,,,,,BRACE WRIST FRAZER XX-LARGE LEFT,32.65,32.65,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201024,270,A6538,,,,,ANTI-EMBOLISM KNEE HIGH LG/REG,30.55,30.55,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201025,272,A6196,,,,,DRESSING AQUACEL 2 X 2-EACH,18.2,18.2,35.94,35.94,,,,,35.94,,,Fallon_Medical_Complex_Hospital
3201026,272,,,,,,PAD GROUND CAUTERY,22.85,22.85,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201027,272,,,,,,PENCIL CAUTERY DISPOSABLE,24.65,24.65,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201028,272,A4628,,,,,YANKAUER SUCTION TIP,11.0,11.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201030,272,,,,,,TRAY PLEUR E VAC - TELEFLEX,303.1,303.1,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201031,272,A6196,,,,,DRESSING MAXORB 2X2,14.05,14.05,35.94,35.94,,,,,35.94,,,Fallon_Medical_Complex_Hospital
3201033,272,E2402,,,,,CANISTER SUCTION KCI VAC,256.95,256.95,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201034,270,A6248,,,,,GEL SILVASORB .25 OZ,51.3,51.3,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201035,270,A4580,,,,,"SPLINT PLASTER J 2""",15.1,15.1,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201040,272,A6248,,,,,GEL DUODERM HYDRO 30GM,24.65,24.65,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201043,270,L4386,,,,,WALKER 3-D XSMALL,170.3,170.3,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201044,272,A6446,,,,,"BANDAGE KLING 3""",11.0,11.0,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201046,270,,,,,,"BANDAGE COBAN LATEX FREE 2""",11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201048,272,,,,,,STAPLER SKIN WIDE DISPOS,51.3,51.3,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201052,272,,,,,,SUTURE 3-0 GUT CHROME U204H,27.15,27.15,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201053,272,,,,,,SUTURE 0-SILK 624H,32.25,32.25,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201054,272,,,,,,SUTURE 5-0 ETHILON 661G,32.25,32.25,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201055,272,,,,,,SUTURE 3-0 ETHILON 663G,35.95,35.95,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201056,272,,,,,,SUTURE 4-0 ETHILON 662G,34.3,34.3,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201057,272,,,,,,SUTURE 6-0 ETHILON 667G,37.55,37.55,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201061,272,,,,,,SUTURE 4-0 ETHILON 1667G,27.15,27.15,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201062,270,,,,,,TRAY- EYE LEVEL #2,208.35,208.35,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201063,272,,,,,,CATHETER FOLEY 6FR,75.15,75.15,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201064,272,A6208,,,,,"BANDAGE UNNA BOOT 3"" WITH CALAMINE",24.65,24.65,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201065,272,A6208,,,,,"BANDAGE UNNA BOOT 4"" WITH CALAMINE",26.4,26.4,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201068,272,A4425,,,,,OSTOMY POUCH 2 3/4,16.98,16.98,,,,,,,,,,Fallon_Medical_Complex_Hospital
3201069,270,,,,,,WALKER 3-D MEDIUM,128.3,128.3,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201070,270,,,,,,WALKER 3-D LARGE,123.25,123.25,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201071,270,,,,,,ACAPELLA BLUE,265.0,265.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201072,270,,,,,,BAG-AMBU PEDS,86.7,86.7,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201073,270,,,,,,SLING ARM ENVELOPE SM,21.1,21.1,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201074,270,,,,,,SLING ARM ENVELOPE MED,22.85,22.85,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201075,270,,,,,,SLING ARM ENVELOPE LG,22.85,22.85,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201076,270,,,,,,SLING ARM ENVELOPE XLG,22.85,22.85,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201077,270,,,,,,SLING ARM MOSSY OAK,45.25,45.25,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201078,270,,,,,,SLING ARM PED SM,18.2,18.2,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201079,270,,,,,,SLING ARM PED XXSM,18.2,18.2,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201080,270,,,,,,"BANDAGE ELASTIC HARTMANN 3""",11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201081,270,,,,,,"BANDAGE ELASTIC HARTMANN 4""",11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201082,270,,,,,,"BANDAGE ELASTIC HARTMANN 6""",11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201083,270,,,,,,BROSELOW PINK INTUB MOD,147.9,147.9,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201084,270,,,,,,BROSELOW PURPLE INTUB MOD,147.9,147.9,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201085,272,,,,,,BROSELOW WHITE INTUBATION,147.9,147.9,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201086,272,,,,,,BROSELOW YELLOW INTUBATION,147.9,147.9,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201100,272,,,,,,CATHETER FOLEY 12FR MEDLINE,27.15,27.15,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201101,272,,,,,,CATHETER FOLEY 14FR MEDLINE,39.5,39.5,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201102,272,,,,,,CATHETER FOLEY16FR MEDILNE,39.5,39.5,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201103,272,,,,,,CATHETER FOLEY 18FR MEDLINE,42.75,42.75,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201104,272,,,,,,CATHETER FOLEY 20FR MEDLINE,37.55,37.55,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201105,272,,,,,,CATHETER FOLEY 22FR MEDLINE,41.15,41.15,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201106,272,,,,,,CATHETER FOLEY 24FR MEDLINE,30.55,30.55,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201107,272,,,,,,CATHETER FOLEY 10FR 3CC SILICONE,24.65,24.65,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201108,272,,,,,,CATHETER FOLEY 26FR 30CC SILICONE,30.55,30.55,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201110,270,,,,,,"CAST SHOE OPEN TOE 11"" MED",34.3,34.3,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201112,270,,,,,,"CAST SHOE OPEN TOE 12"" LARGE",42.75,42.75,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201113,270,,,,,,"CAST SHOE OPEN TOE 7.2"" EXTRA  SMALL",34.3,34.3,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201114,270,,,,,,CAST SHOE OPEN 9.5 SMALL,34.3,34.3,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201115,270,,,,,,"CAST SHOE OPEN TOE TOT 4.5""",45.25,45.25,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201116,270,,,,,,CAST SHOE OPEN TOE TOT 5.5,39.5,39.5,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201117,270,,,,,,"CAST SHOE OPEN TOE TOT 6.2""",39.5,39.5,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201118,270,,,,,,"TAPE CAST BLUE 2""",18.2,18.2,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201121,271,,,,,,"TAPE CAST 3"" WHITE",22.85,22.85,10.46,11.68,11.68,11.68,,,10.46,,,Fallon_Medical_Complex_Hospital
3201122,271,,,,,,"TAPE CAST 4"" WHITE",27.15,27.15,10.46,11.68,11.68,11.68,,,10.46,,,Fallon_Medical_Complex_Hospital
3201123,272,,,,,,CATHETER COUDE 20FR SILICONE,89.6,89.6,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201124,272,,,,,,CATHETER COUDE 14FR 5CC,83.85,83.85,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201125,272,,,,,,CATHETER COUDE 18FR SILICONE,86.7,86.7,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201126,272,,,,,,COVER GLIDE SCOPE #3,83.85,83.85,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201127,272,,,,,,COVER GLIDE SCOPE #4,83.85,83.85,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201128,270,,,,,,CRUTCHES 4.6''-5.2'',105.9,105.9,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201129,270,,,,,,CRUTCHES 5.10''-6.6'',128.3,128.3,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201130,272,,,,,,DRESSING EXUDERM SATIN 4X4,30.55,30.55,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201132,270,,,,,,SPLINT FINGER FOAM 1X18,12.05,12.05,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201133,270,,,,,,SPLINT FINGER FOAM 3/4X18,11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201134,270,,,,,,SPLINT FINGER UMBRELLA 1'',11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201135,270,,,,,,SPLINT FINGER UMBRELLA 2'',11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201136,270,,,,,,SPLINT FROG MED,11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201137,270,,,,,,SPLINT FROG LG,11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201138,270,,,,,,SPLINT FROG SM,11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201139,270,,,,,,SPLINT FINGER 1'' FOLD,11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201140,270,,,,,,SPLINT FINGER 2'' FOLD,11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201141,270,,,,,,SPLINT FINGER 3'' FOLD,11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201142,270,,,,,,SPLINT FINGER 3.5'' FOLD,11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201143,272,,,,,,SPONGE GAUZE STERILE 2X2,11.0,11.0,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201144,272,,,,,,SPONGE GAUZE STERILE 3X3,11.0,11.0,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201146,272,,,,,,GLOVE SURGICAL DERMA 7.0,11.0,11.0,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201147,272,,,,,,GLOVE SURGICAL DERMA 7.5,11.0,11.0,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201148,272,,,,,,GLOVE SURGICAL DERMA 8.0,11.0,11.0,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201149,272,,,,,,ADHESIVE SKIN HYSTOCRYL,105.9,105.9,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201150,270,,,,,,IMMOBILIZER SHOULD STRGHT,51.3,51.3,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201152,272,,,,,,"GAUZE NU IODIFORM 1/4""",22.85,22.85,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201154,272,,,,,,"BANDAGE KLING 4""",11.0,11.0,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
3201158,270,,,,,,BRACE-KNEED HINGED WRAP LARGE,120.6,120.6,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201159,270,,,,,,BRACE-KNEED HINGED WRAP MEDIUM,120.6,120.6,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201160,270,,,,,,BRACE-KNEE HINGED WRAP SMALL,170.3,170.3,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201161,270,,,,,,BRACE-KNEE HINGED WRAP X-LARGE,120.6,120.6,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201162,270,,,,,,BRACE-KNEED HINGED WRAP XX-LARGE,123.25,123.25,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201163,270,,,,,,BRACE-KNEE HINGED WRAP XXX-LARGE,152.85,152.85,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201164,270,,,,,,"IMMOBILIZER-KNEE 16"" LARGE",105.1,105.1,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201165,270,,,,,,"IMMOBILIZER-KNEE 16"" MEDIUM",89.6,89.6,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201166,270,,,,,,"IMMOBILIZER-KNEE 16"" SMALL",105.1,105.1,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201167,270,,,,,,"IMMOBILIZER-KNEE 16"" X-LARGE",89.6,89.6,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201168,270,,,,,,"IMMOBILIZER-KNEE 16"" XX-LARGE",86.7,86.7,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201169,270,,,,,,"IMMOBILIZER-KNEE 18"" LARGE",105.9,105.9,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201170,270,,,,,,"IMMOBILIZER-KNEE 18"" MEDIUM",92.9,92.9,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201171,270,,,,,,"IMMOBILIZER-KNEE 18"" SMALL",92.9,92.9,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201172,270,,,,,,"IMMOBILIZER-KNEE 18"" X-LARGE",92.9,92.9,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201173,270,,,,,,"IMMOBILIZER-KNEE 18"" XX-LARGE",95.75,95.75,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201174,270,,,,,,"IMMOBILIZER-KNEE 20"" LARGE",105.9,105.9,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201175,270,,,,,,"IMMOBILIZER-KNEE 20"" MEDIUM",98.55,98.55,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201176,270,,,,,,"IMMOBILIZER-KNEE 20"" SMALL",98.55,98.55,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201177,270,,,,,,"IMMOBILIZER-KNEE 20"" X-LARGE",98.5,98.5,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201180,270,,,,,,MASK-O2 AEROSOL PEDS,11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201181,270,,,,,,MASK-NON REBREATHER PEDS,15.1,15.1,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201182,270,,,,,,MASK-O2 WITH 7FT TUBING PEDS,11.0,11.0,28.65,38.2,38.2,38.2,,,28.65,,,Fallon_Medical_Complex_Hospital
3201183,272,,,,,,NASAL PACKING RHINO 7.5,175.05,175.05,19.8,26.88,26.88,26.88,,,19.8,,,Fallon_Medical_Complex_Hospital
