"Pricing Data as of September 1, 2019",,,,
,,,,
DESCRIPTION,CDM,CPT, Base Price , Professional Fee 
Chest Physiotherapy Subsequent -> Manual percussion,7500012,94668,$115.00 ,
Chest Physiotherapy Subsequent -> Mechanical percussion,7500012,94668,$115.00 ,
Chest Physiotherapy Subsequent -> MetaNeb,7500012,94668,$115.00 ,
Chest Physiotherapy Subsequent -> PEP therapy,7500012,94668,$115.00 ,
Chest Physiotherapy Subsequent -> Postural drainage,7500012,94668,$115.00 ,
Chest Physiotherapy Subsequent -> Special bed,7500012,94668,$115.00 ,
Chest Physiotherapy Subsequent -> Therapy vest,7500012,94668,$115.00 ,
Chest Physiotherapy Subsequent -> Vibration,7500012,94668,$115.00 ,
Chicken,7051562,86003,$17.00 ,
CHIVES,7051923,86003,$17.00 ,
Chlamydia,7050883,86631,$108.00 ,
chlamydia additional,7050883,86631,$108.00 ,
Chlamydia additional IgM,7052495,86632,$19.00 ,
CHLAMYDIA GC DNA SDA,7051224,87491,$58.00 ,
Chlamydia IGA,7050883,86631,$16.00 ,
Chlamydia IGG,7050883,86631,$16.00 ,
Chlamydia IGM,7100405,86632,$32.00 ,
"CHLAMYDIA TRACH RNA, TMA",7051935,87491,$40.00 ,
Chlamydia trachomatis Amplified RNA-Mayo,7052582,87491,$137.00 ,
"Chlamydia Trachomatis, DNA Quant",7052041,87492,$112.00 ,
Chlamydiae Sp Culture (proof of cure)-Quest,7055769,87110,$53.00 ,
Chloride CSF-Mayo,7052700,82438,$45.00 ,
Chloride Level,7050074,82435,$75.00 ,
Chloride Level 24 Hour Urine,7050021,82436,$75.00 ,
Chloride Level Urine,7050021,82436,$75.00 ,
"CHLORIDE, OTHER SOURCE",7051768,82438,$65.00 ,
Chocolate,7051861,86003,$17.00 ,
Cholesterol Body Fluid-Mayo,7052571,84311,$133.00 ,
Cholesterol High Density,7052567,83718,$52.00 ,
Cholesterol High Density Lipid,7050151,83718,$65.00 ,
Cholesterol Low Density Lipids,7051318,83721,$64.00 ,
Cholesterol Total,7052565,82465,$64.00 ,
Cholesterol Total,7050075,82465,$64.00 ,
"Cholinesterase, Plasma",7050301,82480,$40.00 ,
"Cholinesterase, RBC",7100822,82482,$40.00 ,
"Cholinesterase, Serum (Quest)",7051690,82480,$21.00 ,
"Chorionic Gonadotropin (hCG), Beta-Subunit for Pregnancy QN-Mayo",7052421,84702,$138.00 ,
Chromatin Antibodies IGG,7050871,86235,$188.00 ,
Chromium Level-Mayo,7052331,82495,$247.00 ,
Chromogranin A-Mayo,7052303,86316,$128.00 ,
Chromosomal in situ hybridization,7100530,88272,$708.00 ,
"Chromosomal Microarray, Blood-Mayo",7052897,81229,"$3,746.00 ",
Chromosome Analysis,7100366,88262,$462.00 ,
Chromosome Analysis additional each,7101014,88280,$103.00 ,
Chromosome Analysis Add'l High Resolution,7103005,88289,$132.00 ,
Chromosome Analysis Add'L Karyotype,7100830,88280,$212.00 ,
Chromosome Analysis Amniotic Fluid,7100827,88267,"$1,057.00 ",
Chromosome Analysis Count 15-20 Cells,7050306,88262,$477.00 ,
"Chromosome Analysis, Amniotic Fluid",7101013,88267,$866.00 ,
"Chromosome Analysis, Congenital-Mayo",7055698,88230,$350.00 ,
CHRONIC  CARE MGMT 20 MIN PROFEE,7460153,99490,,$67.00 
Chronic Care Management (20 minutes with patient per month),99490,99490,$107.00 ,
"Chronic Care Mgt,, at least 30 minutes, per month",99491,99491,$286.00 ,
Chronic Lung Disease Mgmt (15 min),7530143,99401,$12.00 ,
Chronic Lung Disease Mgmt (30 min),7530144,99402,$29.00 ,
Chronic Lung Disease Mgmt (45 min),7530149,99403,$42.00 ,
Chronic Lung Disease Mgmt (60 min),7530150,99404,$61.00 ,
CINNAMON,7051925,86003,$17.00 ,
CIRCUIT HIGH FLOW DISPOSABLE,201866,,$700.00 ,
CIRCUIT LOW FLOW DISPOSABLE,201867,,$700.00 ,
CIRCUIT T-PIECE DISP SIZE 1,200068,,$114.00 ,
CIRCUIT T-PIECE SIZE 0 DISP,200319,,$112.00 ,
CIRCUITS SPU W/NEBULIZER,201860,,$483.00 ,
Circumcision Tray-Charge -> Yes,7600042,,$132.00 ,
Citrate Excretion 24 Hour Urine-Mayo,7052591,82507,$413.00 ,
CK-MMB,7050022,82553,$168.00 ,
CL Abd Aogram General,7536660,75625,"$3,820.00 ",
CL Abd Aogram w/Runoff,7536660,75630,"$4,250.00 ",
CL Abd Aortagram RS and I,7536703,75625,"$3,820.00 ",
CL Abd Aortogram,7536592,36200,$971.00 ,
CL Abd Aortogram w/BI-IL-FEM Runoff,7536593,36200,$971.00 ,
CL Angio Ext General (B),7536663,75716,"$4,288.00 ",
CL Angio Ext General (U),7536659,75710,"$3,280.00 ",
CL AO Root Angio,7536590,93567,"$2,524.00 ",
"CL Aorta, Non Selective",7536591,36200,$971.00 ,
CL Arterial Line Insert,7536512,36620,$390.00 ,
"CL Balloon, Add'l - LAD",7536557,92921,"$4,429.00 ",
"CL Balloon, Add'l - LM",7536561,92921,"$4,429.00 ",
"CL Balloon, Add'l - RCA",7536559,92921,"$4,429.00 ",
"CL Balloon, Add'l - RI",7536560,92921,"$4,429.00 ",
"CL Balloon, Initial-LAD",7536552,92920,"$9,180.00 ",
"CL Balloon, Initial-LC",7536553,92920,"$9,180.00 ",
"CL Balloon, Initial-LM",7536556,92920,"$9,180.00 ",
"CL Balloon, Initial-RCA",7536554,92920,"$9,180.00 ",
"CL Balloon, Initial-RI",7536555,92920,"$9,180.00 ",
CL Cardioversion,7536515,92960,"$1,269.00 ",
CL Cervicocerebral (Arch) Angio,7536661,36221,"$3,820.00 ",
CL Code Blue,7536517,92950,$995.00 ,
"CL Com Fem, Antegrade",7536610,36140,$901.00 ,
CL Coronary & Graft Angiography,7536505,93455,"$10,701.00 ",
CL Coronary Angiography,93454,93454,"$10,372.00 ",
CL Ext Iliac/Com Fem Angio Bilat,7536604,36246,"$2,287.00 ",
CL Ext Iliac/Com Fem Angio Right,7536666,36246,"$1,647.00 ",
"CL Ext Iliac/Com Fem Angio, Left",7536603,36246,"$1,647.00 ",
CL External Elective Electrical,7536638,92960,"$1,197.00 ",
CL Fluoro Guidance Pericardiocentesis,7536522,76930,$539.00 ,
CL Fluoro Guidance Pericardiostomy,7536524,75605,"$6,328.00 ",
CL Fluoro Only (Valve),7536658,76000,$780.00 ,
"CL Fract Flow Reserve, Add'l-LC",7536582,93572,"$1,411.00 ",
"CL Fract Flow Reserve, Add'l-RC",7536583,93572,"$1,411.00 ",
"CL Fract Flow Reserve, Add'l-RI",7536585,93572,"$1,411.00 ",
"CL Fract Flow Reserve, Add't - SVG",7536746,93572,"$1,411.00 ",
"CL Fract Flow Reserve, Init - SVG",7536745,93571,"$2,823.00 ",
"CL Fract Flow Reserve, Init-LAD",7536576,93571,"$2,823.00 ",
"CL Fract Flow Reserve, Init-LM",7536579,93571,"$2,823.00 ",
"CL Fract Flow Reserve, Init-RC",7536578,93571,"$2,823.00 ",
"CL Fract Flow Reserve, Init-RI",7536580,93571,"$2,823.00 ",
CL ICD BiV INSERT,7536752,33249,"$6,000.00 ",
CL ICD Biventricular,7536651,33225,"$10,630.00 ",
CL ICD EP Eval w/ ICD Implant,7536642,93641,"$1,720.00 ",
CL ICD EPS via ICD w/ Defibrillator NIPS,7536647,93642,"$1,654.00 ",
CL ICD Insert Dual Lead Less than 15 day,7536654,33217,"$10,706.00 ",
CL ICD Insert ICD and Leads,7536640,33249,"$39,659.00 ",
CL ICD Insert Sing Lead Less than 15 day,7536653,33216,"$8,755.00 ",
CL ICD Insert Single,7536641,33249,"$39,659.00 ",
CL ICD Relocation of Pocket,7536650,33223,"$3,066.00 ",
CL ICD Rem/Upgrade to BIV,7536652,33224,"$14,285.00 ",
CL ICD Removal Generator Only,7536646,33241,"$7,544.00 ",
CL ICD Removal ICD Lead(s),7536655,33244,"$5,282.00 ",
CL ICD Remove and Replace ICD Only Dual,7536644,33263,"$39,659.00 ",
CL ICD Remove and Replace ICD Only Mult.,7536645,33264,"$39,659.00 ",
CL ICD Remove and Replace ICD Only Sing.,7536643,33262,"$38,727.00 ",
CL ICD Repair Single Lead,7536648,33218,"$7,879.00 ",
CL ICD Repair Two Leads Dual Chamber,7536649,33220,"$4,527.00 ",
CL ICD Reposition of LV Lead,7536656,33226,"$4,128.00 ",
CL ICD Repositon Lead RT Vent,7536657,33215,"$6,366.00 ",
CL Iliac Angio Left Heart w/Cor,7536518,,"$2,342.00 ",
"CL Iliac Angio, Bilateral",7536602,36245,"$2,053.00 ",
"CL Iliac Angio, Left",7536601,36245,"$1,478.00 ",
"CL Iliac Angio, Right",7536664,36245,"$1,478.00 ",
CL Iliac Stent w and w/o Balloon,7536701,37221,"$16,990.00 ",
CL Internal Elective Electrical,7536639,92961,"$2,741.00 ",
"CL Interv w/DES, Add'l-SVG",7536680,,"$10,831.00 ",
"CL Interv w/DES, Init-SVG",7536679,,"$22,301.00 ",
"CL Intervention, Initial-SVG",7536562,92937,"$14,508.00 ",
"CL Intervtn DES, Chr Occ, Add'l-LAD",7536689,,"$35,412.00 ",
"CL Intervtn DES, Chr Occ, Add'l-LC",7536688,,"$35,412.00 ",
"CL Intervtn DES, Chr Occ, Add'l-LM",7536690,,"$35,412.00 ",
"CL Intervtn DES, Chr Occ, Add'l-RC",7536691,,"$35,412.00 ",
"CL Intervtn DES, Chr Occ, Add'l-RI",7536692,,"$35,412.00 ",
"CL Intervtn DES, Chr Occ, Add'l-SVG",7536693,,"$35,412.00 ",
"CL Intervtn DES, Chr Occ, Init-LAD",7536683,,"$22,201.00 ",
"CL Intervtn DES, Chr Occ, Init-LC",7536682,,"$25,453.00 ",
"CL Intervtn DES, Chr Occ, Init-LM",7536684,,"$22,201.00 ",
"CL Intervtn DES, Chr Occ, Init-RC",7536685,,"$22,201.00 ",
"CL Intervtn DES, Chr Occ, Init-RI",7536686,,"$22,201.00 ",
"CL Intervtn DES, Chr Occ, Init-SVG",7536687,,"$22,201.00 ",
"CL Intervtn, Chr Occ, Add'l-LAD",7536570,92944,"$7,829.00 ",
"CL Intervtn, Chr Occ, Add'l-LM",7536574,,"$7,829.00 ",
"CL Intervtn, Chr Occ, Add'l-RC",7536572,,"$7,829.00 ",
"CL Intervtn, Chr Occ, Add'l-RI",7536575,,"$7,829.00 ",
"CL Intervtn, Chr Occ, Add'l-SVG",7536573,,"$7,829.00 ",
"CL Intervtn, Chr Occ, Init-LAD",7536564,92943,"$19,344.00 ",
"CL Intervtn, Chr Occ, Init-LC",7536565,92943,"$19,344.00 ",
"CL Intervtn, Chr Occ, Init-LM",7536568,92943,"$19,344.00 ",
"CL Intervtn, Chr Occ, Init-RC",7536566,92943,"$19,344.00 ",
"CL Intervtn, Chr Occ, Init-RI",7536569,92943,"$19,344.00 ",
"CL Intervtn, Chr Occ, Init-SVG",7536567,92943,"$19,344.00 ",
"CL Intra-Aortic Balloon Pump, Insert",7536513,33967,"$1,674.00 ",
"CL Intra-Aortic Balloon Pump, Remove",7536514,33968,$191.00 ,
"CL Intravascular US, Add'l - LAD",7536536,92979,"$1,117.00 ",
"CL Intravascular US, Add'l - LC",7536537,92979,"$1,117.00 ",
"CL Intravascular US, Add'l - LM",7536541,92979,"$1,117.00 ",
"CL Intravascular US, Add'l - RCA",7536538,92979,"$1,117.00 ",
"CL Intravascular US, Add'l - RI",7536540,92979,"$1,117.00 ",
"CL Intravascular US, Add'l - SVG",7536539,92979,"$1,117.00 ",
"CL Intravascular US, Init-LAD",7536530,92978,"$3,551.00 ",
"CL Intravascular US, Init-LC",7536531,92978,"$3,551.00 ",
"CL Intravascular US, Init-LM",7536535,92978,"$3,551.00 ",
"CL Intravascular US, Init-RCA",7536532,92978,"$3,551.00 ",
"CL Intravascular US, Init-RI",7536534,92978,"$3,551.00 ",
"CL Intravascular US, Init-SVG",7536533,92978,"$3,551.00 ",
CL Intro Cath to Aorta,7536597,36200,$971.00 ,
CL IV Vasopressor,7536589,37202,$244.00 ,
"CL IVC Filter, Insert",7536615,37191,"$7,230.00 ",
"CL IVC Filter, Removal",7536616,37193,"$4,810.00 ",
CL Left Heart Cath,7536503,93452,"$8,907.00 ",
CL Left Heart Cath w/Coronaries,7536500,93458,"$13,579.00 ",
CL Left Heart Cath w/Coronaries Stemi,7536797,92941,"$1,911.00 ",
CL Left Heart Cath w/Coronaries&Grafts,7536501,93459,"$14,580.00 ",
CL LHC W/CORS,7536500,93458,"$13,579.00 ",
"CL Loop Recorder, Explant",7536619,33286,$838.00 ,
"CL Loop Recorder, Implant",7536618,33285,"$10,706.00 ",
CL PCI for AMI (total/subtotal),7536529,92941,"$22,321.00 ",
CL PCI for AMI (total/subtotal) w/DES,7536681,,"$23,750.00 ",
CL Pericardiocentesis,7536521,33010,"$1,731.00 ",
CL Pericardiostomy,7536523,33015,"$1,167.00 ",
"CL Peripheral Stent, Additional",7536702,37237,"$2,167.00 ",
"CL Peripheral Stent, Init",7536699,37236,"$15,960.00 ",
CL Pharmocological Study,7536520,93463,"$1,728.00 ",
"CL POPL, Antegrade",7536617,36246,"$1,647.00 ",
CL PPM Biventricular,7536624,33225,"$10,630.00 ",
CL PPM Dual Insert or Replace w/Leads,7536620,33208,"$14,285.00 ",
CL PPM Implant Fluoro Charge,7536623,76000,$721.00 ,
CL PPM Insert Lead Dual Less than 15 day,7536632,33217,"$10,706.00 ",
CL PPM Insert Lead Sing Less than 15 day,7536631,33216,"$8,755.00 ",
CL PPM Insert or Replace Single w/A Lead,7536621,33206,"$14,285.00 ",
CL PPM Insert or Replace Single w/A Lead,7536621,33206,"$14,285.00 ",
CL PPM Insert or Replace Single w/V Lead,7536622,33207,"$14,285.00 ",
CL PPM Relocation of Pocket,7536637,33222,"$8,338.00 ",
CL PPM Removal Dual Leads,7536630,33235,"$11,819.00 ",
CL PPM Removal Generator Only,7536628,33233,"$10,706.00 ",
CL PPM Removal Single Lead,7536629,33234,"$8,755.00 ",
CL PPM Remove and Replace PPM Only Dual,7536626,33228,"$14,285.00 ",
CL PPM Remove and Replace PPM Only Mult,7536627,33229,"$25,562.00 ",
CL PPM Remove and Replace PPM Only Sing.,7536625,33227,"$10,706.00 ",
CL PPM Repair Dual Chamber Leads,7536635,33220,"$4,527.00 ",
CL PPM Repair Single Chamber Leads,7536634,33218,"$7,879.00 ",
CL PPM Reposition Lead,7536636,33215,"$6,366.00 ",
CL PPM Single to Dual w/ Testing,7536633,33214,"$14,285.00 ",
"CL Radiology S and I, Periph Stent Each",7536700,,"$3,978.00 ",
CL Renal Angio Left Heart w/Cor,7536519,,"$1,985.00 ",
"CL Renal Art, Bilat Angiogram",7536654,36252,"$5,295.00 ",
"CL Renal Art, Single Angiogram",7536653,36251,"$3,787.00 ",
CL Renal PTA RS and I,7536697,37246,"$7,353.00 ",
"CL Renal PTA, Repair Arterial Blockage",7536696,37246,"$7,353.00 ",
CL Renal Select Bilat,7536605,36252,"$5,295.00 ",
CL Renal Select Left,7536665,36251,"$3,787.00 ",
CL Renal Select Right,7536606,36251,"$3,787.00 ",
CL Right Heart Cath,7536506,93451,"$8,907.00 ",
CL Right Heart Cath w/Cor&Grafts,7536508,93457,"$14,766.00 ",
CL Right Heart Cath w/Coronaries,7536507,93456,"$14,110.00 ",
CL Right Ventricular/Atrial Angiogram,7536525,93566,"$2,438.00 ",
"CL Right/Left Heart Cath, LV-Only",7536502,93453,"$11,036.00 ",
CL Right/Left Heart w/Cor&Grafts,7536510,93461,"$15,898.00 ",
CL Right/Left Heart w/Coronaries,7536509,93460,"$15,082.00 ",
CL SFA Antegrade,7536609,36245,"$1,478.00 ",
"CL SFA/ POP/TIB Angio, Bilat",7536608,36247,"$2,724.00 ",
"CL SFA/POP/TIB Angio, Left",7536607,36247,"$1,961.00 ",
"CL SFA/POP/TIB Angio, Right",7536667,36247,"$1,961.00 ",
"CL Stent PCI, Add'l - LAD",7536547,92929,"$7,138.00 ",
"CL Stent PCI, Add'l - LM",7536550,,"$3,708.00 ",
"CL Stent PCI, Add'l - RCA",7536549,92929,"$7,138.00 ",
"CL Stent PCI, Add'l - RI",7536551,,"$3,708.00 ",
"CL Stent PCI, Add'l DES-LAD",7536674,,"$9,961.00 ",
"CL Stent PCI, Add'l DES-LM",7536676,,"$9,961.00 ",
"CL Stent PCI, Add'l DES-RCA",7536675,,"$9,961.00 ",
"CL Stent PCI, Add'l DES-RI",7536678,,"$9,961.00 ",
"CL Stent PCI, Init DES-LAD",7536670,,"$20,201.00 ",
"CL Stent PCI, Init DES-LC",7536669,,"$20,201.00 ",
"CL Stent PCI, Init DES-LM",7536671,,"$20,201.00 ",
"CL Stent PCI, Init DES-RCA",7536672,,"$20,201.00 ",
"CL Stent PCI, Init DES-RI",7536673,,"$20,201.00 ",
"CL Stent PCI, Initial-LAD",7536542,92928,"$15,741.00 ",
"CL Stent PCI, Initial-LC",7536543,92928,"$15,741.00 ",
"CL Stent PCI, Initial-LM",7536545,92928,"$15,741.00 ",
"CL Stent PCI, Initial-RCA",7536544,92928,"$15,741.00 ",
"CL Stent PCI, Initial-RI",7536546,92928,"$15,741.00 ",
CL Subclav Angio Bilateral,7536600,36215,"$1,494.00 ",
CL Subclav Angio Left,7536598,36215,$879.00 ,
CL Subclav Angio Right,7536599,36216,$879.00 ,
"CL Subclav Angio, Bilateral (2)",7536662,36216,"$1,219.00 ",
CL Swan Ganz Catheter,7536511,93503,"$2,636.00 ",
"CL Temp Pacer, Transcutaneous",7536528,92953,$762.00 ,
"CL Temp Pacer, Transvenous",7536527,33210,"$10,706.00 ",
CL Thrombectomy,7536588,92973,"$5,818.00 ",
"CL Thrombolysis, Intra-Coronary",2625,92975,"$3,256.00 ",
"CL Thrombolysis, IV",7536586,92977,$963.00 ,
"CL Tib-Peron, Antegrade",7536612,36247,"$1,961.00 ",
CL Transesophageal Echo,7536526,93312,"$1,612.00 ",
Cl tx Dstl Rdl Fx/epiphysl sep/w/mnp,25605,25605,"$1,899.00 ",
"CL Upper Ext Angio, Bilat",7536614,75716,"$4,288.00 ",
"CL Upper Ext Angio, Right",7536668,75710,"$3,820.00 ",
CL Venogram Bilateral Upper Extremity,7536764,75827,"$1,495.00 ",
CLA - ICD Biventricular Add-on,7536731,33225,"$10,124.00 ",
CLA - PPM Biventricular Add-on,7536730,33225,"$10,124.00 ",
CLA Abd Angiogram RS&I,7536703,75625,"$3,820.00 ",
CLA AO Root Aortogram,7536729,93567,"$2,524.00 ",
CLA Balloon Additional,7536558,92921,"$4,429.00 ",
"CLA Balloon, Initial",7536705,92920,"$11,275.00 ",
"CLA Coronary iFR, Add'l-LAD",7536740,93572,"$1,411.00 ",
"CLA Coronary iFR, Add'l-LM",7536739,93572,"$1,411.00 ",
"CLA Coronary iFR, Add'l-RC",7536740,93572,"$1,411.00 ",
"CLA Coronary iFR, Add'l-RI",7536743,93572,"$1,411.00 ",
"CLA Coronary iFR, Add'l-SVG",7536744,93572,"$1,411.00 ",
"CLA Coronary IFR, Init - SVG",7536768,93571,"$2,823.00 ",
"CLA Coronary iFR, Init-LAD",7536748,93571,"$2,823.00 ",
"CLA Coronary iFR, Init-LM",7536747,93571,"$2,823.00 ",
"CLA Coronary iFR, Init-RC",7536750,93571,"$2,823.00 ",
"CLA Coronary iFR, Init-RI",7536751,93571,"$2,823.00 ",
CLA CTO Additonal,7536571,92944,"$7,829.00 ",
CLA CTO Initial,7536720,92943,"$19,344.00 ",
CLA EP Eval W/ICD Implant,7535157,93641,"$1,720.00 ",
CLA FFR Additional,7536582,93572,"$1,411.00 ",
CLA FFR Initial,7536577,93571,"$2,823.00 ",
CLA ICD EPS via ICD (DFT Testing),7536738,93642,"$1,654.00 ",
CLA iFR Additional,7536741,93572,"$1,411.00 ",
CLA iFR Initial,7536749,93571,"$2,823.00 ",
CLA Iliac Stent w/wo Balloon,7536701,37221,"$16,990.00 ",
"CLA Intervtn, Chr Occ, Init-LM",7536722,92943,"$19,344.00 ",
"CLA Intervtn, Chr Occ, Init-RC",7536723,92943,"$19,344.00 ",
"CLA Intervtn, Chr Occ, Init-RI",7536724,92943,"$19,344.00 ",
CLA PCI for AMI (total/subtotal) w/DES,7536726,,"$35,673.00 ",
"CLA PCI for AMI/PTCA, Additional",7536794,92941,"$1,941.00 ",$647.00 
"CLA Peripheral Stent, Additional",7536702,37237,"$2,167.00 ",
"CLA Peripheral Stent, Inital",7536699,37236,"$15,960.00 ",
CLA PPM Implant Fluoro Charge,7536729,76000,$721.00 ,
CLA Recovery 1 Hour,7536695,,$741.00 ,
"CLA Recovery, 1/2 Hour Each Additional",7536694,,$803.00 ,
"CLA Renal Art, Bilateral  Angiogram",7536654,36252,"$5,295.00 ",
"CLA Renal Art, Single Angiogram",7536653,36251,"$3,787.00 ",
CLA Renal PTA RS&I,7536697,75966,"$3,968.00 ",
"CLA Renal PTA, Repair Arterial Blockage",7536696,37246,"$7,353.00 ",
CLA RV or RA Selective Angiogram,7536525,93566,"$2,438.00 ",
CLA Stent Additional-BMS,7536548,92929,"$7,138.00 ",
CLA Stent Additional-DES,7536716,92929,"$7,138.00 ",
CLA Stent Initial-BMS,7536677,92928,"$15,741.00 ",
CLA Stent Initial-DES,7536710,92928,"$15,741.00 ",
CLA Subclav Angio Bilateral,7536753,36215,"$1,494.00 ",
CLA Subclav Angio Left,7536598,36215,$879.00 ,
CLA Subclav Angio Right,7536754,36215,$879.00 ,
CLA SVG BMS-Additional,7536767,92938,"$1,411.00 ",
CLA SVG BMS-Initial,7536766,93571,"$2,823.00 ",
CLA SVG-BMS Initial,7536766,92937,"$14,508.00 ",
CLA SVG-DES Additional,7536563,92938,"$4,153.00 ",
CLA SVG-DES Initial,7536728,,"$25,034.00 ",
Cladosporium,7051563,86003,$17.00 ,
CLADOSPORIUM HERBARAM IgG,7051911,86001,$56.00 ,
Cladosporium Herbarum (M2) IGE,7050475,86003,$17.00 ,
Cladosporium Herbarum IgE (M2),7051630,86003,$17.00 ,
CLAM (f207) IgE,7052021,86003,$17.00 ,
Clam IgE,7051862,86003,$16.00 ,
Clamydia Trachomatis,7051225,87491,$69.00 ,
CLEANSER WOUND 125ML PURACYN,201894,,$71.00 ,
CLEANSER WOUND 500ML PURACYN,203284,,$214.00 ,
CLIP 10MM HEM-O-LOK,3200836,,$400.00 ,
CLIP 5MM HEM-O-LOK,3200835,,$400.00 ,
CLIP LAPARA-TY ABSORBALE SUTUR,3201010,,$450.00 ,
Closed fracture phalanx with manipulaton,28515,28515,$604.00 ,
Closed Reduction Metacarpal,26605,26605,$722.00 ,
CLOSED TREATMENT OF DST PHALANGEAL FINGER FX  W/MANIPULATION EACH,26755,26755,$632.00 ,
"CLOSED TREATMENT OF FRACTURE, PHALANX OR PHALANGES OTHER THAN GREAT TOE; WITH MANIPULATION",3851350,28515,,$305.00 
Closed Treatment Supracondylar Fracture with Manipulation,24535,24535,"$1,899.00 ",
Closed Treatment Talus Fracture with Manipulation,28435,28435,"$1,899.00 ",
Closed Treatment Ulnar Shaft Fracture with Manipulation,25535,25535,$840.00 ,
CLOSED TX BIMALLEOLAR ANKLE FX W MAN,27810,27810,"$1,899.00 ",
CLOSED TX DISTAL FIBULA FRACTURE WITH MANIPULATION,27788,27788,$819.00 ,
CLOSED TX HUMERAL EPICONDYLAR FX WO MAN,24560,24560,$853.00 ,
CLOSED TX HUMERAL FX W/MAN,24576,24576,$819.00 ,
Closed Tx Nasal Bone Fracture with Stabilization,21320,21320,"$6,182.00 ",
CLOSED TX NASAL BONE FX WO STABELIZATION,21315,21315,"$1,850.00 ",
CLOSED TX NASAL FX WO MAN,21310,21310,$326.00 ,
Closed Tx of Distal Phalangeal Fx w/Manipulation (Urgent Care),381054,26755,,$506.00 
Closed TX of fracture dislocation at elbow w/manipulation,24620,24620,"$1,200.00 ",
Closed Tx of Interphalangeal Joint Dislocation w/o Anesthesia  (Toe/Foot)  (Urgent Care,3851053,28660,,$382.00 
Closed Tx of Interphalangeal Joint Dislocation w/o Anesthesia (Finger)  (Urgent Care,3851027,26770,,$714.00 
Closed Tx of Interphalangeal Joint Dislocation w/o Anesthesia (Urgent Care),3851082,28660,,$382.00 
CLOSED TX OF KNEE DISLOCATION,27550,27550,$608.00 ,
"Closed Tx of Metacarpal Fx w/Manipulation, Ea Bone (Urgent Care)",3851045,26605,,$864.00 
Closed TX of talotarsal joint dislocation w/o anesthesia,28570,28570,$543.00 ,
CLOSED TX PATELLA DISLOCATION WO ANES,27560,27560,"$1,078.00 ",
Closed Tx Rad Head Sublux in Child w/Manipulation (Urgent Care),3851032,24640,,$416.00 
CLOSED TX RAD HEAD SUBLUX W/MAN,24640,24640,$326.00 ,
CLOSED TX RADIAL SHAFT FX WO/MAN,25500,25500,"$1,515.00 ",
"Closed Tx shoulder dislocation with neck fracture, with manipulation",23675,23675,"$3,796.00 ",
CLOSED TX STERNAL FRACTURE,21820,21820,$680.00 ,
CLOSED TX STERNOCLAVICULAR W/MAN,23525,23525,$948.00 ,
CLOSED TX TIB DIST FX WO MAN,27824,27824,$926.00 ,
CLOSED TX TMJ INITIAL OR SUBSEQUENT,21480,21480,$326.00 ,
CLOSED TX TRIMALLEOLAR ANKEL FX W/MAN,27818,27818,"$1,899.00 ",
CLOSED TX WRIST DIS W MAN,25675,25675,"$1,138.00 ",
Clostridium Difficile Toxin,7050484,87324,$234.00 ,
Clostridium Difficile Toxin A&B,7050484,87324,$234.00 ,
"Clostridium difficile, Qualitative, PCR",7052678,87493,$125.00 ,
CLOSUREFAST 7FRx60cmx3cm CATH,4201680,,"$3,000.00 ",
CLOSUREFAST 7FRx60cmx7cm CATH,4201745,,"$3,000.00 ",
ClosureFast Cath 60cm,27201773,,"$3,000.00 ",
"Closurefast, 7FRX100cmX7cm",27201440,,"$3,000.00 ",
"CLOSUREFAST, 7FRX3CM CATHETER",47601872,,"$3,000.00 ",
CLOVES,7051926,86003,$17.00 ,
Clozapine Level-Mayo,7052396,80159,$230.00 ,
CLSD TX CMC FX/DISLOCATION THUMB,26645,26645,"$1,899.00 ",
CLSD TX DISTAL FEMORAL FRACTURE WITH MANIPULATION,27510,27510,"$3,165.00 ",
CLSD TX HUMERAL SHAFT FX WITH MANIPULATION,24505,24505,"$7,267.00 ",
CLSD TX IP JOINT DISLOCATION TOE W/O ANESTHESIA,28660,28660,$543.00 ,
CLSD TX OF FX DISTAL TIBIA WITH MANIPULATION,27825,27825,"$1,899.00 ",
CLTX PHLNGL FX PROX/MIDDLE PX/F/T W/MANJ EA,3851301,26725,,$506.00 
CMC DISLOC THUMB W/MAN,26641,26641,$814.00 ,
CMV DNA Detection Quantitative-Mayo,7052340,87497,$362.00 ,
COAGULATOR SUCTION 10FR,3200570,,$52.00 ,
"Cobalt, 24 Hr Urine",7050265,83018,$199.00 ,
"Cobalt, Urine",7100618,83018,$199.00 ,
Cobalt-Mayo,7052304,83018,$226.00 ,
COBLATOR EVAC 70 W/ CABLE,3200853,,"$1,625.00 ",
COBLATOR PROCISE XP W/ CABLE,3200851,,"$1,625.00 ",
COBLATOR REFLEX ULTRA 45,3200849,,"$1,619.00 ",
COBLATOR REFLEX ULTRA PTR,3200852,,"$1,625.00 ",
Coc Conf Mec-Mayo COKEM,7052634,80353,$223.00 ,
Coc/Met Conf U-Mayo COKEU,7052811,80353,$130.00 ,
Cocaine,7100705,80305,$10.00 ,
Cocaine Metabolite,7050567,80305,$23.00 ,
Cocaine Metabolites,7050567,80305,$375.00 ,
Cocaine Metabolites (Quest),,,$31.00 ,
Coccidiodes F AG,7052459,86635,$63.00 ,
Coccidiodes TP AG,7050315,86635,$63.00 ,
Coccidioides (Quest),7051695,86635,$134.00 ,
Coccidioides Ab w/ Reflex-Mayo,7055708,86635,$75.00 ,
