Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE,BCBSMT_HEALTHLINK,BCBSMT_POS_CLOSED_NETWORK,BCBSMT_TRADITIONAL,FIRST_CHOICE_HEALTH,PACIFIC_SOURCE,UNITED_HEALTHCARE
105198_1,INJ TRIGGER POINT 1-2 MUSCL,Emergency,450,20552,"Injection(s); single or multiple trigger point(s), 1 or 2 muscle(s)",,0,247,209.95,30.24,247,234.65,30.24,30.24,30.24,242.06,242.06,234.65
105198_1,INJ TRIGGER POINT 1-2 MUSCL,Inpatient,450,20552,"Injection(s); single or multiple trigger point(s), 1 or 2 muscle(s)",,0,247,209.95,30.24,247,234.65,234.65,239.59,247,242.06,242.06,234.65
105199_1,INCIS THROMBOSED HEMM EXTER,Emergency,450,46083,"Incision of thrombosed hemorrhoid, external",,0,350,297.5,119.58,350,332.5,119.58,119.58,119.58,343,343,332.5
105199_1,INCIS THROMBOSED HEMM EXTER,Inpatient,450,46083,"Incision of thrombosed hemorrhoid, external",,0,350,297.5,119.58,350,332.5,332.5,339.5,350,343,343,332.5
105200_1,SPINAL PUNC FLUID DRAIN THER,Emergency,450,62272,"Spinal puncture, therapeutic, for drainage of cerebrospinal fluid (by needle or catheter)",,0,777,660.45,660.45,777,738.15,738.15,753.69,777,761.46,761.46,738.15
105200_1,SPINAL PUNC FLUID DRAIN THER,Inpatient,450,62272,"Spinal puncture, therapeutic, for drainage of cerebrospinal fluid (by needle or catheter)",,0,777,660.45,660.45,777,738.15,738.15,753.69,777,761.46,761.46,738.15
105202_1,CLSD TRT FX PHALANX W MAN,Emergency,450,28515,"Closed treatment of fracture, phalanx or phalanges, other than great toe; with manipulation, each",,0,259,220.15,105.84,259,246.05,105.84,105.84,105.84,253.82,253.82,246.05
105202_1,CLSD TRT FX PHALANX W MAN,Inpatient,450,28515,"Closed treatment of fracture, phalanx or phalanges, other than great toe; with manipulation, each",,0,259,220.15,105.84,259,246.05,246.05,251.23,259,253.82,253.82,246.05
105203_1,DRAIN ABSCESS CYST HEMA DENTO,Emergency,450,41800,"Drainage of abscess, cyst, hematoma from dentoalveolar structures",,0,306,260.1,260.1,306,290.7,290.7,296.82,306,299.88,299.88,290.7
105203_1,DRAIN ABSCESS CYST HEMA DENTO,Inpatient,450,41800,"Drainage of abscess, cyst, hematoma from dentoalveolar structures",,0,306,260.1,260.1,306,290.7,290.7,296.82,306,299.88,299.88,290.7
105204_1,REMOVE FECAL MATTER FB ANES,Emergency,450,45915,Removal of fecal impaction or foreign body (separate procedure) under anesthesia,,0,980,833,833,980,931,931,950.6,980,960.4,960.4,931
105204_1,REMOVE FECAL MATTER FB ANES,Inpatient,450,45915,Removal of fecal impaction or foreign body (separate procedure) under anesthesia,,0,980,833,833,980,931,931,950.6,980,960.4,960.4,931
105205_1,CLSD TRT PATELLAR DISLOC,Emergency,450,27560,Closed treatment of patellar dislocation; without anesthesia,,0,674,572.9,572.9,674,640.3,640.3,653.78,674,660.52,660.52,640.3
105205_1,CLSD TRT PATELLAR DISLOC,Inpatient,450,27560,Closed treatment of patellar dislocation; without anesthesia,,0,674,572.9,572.9,674,640.3,640.3,653.78,674,660.52,660.52,640.3
105206_1,REP SIMP SCLP-TRNK XTRM 20.1 - 30.0 CM,Emergency,450,12006,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm",,0,692,588.2,588.2,692,657.4,657.4,671.24,692,678.16,678.16,657.4
105206_1,REP SIMP SCLP-TRNK XTRM 20.1 - 30.0 CM,Inpatient,450,12006,"Simple repair of superficial wounds of scalp, neck, axillae, external genitalia, trunk and/or extremities (including hands and feet); 20.1 cm to 30.0 cm",,0,692,588.2,588.2,692,657.4,657.4,671.24,692,678.16,678.16,657.4
105207_1,NON ROUTINE BLOOD DRAW <3YRS,Emergency,450,36400,"Venipuncture, younger than age 3 years, necessitating the skill of a physician or other qualified health care professional, not to be used for routine venipuncture; femoral or jugular vein",,0,21,17.85,17.85,31.49,19.95,31.49,31.49,31.49,20.58,20.58,19.95
105207_1,NON ROUTINE BLOOD DRAW <3YRS,Inpatient,450,36400,"Venipuncture, younger than age 3 years, necessitating the skill of a physician or other qualified health care professional, not to be used for routine venipuncture; femoral or jugular vein",,0,21,17.85,17.85,31.49,19.95,19.95,20.37,21,20.58,20.58,19.95
105208_1,NON ROUTINE BLOOD DRAW >3YRS,Emergency,450,36410,"Venipuncture, age 3 years or older, necessitating the skill of a physician or other qualified health care professional (separate procedure), for diagnostic or therapeutic purposes (not to be used for routine venipuncture)",,0,60,51,15.75,60,57,15.75,15.75,15.75,58.8,58.8,57
105208_1,NON ROUTINE BLOOD DRAW >3YRS,Inpatient,450,36410,"Venipuncture, age 3 years or older, necessitating the skill of a physician or other qualified health care professional (separate procedure), for diagnostic or therapeutic purposes (not to be used for routine venipuncture)",,0,60,51,15.75,60,57,57,58.2,60,58.8,58.8,57
105209_1,OP VISIT EST LEVEL 2,Emergency,450,99212,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using time for code selection, 10-19 minutes of total time is spent on the date of the encounter.",,0,140,119,119,140,133,133,135.8,140,137.2,137.2,133
105209_1,OP VISIT EST LEVEL 2,Inpatient,450,99212,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and straightforward medical decision making. When using time for code selection, 10-19 minutes of total time is spent on the date of the encounter.",,0,140,119,119,140,133,133,135.8,140,137.2,137.2,133
105210_1,US GUIDED IV ACCESS TECH,Inpatient,402,76937,"Ultrasound guidance for vascular access requiring ultrasound evaluation of potential access sites, documentation of selected vessel patency, concurrent realtime ultrasound visualization of vascular needle entry, with permanent recording and reporting (List separately in addition to code for primary procedure)",,0,201,170.85,36.16,201,190.95,190.95,194.97,201,196.98,196.98,190.95
105210_1,US GUIDED IV ACCESS TECH,Outpatient,402,76937,"Ultrasound guidance for vascular access requiring ultrasound evaluation of potential access sites, documentation of selected vessel patency, concurrent realtime ultrasound visualization of vascular needle entry, with permanent recording and reporting (List separately in addition to code for primary procedure)",,0,201,170.85,36.16,201,190.95,36.16,36.16,36.16,196.98,196.98,190.95
105212_1,WOUND CARE NON-SELECTIVE,Emergency,450,97602,"Removal of devitalized tissue from wound(s), non-selective debridement, without anesthesia (eg, wet-to-moist dressings, enzymatic, abrasion, larval therapy), including topical application(s), wound assessment, and instruction(s) for ongoing care, per session",,0,243,206.55,206.55,243,230.85,230.85,235.71,243,238.14,238.14,230.85
105212_1,WOUND CARE NON-SELECTIVE,Inpatient,450,97602,"Removal of devitalized tissue from wound(s), non-selective debridement, without anesthesia (eg, wet-to-moist dressings, enzymatic, abrasion, larval therapy), including topical application(s), wound assessment, and instruction(s) for ongoing care, per session",,0,243,206.55,206.55,243,230.85,230.85,235.71,243,238.14,238.14,230.85
105213_1,DEB SUBQ TISSUE 20 SQ CM OR LESS,Emergency,450,11042,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); first 20 sq cm or less",,0,965,820.25,820.25,965,916.75,916.75,936.05,965,945.7,945.7,916.75
105213_1,DEB SUBQ TISSUE 20 SQ CM OR LESS,Inpatient,450,11042,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); first 20 sq cm or less",,0,965,820.25,820.25,965,916.75,916.75,936.05,965,945.7,945.7,916.75
105214_1,DRAIN EXTERNAL EAR LESION,Emergency,450,69000,"Drainage external ear, abscess or hematoma; simple",,0,753,640.05,129.96,753,715.35,129.96,129.96,129.96,737.94,737.94,715.35
105214_1,DRAIN EXTERNAL EAR LESION,Inpatient,450,69000,"Drainage external ear, abscess or hematoma; simple",,0,753,640.05,129.96,753,715.35,715.35,730.41,753,737.94,737.94,715.35
105215_1,ANESTHESIA EAR EXAM,Inpatient,370,124,,,0,42,35.7,35.7,42,39.9,39.9,40.74,42,41.16,41.16,39.9
105215_1,ANESTHESIA EAR EXAM,Outpatient,370,124,,,0,42,35.7,35.7,42,39.9,0,0,0,41.16,41.16,39.9
105216_1,DRAINAGE LESION MOUTH,Emergency,450,41007,"Intraoral incision and drainage of abscess, cyst, or hematoma of tongue or floor of mouth; submental space",,0,1279,1087.15,1087.15,1279,1215.05,1215.05,1240.63,1279,1253.42,1253.42,1215.05
105216_1,DRAINAGE LESION MOUTH,Inpatient,450,41007,"Intraoral incision and drainage of abscess, cyst, or hematoma of tongue or floor of mouth; submental space",,0,1279,1087.15,1087.15,1279,1215.05,1215.05,1240.63,1279,1253.42,1253.42,1215.05
105220_1,REMOVE IMPACTED CERUMEN IRRIG UNI TECH,Emergency,450,69209,"Removal impacted cerumen using irrigation/lavage, unilateral",,0,136,115.6,115.6,136,129.2,129.2,131.92,136,133.28,133.28,129.2
105220_1,REMOVE IMPACTED CERUMEN IRRIG UNI TECH,Inpatient,450,69209,"Removal impacted cerumen using irrigation/lavage, unilateral",,0,136,115.6,115.6,136,129.2,129.2,131.92,136,133.28,133.28,129.2
105227_1,THROMBOLYSIS CEREBRAL IV INFUSION,Emergency,450,37195,"Thrombolysis, cerebral, by intravenous infusion",,0,1009,857.65,857.65,1009,958.55,958.55,978.73,1009,988.82,988.82,958.55
105227_1,THROMBOLYSIS CEREBRAL IV INFUSION,Inpatient,450,37195,"Thrombolysis, cerebral, by intravenous infusion",,0,1009,857.65,857.65,1009,958.55,958.55,978.73,1009,988.82,988.82,958.55
105516_1,TELEHEALTH FACILITY FEE,Inpatient,780,Q3014,Telehealth facility fee,,0,59,50.15,50.15,59,56.05,56.05,57.23,59,57.82,57.82,56.05
105516_1,TELEHEALTH FACILITY FEE,Outpatient,780,Q3014,Telehealth facility fee,,0,59,50.15,50.15,59,56.05,56.05,57.23,59,57.82,57.82,56.05
105517_1,ASPIRATE PLEURA W/IMAGING TECH,Emergency,450,32555,"Thoracentesis, needle or catheter, aspiration of the pleural space; with imaging guidance",,0,1403,1192.55,1192.55,1403,1332.85,1332.85,1360.91,1403,1374.94,1374.94,1332.85
105517_1,ASPIRATE PLEURA W/IMAGING TECH,Inpatient,450,32555,"Thoracentesis, needle or catheter, aspiration of the pleural space; with imaging guidance",,0,1403,1192.55,1192.55,1403,1332.85,1332.85,1360.91,1403,1374.94,1374.94,1332.85
105518_1,TANGENTIAL BX SKIN SGL LESION,Emergency,450,11102,"Tangential biopsy of skin (eg, shave, scoop, saucerize, curette); single lesion",,0,441,374.85,74.88,441,418.95,74.88,74.88,74.88,432.18,432.18,418.95
105518_1,TANGENTIAL BX SKIN SGL LESION,Inpatient,450,11102,"Tangential biopsy of skin (eg, shave, scoop, saucerize, curette); single lesion",,0,441,374.85,74.88,441,418.95,418.95,427.77,441,432.18,432.18,418.95
105519_1,PUNCH BX SKIN SGL LESION,Emergency,450,11104,"Punch biopsy of skin (including simple closure, when performed); single lesion",,0,441,374.85,74.88,441,418.95,74.88,74.88,74.88,432.18,432.18,418.95
105519_1,PUNCH BX SKIN SGL LESION,Inpatient,450,11104,"Punch biopsy of skin (including simple closure, when performed); single lesion",,0,441,374.85,74.88,441,418.95,418.95,427.77,441,432.18,432.18,418.95
105520_1,INCISIONAL BX SKIN SGL LESION,Emergency,450,11106,"Incisional biopsy of skin (eg, wedge) (including simple closure, when performed); single lesion",,0,785,667.25,74.88,785,745.75,74.88,74.88,74.88,769.3,769.3,745.75
105520_1,INCISIONAL BX SKIN SGL LESION,Inpatient,450,11106,"Incisional biopsy of skin (eg, wedge) (including simple closure, when performed); single lesion",,0,785,667.25,74.88,785,745.75,745.75,761.45,785,769.3,769.3,745.75
105527_1,US URINE CAPACITY MEASURE,Emergency,450,51798,"Measurement of post-voiding residual urine and/or bladder capacity by ultrasound, non-imaging",,0,163,138.55,138.55,163,154.85,154.85,158.11,163,159.74,159.74,154.85
105527_1,US URINE CAPACITY MEASURE,Inpatient,450,51798,"Measurement of post-voiding residual urine and/or bladder capacity by ultrasound, non-imaging",,0,163,138.55,138.55,163,154.85,154.85,158.11,163,159.74,159.74,154.85
105528_1,TREAT WRIST DISLOCATION,Emergency,450,25660,"Closed treatment of radiocarpal or intercarpal dislocation, 1 or more bones, with manipulation",,0,539,458.15,458.15,539,512.05,512.05,522.83,539,528.22,528.22,512.05
105528_1,TREAT WRIST DISLOCATION,Inpatient,450,25660,"Closed treatment of radiocarpal or intercarpal dislocation, 1 or more bones, with manipulation",,0,539,458.15,458.15,539,512.05,512.05,522.83,539,528.22,528.22,512.05
105529_1,RPR FE/E/EN/L/M 12.6-20.0 cm,Emergency,450,12016,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm",,0,799,679.15,679.15,799,759.05,759.05,775.03,799,783.02,783.02,759.05
105529_1,RPR FE/E/EN/L/M 12.6-20.0 cm,Inpatient,450,12016,"Simple repair of superficial wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm",,0,799,679.15,679.15,799,759.05,759.05,775.03,799,783.02,783.02,759.05
105530_1,ABDOMINAL PARACENTESIS W/ IMAGING TECH,Emergency,450,49083,Abdominal paracentesis (diagnostic or therapeutic); with imaging guidance,,0,1965,1670.25,1670.25,1965,1866.75,1866.75,1906.05,1965,1925.7,1925.7,1866.75
105530_1,ABDOMINAL PARACENTESIS W/ IMAGING TECH,Inpatient,450,49083,Abdominal paracentesis (diagnostic or therapeutic); with imaging guidance,,0,1965,1670.25,1670.25,1965,1866.75,1866.75,1906.05,1965,1925.7,1925.7,1866.75
105531_1,ULTRASOUND CHEST TECH,Inpatient,402,76604,"Ultrasound, chest (includes mediastinum), real time with image documentation",,0,688,584.8,82.23,688,653.6,653.6,667.36,688,674.24,674.24,653.6
105531_1,ULTRASOUND CHEST TECH,Outpatient,402,76604,"Ultrasound, chest (includes mediastinum), real time with image documentation",,0,688,584.8,82.23,688,653.6,82.23,82.23,82.23,674.24,674.24,653.6
105532_1,ECHO EXAM ABDOMEN TECH,Inpatient,402,76705,"Ultrasound, abdominal, real time with image documentation; limited (eg, single organ, quadrant, follow-up)",,0,585,497.25,101.48,585,555.75,555.75,567.45,585,573.3,573.3,555.75
105532_1,ECHO EXAM ABDOMEN TECH,Outpatient,402,76705,"Ultrasound, abdominal, real time with image documentation; limited (eg, single organ, quadrant, follow-up)",,0,585,497.25,101.48,585,555.75,101.48,101.48,101.48,573.3,573.3,555.75
105533_1,OB ULTRASOUND LIMITED TECH,Inpatient,402,76815,"Ultrasound, pregnant uterus, real time with image documentation, limited (eg, fetal heart beat, placental location, fetal position and/or qualitative amniotic fluid volume), 1 or more fetuses",,0,450,382.5,84.56,450,427.5,427.5,436.5,450,441,441,427.5
105533_1,OB ULTRASOUND LIMITED TECH,Outpatient,402,76815,"Ultrasound, pregnant uterus, real time with image documentation, limited (eg, fetal heart beat, placental location, fetal position and/or qualitative amniotic fluid volume), 1 or more fetuses",,0,450,382.5,84.56,450,427.5,84.56,84.56,84.56,441,441,427.5
105534_1,ECHOCARDIOGRAM LIMITED TECH,Emergency,450,93308,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, follow-up or limited study",,0,670,569.5,120.14,670,636.5,120.14,120.14,120.14,656.6,656.6,636.5
105534_1,ECHOCARDIOGRAM LIMITED TECH,Inpatient,450,93308,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, follow-up or limited study",,0,670,569.5,120.14,670,636.5,636.5,649.9,670,656.6,656.6,636.5
105535_1,PVB THORACIC SINGLE INJ SITE,Emergency,450,64461,"Paravertebral block (PVB) (paraspinous block), thoracic; single injection site (includes imaging guidance, when performed)",,0,196,166.6,82.08,196,186.2,82.08,82.08,82.08,192.08,192.08,186.2
105535_1,PVB THORACIC SINGLE INJ SITE,Inpatient,450,64461,"Paravertebral block (PVB) (paraspinous block), thoracic; single injection site (includes imaging guidance, when performed)",,0,196,166.6,82.08,196,186.2,186.2,190.12,196,192.08,192.08,186.2
105536_1,N BLOCK SPHENOPALATINE GANGLION,Emergency,450,64505,"Injection, anesthetic agent; sphenopalatine ganglion",,0,257,218.45,55.44,257,244.15,55.44,55.44,55.44,251.86,251.86,244.15
105536_1,N BLOCK SPHENOPALATINE GANGLION,Inpatient,450,64505,"Injection, anesthetic agent; sphenopalatine ganglion",,0,257,218.45,55.44,257,244.15,244.15,249.29,257,251.86,251.86,244.15
105537_1,INJ ANESTH/STEROID FEMORAL NERVE,Emergency,450,64447,"Injection(s), anesthetic agent(s) and/or steroid; femoral nerve",,0,134,113.9,66.24,134,127.3,66.24,66.24,66.24,131.32,131.32,127.3
105537_1,INJ ANESTH/STEROID FEMORAL NERVE,Inpatient,450,64447,"Injection(s), anesthetic agent(s) and/or steroid; femoral nerve",,0,134,113.9,66.24,134,127.3,127.3,129.98,134,131.32,131.32,127.3
105538_1,PVB THORACIC SINGLE SITE,Emergency,450,64461,"Paravertebral block (PVB) (paraspinous block), thoracic; single injection site (includes imaging guidance, when performed)",,0,1586,1348.1,82.08,1586,1506.7,82.08,82.08,82.08,1554.28,1554.28,1506.7
105538_1,PVB THORACIC SINGLE SITE,Inpatient,450,64461,"Paravertebral block (PVB) (paraspinous block), thoracic; single injection site (includes imaging guidance, when performed)",,0,1586,1348.1,82.08,1586,1506.7,1506.7,1538.42,1586,1554.28,1554.28,1506.7
105539_1,PVB THORACIC 2ND + SITE,Emergency,450,64462,"Paravertebral block (PVB) (paraspinous block), thoracic; second and any additional injection site(s) (includes imaging guidance, when performed) (List separately in addition to code for primary procedure)",,0,125,106.25,106.25,125,118.75,118.75,121.25,125,122.5,122.5,118.75
105539_1,PVB THORACIC 2ND + SITE,Inpatient,450,64462,"Paravertebral block (PVB) (paraspinous block), thoracic; second and any additional injection site(s) (includes imaging guidance, when performed) (List separately in addition to code for primary procedure)",,0,125,106.25,106.25,125,118.75,118.75,121.25,125,122.5,122.5,118.75
105540_1,INJ ANES AGENT/STEROID BRACHIAL PLEXUS,Emergency,450,64415,"Injection(s), anesthetic agent(s) and/or steroid; brachial plexus",,0,2056,1747.6,1747.6,2056,1953.2,1953.2,1994.32,2056,2014.88,2014.88,1953.2
105540_1,INJ ANES AGENT/STEROID BRACHIAL PLEXUS,Inpatient,450,64415,"Injection(s), anesthetic agent(s) and/or steroid; brachial plexus",,0,2056,1747.6,1747.6,2056,1953.2,1953.2,1994.32,2056,2014.88,2014.88,1953.2
105541_1,TREAT FRACTURE RADIUS,Emergency,450,25520,Closed treatment of radial shaft fracture and closed treatment of dislocation of distal radioulnar joint (Galeazzi fracture/dislocation),,0,1832,1557.2,1557.2,1832,1740.4,1740.4,1777.04,1832,1795.36,1795.36,1740.4
105541_1,TREAT FRACTURE RADIUS,Inpatient,450,25520,Closed treatment of radial shaft fracture and closed treatment of dislocation of distal radioulnar joint (Galeazzi fracture/dislocation),,0,1832,1557.2,1557.2,1832,1740.4,1740.4,1777.04,1832,1795.36,1795.36,1740.4
105542_1,TREAT WRIST DISLOCATION,Emergency,450,25675,Closed treatment of distal radioulnar dislocation with manipulation,,0,515,437.75,437.75,515,489.25,489.25,499.55,515,504.7,504.7,489.25
105542_1,TREAT WRIST DISLOCATION,Inpatient,450,25675,Closed treatment of distal radioulnar dislocation with manipulation,,0,515,437.75,437.75,515,489.25,489.25,499.55,515,504.7,504.7,489.25
10599499_7,DOT PHYSICAL -- CASH ONLY TOS,Outpatient,521,99499,Unlisted evaluation and management service,,0,125,106.25,106.25,125,118.75,118.75,121.25,125,122.5,122.5,118.75
10699499_7,PREEMPLOYMENT PHYSICAL -- CASH ONLY TOS,Outpatient,521,99499,Unlisted evaluation and management service,,0,125,106.25,106.25,125,118.75,118.75,121.25,125,122.5,122.5,118.75
10700010_7,ADMIN HEPATITIS B VACCINE,Outpatient,521,G0010,Admin hepatitis b vaccine,,0,101,85.85,85.85,101,95.95,95.95,97.97,101,98.98,98.98,95.95
10700071_7,VIRTUAL EVAL OF VIDEO/IMAGES >5MIN,Outpatient,521,G0071,Comm svcs by rhc/fqhc 5 min,,0,35,29.75,29.75,35,33.25,33.25,33.95,35,34.3,34.3,33.25
10700105_7,COLONOSCOPY FLEXIBLE,Outpatient,521,G0105,Colorectal scrn; hi risk ind,,0,953,810.05,810.05,953,905.35,905.35,924.41,953,933.94,933.94,905.35
10700121_7,SCREENING COS,Outpatient,521,G0121,Colon ca scrn not hi rsk ind,,0,953,810.05,810.05,953,905.35,905.35,924.41,953,933.94,933.94,905.35
10700168_7,WOUND CLOSURE UTILIZING TISSUE ADHES/O,Outpatient,521,G0168,Wound closure by adhesive,,0,310,263.5,263.5,310,294.5,294.5,300.7,310,303.8,303.8,294.5
10700250_7,HOME INR TEST MGMT REVIEW & INTRPT BY MD,ProFee,982,G0250,Md inr test revie inter mgmt,,0,30,25.5,12,25.5,N/A,15.24,15.24,15.24,15.17,14.82,12
10700296_7,PET IMGE RESTAG THYROD CANCE,Outpatient,521,G0296,Visit to determ ldct elig,,0,196,166.6,166.6,196,186.2,186.2,190.12,196,192.08,192.08,186.2
10700328_7,"FECAL BLD IMMUNOASSAY,MC SCREENING",Outpatient,305,G0328,Fecal blood scrn immunoassay,,0,50,42.5,24.37,49,47.5,24.37,24.37,24.37,49,49,47.5
10700402_7,WELCOME TO MEDICARE PE,Outpatient,521,G0402,Initial preventive exam,,0,361,306.85,306.85,361,342.95,342.95,350.17,361,353.78,353.78,342.95
10700403_7,EKG & INTERPRET/WELCOME TO MCARE EXAM,Outpatient,521,G0403,Ekg for initial prevent exam,,0,72,61.2,27.99,70.56,68.4,27.99,27.99,27.99,70.56,70.56,68.4
10700405_7,EKG INTERPRTATION ONLY WELCOME TO MCARE,Outpatient,521,G0405,Ekg interpret & report preve,,0,33,28.05,14,32.34,31.35,14,14,14,32.34,32.34,31.35
10700436_7,SMOKING/TOBACCO CESSATION 3-10 MINS,Outpatient,521,99406,"Smoking and tobacco use cessation counseling visit; intermediate, greater than 3 minutes up to 10 minutes",,0,32,27.2,27.2,32,30.4,30.4,31.04,32,31.36,31.36,30.4
10700437_7,SMOKING/TOBACCO CESSATION >10 MINS,Outpatient,521,99407,"Smoking and tobacco use cessation counseling visit; intensive, greater than 10 minutes",,0,67,56.95,56.95,67,63.65,63.65,64.99,67,65.66,65.66,63.65
10700438_7,ANNUAL WELLNESS VISIT INITIAL,Outpatient,521,G0438,"Ppps, initial visit",,0,550,467.5,467.5,550,522.5,522.5,533.5,550,539,539,522.5
10700439_7,ANNUAL WELLNESS VISIT SUBSQ,Outpatient,521,G0439,"Ppps, subseq visit",,0,373,317.05,317.05,373,354.35,354.35,361.81,373,365.54,365.54,354.35
10700500_7,FAC MODERATE SEDATION 1ST 15 MIN,Outpatient,521,G0500,Mod sedat endo service >5yrs,,0,131,111.35,111.35,131,124.45,124.45,127.07,131,128.38,128.38,124.45
10700506_7,CM COMPR ASSMT & CARE PLNING CHRONIC CAR,Outpatient,521,G0506,Comp asses care plan ccm svc,,0,158,134.3,134.3,158,150.1,150.1,153.26,158,154.84,154.84,150.1
10802038_7,ADVANCED CARE PLAN 30 MIN,Outpatient,521,99497,"Advance care planning including the explanation and discussion of advance directives such as standard forms (with completion of such forms, when performed), by the physician or other qualified health care professional; first 30 minutes, face-to-face with the patient, family member(s), and/or surrogate",,0,198,168.3,168.3,198,188.1,188.1,192.06,198,194.04,194.04,188.1
10802039_7,F INSERT CATH PLEURA W/O IMAGE,Outpatient,521,32556,"Pleural drainage, percutaneous, with insertion of indwelling catheter; without imaging guidance",,0,1223,1039.55,1039.55,1223,1161.85,1161.85,1186.31,1223,1198.54,1198.54,1161.85
11000696_7,RX CEFTRIAXONE INJ PER 250MG 1G VIAL,Outpatient,636,J0696,Ceftriaxone sodium injection,,0,4,3.4,0.86,3.92,3.8,0.86,0.86,0.86,3.92,3.92,3.8
11000702_7,RX BETAMETHASONE ACET&SOD PHOSP : 3 MG,Outpatient,636,J0702,Betamethasone acet&sod phosp,,0,12,10.2,7.51,11.76,11.4,7.51,7.51,7.51,11.76,11.76,11.4
11000780_7,PROCHLORPERAZINE UP TO 10MG (COMPAZINE),Outpatient,636,J0780,Prochlorperazine injection,,0,15,12.75,12.75,17.63,14.25,17.63,17.63,17.63,14.7,14.7,14.25
11000885_7,RX PROCRIT NON-ESRD 1000 UN 20000UN/ML,Outpatient,636,J0885,"Epoetin alfa, non-esrd",,0,505,429.25,13.46,494.9,479.75,13.46,13.46,13.46,494.9,494.9,479.75
11001000_7,DEPO ESTRADIOL UP TO 5 MG,Outpatient,636,J1000,Depo-estradiol cypionate inj,,0,54,45.9,13.98,52.92,51.3,13.98,13.98,13.98,52.92,52.92,51.3
11001030_7,DEPO-MEDROL 40 MG/ML VIAL,Outpatient,636,J1030,Methylprednisolone 40 mg inj,,0,17,14.45,4.26,16.66,16.15,4.26,4.26,4.26,16.66,16.66,16.15
11001040_7,RX DEPO-MEDROL INJ 80MG ML VIAL,Outpatient,636,J1040,Methylprednisolone 80 mg inj,,0,36,30.6,7.83,35.28,34.2,7.83,7.83,7.83,35.28,35.28,34.2
11001050_7,RX DEPO PROVERA 150 MG 1ML VIAL,Outpatient,636,J1050,Medroxyprogesterone acetate,,0,202,171.7,0.38,197.96,191.9,0.38,0.38,0.38,197.96,197.96,191.9
11001080_7,RX TESTOSTERONE CYPIONAT 200 MG 1ML VIAL,Outpatient,636,J1071,Inj testosterone cypionate,,0,30,25.5,0.04,29.4,28.5,0.04,0.04,0.04,29.4,29.4,28.5
11001100_7,RX INJ DECADRON PER 1 MG 20MG5ML VL,Outpatient,636,J1100,Dexamethasone sodium phos,,0,3,2.55,0.19,2.94,2.85,0.19,0.19,0.19,2.94,2.94,2.85
11001200_7,RX BENADRYL INJ UP TO 50MG 1ML SDV,Outpatient,636,J1200,Diphenhydramine hcl injectio,,0,2,1.7,0.76,1.96,1.9,0.76,0.76,0.76,1.96,1.96,1.9
11001380_7,"INJECTION, ESTRADIOL VALERATE 10 MG",Outpatient,636,J1380,Estradiol valerate 10 mg inj,,0,44,37.4,11.96,43.12,41.8,11.96,11.96,11.96,43.12,43.12,41.8
11001580_7,GENTAMICIN INJ UP TO 80 MG,Outpatient,636,J1580,Garamycin gentamicin inj,,0,3,2.55,1.85,2.94,2.85,1.85,1.85,1.85,2.94,2.94,2.85
11001600_7,SALGONAL INJ UP TO 50MG,Outpatient,636,J1600,Gold sodium thiomaleate inj,,0,28,23.8,23.8,28,26.6,26.6,27.16,28,27.44,27.44,26.6
11001610_7,INJ GLUCAGON HCL PER 1 MG,Outpatient,636,J1610,Glucagon hydrochloride/1 mg,,0,273,232.05,206.42,267.54,259.35,206.42,206.42,206.42,267.54,267.54,259.35
11001630_7,"INJ HALOPERIDOL, UP TO 5MG",Outpatient,636,J1630,Haloperidol injection,,0,4,3.4,3.4,3.92,3.8,3.56,3.56,3.56,3.92,3.92,3.8
11001650_7,RX INJ ENOXAPARIN SODIUM 10MG,Outpatient,636,J1650,Inj enoxaparin sodium,,0,3,2.55,1.98,2.94,2.85,1.98,1.98,1.98,2.94,2.94,2.85
11001670_7,TETNUS IMMUNE GLOBULIN SYG,Outpatient,636,J1670,Tetanus immune globulin inj,,0,446,379.1,371.77,437.08,423.7,371.77,371.77,371.77,437.08,437.08,423.7
11001885_7,RX KETOROLAC PER 15 MG 1ML 30MG VIAL,Outpatient,636,J1885,Ketorolac tromethamine inj,,0,3,2.55,0.6,2.94,2.85,0.6,0.6,0.6,2.94,2.94,2.85
