Procedure Code,Procedure Description,Price Tier,Revenue Code,CPT HCPCS Code,CPT HCPCS Desc,NDC Code,Rx Unit Multiplier,Gross Charge,Discounted Cash Price,De-identified minimum negotiated charge,De-identified maximum negotiated charge,ALLEGIANCE,BCBSMT_HEALTHLINK,BCBSMT_POS_CLOSED_NETWORK,BCBSMT_TRADITIONAL,FIRST_CHOICE_HEALTH,PACIFIC_SOURCE,UNITED_HEALTHCARE,hospital
10057800_7,DILATION OF CERVIAL CANAL INS,Outpatient,521,57800,"Dilation of cervical canal, instrumental (separate procedure)",,0,220,187,29.88,215.6,209,29.88,29.88,29.88,215.6,215.6,209,Pondera_Medical_Center
10058100_7,ENDOMETRIAL BIOPSY,Outpatient,521,58100,"Endometrial sampling (biopsy) with or without endocervical sampling (biopsy), without cervical dilation, any method (separate procedure)",,0,343,291.55,48.96,336.14,325.85,48.96,48.96,48.96,336.14,336.14,325.85,Pondera_Medical_Center
10058110_7,ENDOMETRIAL BIOPSY PERFORMED/COLPOSCOPY,Outpatient,521,58110,Endometrial sampling (biopsy) performed in conjunction with colposcopy (List separately in addition to code for primary procedure),,0,159,135.15,135.15,159,151.05,151.05,154.23,159,155.82,155.82,151.05,Pondera_Medical_Center
10058120_7,FRACTIONAL D&C,Outpatient,521,58120,"Dilation and curettage, diagnostic and/or therapeutic (nonobstetrical)",,0,694,589.9,589.9,694,659.3,659.3,673.18,694,680.12,680.12,659.3,Pondera_Medical_Center
10058150_7,ABDOMINAL HYSTERECTONY,Outpatient,521,58150,"Total abdominal hysterectomy (corpus and cervix), with or without removal of tube(s), with or without removal of ovary(s)",,0,3246,2759.1,2759.1,3246,3083.7,3083.7,3148.62,3246,3181.08,3181.08,3083.7,Pondera_Medical_Center
10058300_7,INSERTION OF IUD,Outpatient,521,58300,Insertion of intrauterine device (IUD),,0,302,256.7,256.7,302,286.9,286.9,292.94,302,295.96,295.96,286.9,Pondera_Medical_Center
10058301_7,REMOVAL OF IUD,Outpatient,521,58301,Removal of intrauterine device (IUD),,0,398,338.3,46.08,390.04,378.1,46.08,46.08,46.08,390.04,390.04,378.1,Pondera_Medical_Center
10058340_7,CATH&INTRO CONTRST FOR HYSTEROSALPINGRPH,Outpatient,521,58340,Catheterization and introduction of saline or contrast material for saline infusion sonohysterography (SIS) or hysterosalpingography,,0,658,559.3,559.3,658,625.1,625.1,638.26,658,644.84,644.84,625.1,Pondera_Medical_Center
10058561_7,HYSTEROSCOPY W/REMOVAL OF LEIOMYOMATA,Outpatient,521,58561,"Hysteroscopy, surgical; with removal of leiomyomata",,0,2356,2002.6,2002.6,2356,2238.2,2238.2,2285.32,2356,2308.88,2308.88,2238.2,Pondera_Medical_Center
10058600_7,OVIDUCT LIGATION OF FALLOPIAN,Outpatient,521,58600,"Ligation or transection of fallopian tube(s), abdominal or vaginal approach, unilateral or bilateral",,0,1784,1516.4,1516.4,1784,1694.8,1694.8,1730.48,1784,1748.32,1748.32,1694.8,Pondera_Medical_Center
10058605_7,LIGATION FALLOPIAN TUBE BILATE,Outpatient,521,58605,"Ligation or transection of fallopian tube(s), abdominal or vaginal approach, postpartum, unilateral or bilateral, during same hospitalization (separate procedure)",,0,1784,1516.4,1516.4,1784,1694.8,1694.8,1730.48,1784,1748.32,1748.32,1694.8,Pondera_Medical_Center
10058611_7,LIGATION OF FALLOPIAN TUBES,Outpatient,521,58611,Ligation or transection of fallopian tube(s) when done at the time of cesarean delivery or intra-abdominal surgery (not a separate procedure) (List separately in addition to code for primary procedure),,0,1115,947.75,947.75,1115,1059.25,1059.25,1081.55,1115,1092.7,1092.7,1059.25,Pondera_Medical_Center
10058660_7,LAPAROSCOPY W/LEPIO OF ADHESIONS,Outpatient,521,58660,"Laparoscopy, surgical; with lysis of adhesions (salpingolysis, ovariolysis) (separate procedure)",,0,2893,2459.05,2459.05,2893,2748.35,2748.35,2806.21,2893,2835.14,2835.14,2748.35,Pondera_Medical_Center
10058661_7,LAPAROSCOPY SURGICAL REMOV ADNEZAL STRUC,Outpatient,521,58661,"Laparoscopy, surgical; with removal of adnexal structures (partial or total oophorectomy and/or salpingectomy)",,0,2775,2358.75,2358.75,2775,2636.25,2636.25,2691.75,2775,2719.5,2719.5,2636.25,Pondera_Medical_Center
10058662_7,SURG LAPAROSCOPY W/EXCIS OVARY PELVIC,Outpatient,521,58662,"Laparoscopy, surgical; with fulguration or excision of lesions of the ovary, pelvic viscera, or peritoneal surface by any method",,0,2355,2001.75,2001.75,2355,2237.25,2237.25,2284.35,2355,2307.9,2307.9,2237.25,Pondera_Medical_Center
10058670_7,LAPAROSCOPIC FULGURATION OF OVIDUCTS,Outpatient,521,58670,"Laparoscopy, surgical; with fulguration of oviducts (with or without transection)",,0,1784,1516.4,1516.4,1784,1694.8,1694.8,1730.48,1784,1748.32,1748.32,1694.8,Pondera_Medical_Center
10058671_7,LAPAROSCOPY/OCCLUSION OVIDUCTS BY DERICE,Outpatient,521,58671,"Laparoscopy, surgical; with occlusion of oviducts by device (eg, band, clip, or Falope ring)",,0,1784,1516.4,1516.4,1784,1694.8,1694.8,1730.48,1784,1748.32,1748.32,1694.8,Pondera_Medical_Center
10058720_7,SALPINGO-OOPHORECTOMY,Outpatient,521,58720,"Salpingo-oophorectomy, complete or partial, unilateral or bilateral (separate procedure)",,0,2775,2358.75,2358.75,2775,2636.25,2636.25,2691.75,2775,2719.5,2719.5,2636.25,Pondera_Medical_Center
10058740_7,LYSIS OF ADHESIONS,Outpatient,521,58740,"Lysis of adhesions (salpingolysis, ovariolysis)",,0,2893,2459.05,2459.05,2893,2748.35,2748.35,2806.21,2893,2835.14,2835.14,2748.35,Pondera_Medical_Center
10058805_7,ABDONINAL APPROACH TO OVARY,Outpatient,521,58805,"Drainage of ovarian cyst(s), unilateral or bilateral (separate procedure); abdominal approach",,0,1903,1617.55,1617.55,1903,1807.85,1807.85,1845.91,1903,1864.94,1864.94,1807.85,Pondera_Medical_Center
10058900_7,BIOPSY OF OVARY UN/BILATERIAL,Outpatient,521,58900,"Biopsy of ovary, unilateral or bilateral (separate procedure)",,0,1784,1516.4,1516.4,1784,1694.8,1694.8,1730.48,1784,1748.32,1748.32,1694.8,Pondera_Medical_Center
10058925_7,OVARIAN CYSTECTONY,Outpatient,521,58925,"Ovarian cystectomy, unilateral or bilateral",,0,2378,2021.3,2021.3,2378,2259.1,2259.1,2306.66,2378,2330.44,2330.44,2259.1,Pondera_Medical_Center
10058940_7,"OOPHORECTOMY,PART/ALL UN /BILA",Outpatient,521,58940,"Oophorectomy, partial or total, unilateral or bilateral",,0,2220,1887,1887,2220,2109,2109,2153.4,2220,2175.6,2175.6,2109,Pondera_Medical_Center
10059025_7,FETAL NON STRESS TEST,Outpatient,521,59025,Fetal non-stress test,,0,194,164.9,30.91,190.12,184.3,30.91,30.91,30.91,190.12,190.12,184.3,Pondera_Medical_Center
10059050_7,FETAL MONITOR PHYSICIAN INTEP SUPERVISI,Outpatient,521,59050,"Fetal monitoring during labor by consulting physician (ie, non-attending physician) with written report; supervision and interpretation",,0,249,211.65,211.65,249,236.55,236.55,241.53,249,244.02,244.02,236.55,Pondera_Medical_Center
10059051_7,FETAL MONITOR PHSICIAN INTERP NONSUPERV,Outpatient,521,59051,"Fetal monitoring during labor by consulting physician (ie, non-attending physician) with written report; interpretation only",,0,204,173.4,173.4,204,193.8,193.8,197.88,204,199.92,199.92,193.8,Pondera_Medical_Center
10059120_7,SURGICAL TX OF ECTOPIC PREGNAN,Outpatient,521,59120,"Surgical treatment of ectopic pregnancy; tubal or ovarian, requiring salpingectomy and/or oophorectomy, abdominal or vaginal approach",,0,2605,2214.25,2214.25,2605,2474.75,2474.75,2526.85,2605,2552.9,2552.9,2474.75,Pondera_Medical_Center
10059151_7,LAP ECTOPIC PG W/SALPHINGECTO,Outpatient,521,59151,Laparoscopic treatment of ectopic pregnancy; with salpingectomy and/or oophorectomy,,0,2639,2243.15,2243.15,2639,2507.05,2507.05,2559.83,2639,2586.22,2586.22,2507.05,Pondera_Medical_Center
10059160_7,"CURETTAGE, POSTPARTUM",Outpatient,521,59160,"Curettage, postpartum",,0,1175,998.75,998.75,1175,1116.25,1116.25,1139.75,1175,1151.5,1151.5,1116.25,Pondera_Medical_Center
10059400_7,F ANTEPARTUM CARE VGNL DELIVERY & POST,Outpatient,521,59400,"Routine obstetric care including antepartum care, vaginal delivery (with or without episiotomy, and/or forceps) and postpartum care",,0,5704,4848.4,4848.4,5704,5418.8,5418.8,5532.88,5704,5589.92,5589.92,5418.8,Pondera_Medical_Center
10059409_7,VAGINAL DELIVERY W/OR W/OUT EPISIOTOMY,Outpatient,521,59409,Vaginal delivery only (with or without episiotomy and/or forceps),,0,2247,1909.95,1909.95,2247,2134.65,2134.65,2179.59,2247,2202.06,2202.06,2134.65,Pondera_Medical_Center
10059410_7,F VAGINAL DELIVERY INCL POSTPART,Outpatient,521,59410,Vaginal delivery only (with or without episiotomy and/or forceps); including postpartum care,,0,2867,2436.95,2436.95,2867,2723.65,2723.65,2780.99,2867,2809.66,2809.66,2723.65,Pondera_Medical_Center
10059412_7,EXTERNAL CEPHALIC VERSION C/S TOCOPGSIS,Outpatient,521,59412,"External cephalic version, with or without tocolysis",,0,722,613.7,613.7,722,685.9,685.9,700.34,722,707.56,707.56,685.9,Pondera_Medical_Center
10059414_7,DELIVERY OF PLACENTA,Outpatient,521,59414,Delivery of placenta (separate procedure),,0,571,485.35,485.35,571,542.45,542.45,553.87,571,559.58,559.58,542.45,Pondera_Medical_Center
10059425_7,ANTEPARTUM CARE ONLY 4-6 VISIT,Outpatient,521,59425,Antepartum care only; 4-6 visits,,0,1268,1077.8,1077.8,1268,1204.6,1204.6,1229.96,1268,1242.64,1242.64,1204.6,Pondera_Medical_Center
10059426_7,ANTEPARTUM CARE 7 OR MORE VISITS,Outpatient,521,59426,Antepartum care only; 7 or more visits,,0,1886,1603.1,1603.1,1886,1791.7,1791.7,1829.42,1886,1848.28,1848.28,1791.7,Pondera_Medical_Center
10059430_7,POSTPARTUM CARE ONLY,Outpatient,521,59430,Postpartum care only (separate procedure),,0,514,436.9,436.9,514,488.3,488.3,498.58,514,503.72,503.72,488.3,Pondera_Medical_Center
10059510_7,F LOW CERVICAL C-S,Outpatient,521,59510,"Routine obstetric care including antepartum care, cesarean delivery, and postpartum care",,0,6351,5398.35,5398.35,6351,6033.45,6033.45,6160.47,6351,6223.98,6223.98,6033.45,Pondera_Medical_Center
10059514_7,CESAREAN SECTION,Outpatient,521,59514,Cesarean delivery only,,0,2750,2337.5,2337.5,2750,2612.5,2612.5,2667.5,2750,2695,2695,2612.5,Pondera_Medical_Center
10059515_7,CESAREAN DELIVERY INCL POSTPAR,Outpatient,521,59515,Cesarean delivery only; including postpartum care,,0,3492,2968.2,2968.2,3492,3317.4,3317.4,3387.24,3492,3422.16,3422.16,3317.4,Pondera_Medical_Center
10059610_7,COMPLETE OB CARE - VBAC,Outpatient,521,59610,"Routine obstetric care including antepartum care, vaginal delivery (with or without episiotomy, and/or forceps) and postpartum care, after previous cesarean delivery",,0,6027,5122.95,5122.95,6027,5725.65,5725.65,5846.19,6027,5906.46,5906.46,5725.65,Pondera_Medical_Center
10059612_7,VBAC WO POST PARTUM CARE,Outpatient,521,59612,"Vaginal delivery only, after previous cesarean delivery (with or without episiotomy and/or forceps)",,0,3183,2705.55,2705.55,3183,3023.85,3023.85,3087.51,3183,3119.34,3119.34,3023.85,Pondera_Medical_Center
10059614_7,VBAC INCLUDING POSTPARTUM CARE,Outpatient,521,59614,"Vaginal delivery only, after previous cesarean delivery (with or without episiotomy and/or forceps); including postpartum care",,0,3164,2689.4,2689.4,3164,3005.8,3005.8,3069.08,3164,3100.72,3100.72,3005.8,Pondera_Medical_Center
10059618_7,ATTEMPTED VBAC DELIVERY,Outpatient,521,59618,"Routine obstetric care including antepartum care, cesarean delivery, and postpartum care, following attempted vaginal delivery after previous cesarean delivery",,0,6441,5474.85,5474.85,6441,6118.95,6118.95,6247.77,6441,6312.18,6312.18,6118.95,Pondera_Medical_Center
10059620_7,CESAREAN DELV ONLY S/P PREVIOUS C-SEC,Outpatient,521,59620,"Cesarean delivery only, following attempted vaginal delivery after previous cesarean delivery",,0,2823,2399.55,2399.55,2823,2681.85,2681.85,2738.31,2823,2766.54,2766.54,2681.85,Pondera_Medical_Center
10059812_7,TREATMENT OF INCOMPLETE ABORTI,Outpatient,521,59812,"Treatment of incomplete abortion, any trimester, completed surgically",,0,1215,1032.75,1032.75,1215,1154.25,1154.25,1178.55,1215,1190.7,1190.7,1154.25,Pondera_Medical_Center
10059820_7,TREATMENT MISSED ABORTION SURG,Outpatient,521,59820,"Treatment of missed abortion, completed surgically; first trimester",,0,1335,1134.75,1134.75,1335,1268.25,1268.25,1294.95,1335,1308.3,1308.3,1268.25,Pondera_Medical_Center
10059855_7,INDUCED ABORTION VAG SUPPOSITOUIS,Outpatient,521,59855,"Induced abortion, by 1 or more vaginal suppositories (eg, prostaglandin) with or without cervical dilation (eg, laminaria), including hospital admission and visits, delivery of fetus and secundines",,0,1369,1163.65,1163.65,1369,1300.55,1300.55,1327.93,1369,1341.62,1341.62,1300.55,Pondera_Medical_Center
10060200_7,EXCISION OF CYST OF THYROID,Outpatient,521,60200,"Excision of cyst or adenoma of thyroid, or transection of isthmus",,0,2042,1735.7,1735.7,2042,1939.9,1939.9,1980.74,2042,2001.16,2001.16,1939.9,Pondera_Medical_Center
10062270_7,SPINAL PUNCTURE LUMBAR,Outpatient,521,62270,"Spinal puncture, lumbar, diagnostic",,0,337,286.45,286.45,337,320.15,320.15,326.89,337,330.26,330.26,320.15,Pondera_Medical_Center
10062272_7,"SPINAL PUNCTURE, THERAPEUTIC",Outpatient,521,62272,"Spinal puncture, therapeutic, for drainage of cerebrospinal fluid (by needle or catheter)",,0,535,454.75,454.75,535,508.25,508.25,518.95,535,524.3,524.3,508.25,Pondera_Medical_Center
10064405_7,"INJ, ANESTHECTIC AGENT, GREAT OCC NERVE",Outpatient,521,64405,"Injection(s), anesthetic agent(s) and/or steroid; greater occipital nerve",,0,520,442,64.44,509.6,494,64.44,64.44,64.44,509.6,509.6,494,Pondera_Medical_Center
10064450_7,"INJ, ANESTHETIC AGENT, OTHER PERI NERVE",Outpatient,521,64450,"Injection(s), anesthetic agent(s) and/or steroid; other peripheral nerve or branch",,0,323,274.55,52.56,316.54,306.85,52.56,52.56,52.56,316.54,316.54,306.85,Pondera_Medical_Center
10064455_7,"INJ, PLANTAR NERVE",Outpatient,521,64455,"Injection(s), anesthetic agent(s) and/or steroid; plantar common digital nerve(s) (eg, Morton's neuroma)",,0,167,141.95,19.8,163.66,158.65,19.8,19.8,19.8,163.66,163.66,158.65,Pondera_Medical_Center
10064722_7,DECOMPRESSION MEDIAN NERVE AT CARPAL TNL,Outpatient,521,64722,Decompression; unspecified nerve(s) (specify),,0,1501,1275.85,1275.85,1501,1425.95,1425.95,1455.97,1501,1470.98,1470.98,1425.95,Pondera_Medical_Center
10064772_7,TRANSECTION OR AVULSION/OTH SPIN NER EXT,Outpatient,521,64772,"Transection or avulsion of other spinal nerve, extradural",,0,1531,1301.35,1301.35,1531,1454.45,1454.45,1485.07,1531,1500.38,1500.38,1454.45,Pondera_Medical_Center
10065205_7,REMOVAL FOREIGN BODY EX. EYE,Outpatient,521,65205,"Removal of foreign body, external eye; conjunctival superficial",,0,151,128.35,128.35,151,143.45,143.45,146.47,151,147.98,147.98,143.45,Pondera_Medical_Center
10065210_7,REMOVAL OF FB OF CORNEA,Outpatient,521,65210,"Removal of foreign body, external eye; conjunctival embedded (includes concretions), subconjunctival, or scleral nonperforating",,0,186,158.1,158.1,186,176.7,176.7,180.42,186,182.28,182.28,176.7,Pondera_Medical_Center
10065220_7,CORNEAL FOREIGN BODY REMOVAL,Outpatient,521,65220,"Removal of foreign body, external eye; corneal, without slit lamp",,0,194,164.9,164.9,194,184.3,184.3,188.18,194,190.12,190.12,184.3,Pondera_Medical_Center
10065222_7,REMOVAL OF CORNEAL FOREIGN BOD,Outpatient,521,65222,"Removal of foreign body, external eye; corneal, with slit lamp",,0,203,172.55,172.55,203,192.85,192.85,196.91,203,198.94,198.94,192.85,Pondera_Medical_Center
100668_1,CARDIOVERSION EXTERNAL,Inpatient,480,92960,"Cardioversion, elective, electrical conversion of arrhythmia; external",,0,1539,1308.15,1308.15,1539,1462.05,1462.05,1492.83,1539,1508.22,1508.22,1462.05,Pondera_Medical_Center
100668_1,CARDIOVERSION EXTERNAL,Outpatient,480,92960,"Cardioversion, elective, electrical conversion of arrhythmia; external",,0,1539,1308.15,1308.15,1539,1462.05,1462.05,1492.83,1539,1508.22,1508.22,1462.05,Pondera_Medical_Center
10067700_7,BLEPHAROTONY DRAINAGE EYELID,Outpatient,521,67700,"Blepharotomy, drainage of abscess, eyelid",,0,659,560.15,139.45,645.82,626.05,139.45,139.45,139.45,645.82,645.82,626.05,Pondera_Medical_Center
10067800_7,EXCISION OF CHALAZION SINGLE EYELID,Outpatient,521,67800,Excision of chalazion; single,,0,345,293.25,76.68,338.1,327.75,76.68,76.68,76.68,338.1,338.1,327.75,Pondera_Medical_Center
10069000_7,DRAINAGE EXTERNAL EAR HEMATONA/ABSCESS,Outpatient,521,69000,"Drainage external ear, abscess or hematoma; simple",,0,469,398.65,129.96,459.62,445.55,129.96,129.96,129.96,459.62,459.62,445.55,Pondera_Medical_Center
10069105_7,BIOPSY EXTERNAL AUDITORY CANAL,Outpatient,521,69105,Biopsy external auditory canal,,0,374,317.9,106.56,366.52,355.3,106.56,106.56,106.56,366.52,366.52,355.3,Pondera_Medical_Center
10069200_7,EAR REMOVAL FOREIGN BODY,Outpatient,521,69200,Removal foreign body from external auditory canal; without general anesthesia,,0,279,237.15,237.15,279,265.05,265.05,270.63,279,273.42,273.42,265.05,Pondera_Medical_Center
10069209_7,REMOVE IMPACTED EAR WAX UNI,Outpatient,521,69209,"Removal impacted cerumen using irrigation/lavage, unilateral",,0,130,110.5,110.5,130,123.5,123.5,126.1,130,127.4,127.4,123.5,Pondera_Medical_Center
10069210_7,CERUMEN REMOVAL,Outpatient,521,69210,"Removal impacted cerumen requiring instrumentation, unilateral",,0,139,118.15,118.15,139,132.05,132.05,134.83,139,136.22,136.22,132.05,Pondera_Medical_Center
100696_1,CARDIOPULMONARY RESUSCITATION,Emergency,450,92950,"Cardiopulmonary resuscitation (eg, in cardiac arrest)",,0,1021,867.85,867.85,1021,969.95,969.95,990.37,1021,1000.58,1000.58,969.95,Pondera_Medical_Center
100696_1,CARDIOPULMONARY RESUSCITATION,Inpatient,450,92950,"Cardiopulmonary resuscitation (eg, in cardiac arrest)",,0,1021,867.85,867.85,1021,969.95,969.95,990.37,1021,1000.58,1000.58,969.95,Pondera_Medical_Center
100699_1,ER E&M LEVEL 1 TECH,Emergency,450,99281,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor.",,0,205,174.25,35.17,205,194.75,35.17,35.17,35.17,200.9,200.9,194.75,Pondera_Medical_Center
100699_1,ER E&M LEVEL 1 TECH,Inpatient,450,99281,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor.",,0,205,174.25,35.17,205,194.75,194.75,198.85,205,200.9,200.9,194.75,Pondera_Medical_Center
100700_1,ER E&M LEVEL 2 TECH,Emergency,450,99282,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity.",,0,347,294.95,68.59,347,329.65,68.59,68.59,68.59,340.06,340.06,329.65,Pondera_Medical_Center
100700_1,ER E&M LEVEL 2 TECH,Inpatient,450,99282,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity.",,0,347,294.95,68.59,347,329.65,329.65,336.59,347,340.06,340.06,329.65,Pondera_Medical_Center
100701_1,ER E&M LEVEL 3 TECH,Emergency,450,99283,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",,0,573,487.05,102.59,573,544.35,102.59,102.59,102.59,561.54,561.54,544.35,Pondera_Medical_Center
100701_1,ER E&M LEVEL 3 TECH,Inpatient,450,99283,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity.",,0,573,487.05,102.59,573,544.35,544.35,555.81,573,561.54,561.54,544.35,Pondera_Medical_Center
100702_1,ER E&M LEVEL 4 TECH,Emergency,450,99284,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician, or other qualified health care professionals but do not pose an immediate significant threat to life or physiologic function.",,0,1009,857.65,194.62,1009,958.55,194.62,194.62,194.62,988.82,988.82,958.55,Pondera_Medical_Center
100702_1,ER E&M LEVEL 4 TECH,Inpatient,450,99284,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician, or other qualified health care professionals but do not pose an immediate significant threat to life or physiologic function.",,0,1009,857.65,194.62,1009,958.55,958.55,978.73,1009,988.82,988.82,958.55,Pondera_Medical_Center
100703_1,ER E&M LEVEL 5 TECH,Emergency,450,99285,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components within the constraints imposed by the urgency of the patient's clinical condition and/or mental status: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity and pose an immediate significant threat to life or physiologic function.",,0,1570,1334.5,286.65,1570,1491.5,286.65,286.65,286.65,1538.6,1538.6,1491.5,Pondera_Medical_Center
100703_1,ER E&M LEVEL 5 TECH,Inpatient,450,99285,"Emergency department visit for the evaluation and management of a patient, which requires these 3 key components within the constraints imposed by the urgency of the patient's clinical condition and/or mental status: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity and pose an immediate significant threat to life or physiologic function.",,0,1570,1334.5,286.65,1570,1491.5,1491.5,1522.9,1570,1538.6,1538.6,1491.5,Pondera_Medical_Center
10074283_7,THERAPEUTIC ENEMA,Outpatient,521,74283,"Therapeutic enema, contrast or air, for reduction of intussusception or other intraluminal obstruction (eg, meconium ileus)",,0,539,458.15,236.78,528.22,512.05,236.78,236.78,236.78,528.22,528.22,512.05,Pondera_Medical_Center
10074410_7,UROGRAPHY INFUSION DRIP TECHNT,Outpatient,521,74410,"Urography, infusion, drip technique and/or bolus technique",,0,340,289,173.79,333.2,323,173.79,173.79,173.79,333.2,333.2,323,Pondera_Medical_Center
100765_1,ENUCLEATION EXT THROMB HEMORR,Emergency,450,46320,"Excision of thrombosed hemorrhoid, external",,0,980,833,121.68,980,931,121.68,121.68,121.68,960.4,960.4,931,Pondera_Medical_Center
100765_1,ENUCLEATION EXT THROMB HEMORR,Inpatient,450,46320,"Excision of thrombosed hemorrhoid, external",,0,980,833,121.68,980,931,931,950.6,980,960.4,960.4,931,Pondera_Medical_Center
10076857_7,ULTRA SOUND PELVIC LIMITED,Outpatient,521,76857,"Ultrasound, pelvic (nonobstetric), real time with image documentation; limited or follow-up (eg, for follicles)",,0,267,226.95,39.07,261.66,253.65,39.07,39.07,39.07,261.66,261.66,253.65,Pondera_Medical_Center
100770_1,I & D FOREARM WRIST DEEP ABSCESS,Emergency,450,25028,"Incision and drainage, forearm and/or wrist; deep abscess or hematoma",,0,2646,2249.1,2249.1,2646,2513.7,2513.7,2566.62,2646,2593.08,2593.08,2513.7,Pondera_Medical_Center
100770_1,I & D FOREARM WRIST DEEP ABSCESS,Inpatient,450,25028,"Incision and drainage, forearm and/or wrist; deep abscess or hematoma",,0,2646,2249.1,2249.1,2646,2513.7,2513.7,2566.62,2646,2593.08,2593.08,2513.7,Pondera_Medical_Center
10081000_7,"URINALYSIS,DIP AND MICRO",Outpatient,521,81000,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; non-automated, with microscopy",,0,20,17,5.43,19.6,19,5.43,5.43,5.43,19.6,19.6,19,Pondera_Medical_Center
10081003_7,"URINALYSIS, AUTO, W/O SCOPE",Outpatient,521,81003,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",,0,16,13.6,3.04,15.68,15.2,3.04,3.04,3.04,15.68,15.68,15.2,Pondera_Medical_Center
10081025_7,PREG TEST,Outpatient,300,81025,"Urine pregnancy test, by visual color comparison methods",,0,33,28.05,11.62,32.34,31.35,11.62,11.62,11.62,32.34,32.34,31.35,Pondera_Medical_Center
10082274_7,"FECAL BLD IMMUNOASSAY, DIAG",Outpatient,300,82274,"Blood, occult, by fecal hemoglobin determination by immunoassay, qualitative, feces, 1-3 simultaneous determinations",,0,73,62.05,21.49,71.54,69.35,21.49,21.49,21.49,71.54,71.54,69.35,Pondera_Medical_Center
10082948_7,REAGENT STRIP/BLOOD GLUCOSE,Outpatient,300,82948,"Glucose; blood, reagent strip",,0,21,17.85,6.8,20.58,19.95,6.8,6.8,6.8,20.58,20.58,19.95,Pondera_Medical_Center
10082962_7,GLUCOSE SCAN,Outpatient,521,82962,"Glucose, blood by glucose monitoring device(s) cleared by the FDA specifically for home use",,0,24,20.4,4.43,23.52,22.8,4.43,4.43,4.43,23.52,23.52,22.8,Pondera_Medical_Center
10083036_7,GLYCOSYLATED HEMOGLOBIN TEST,Outpatient,300,83036,Hemoglobin; glycosylated (A1C),,0,73,62.05,13.11,71.54,69.35,13.11,13.11,13.11,71.54,71.54,69.35,Pondera_Medical_Center
10083986_7,ASSAY OF BODY FLUID ACIDITY,Outpatient,521,83986,"pH; body fluid, not otherwise specified",,0,16,13.6,4.83,15.68,15.2,4.83,4.83,4.83,15.68,15.68,15.2,Pondera_Medical_Center
