Run Date: 1/11/2022 2:58:27 PM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,hospital
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,38962.07,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,18700.06,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,38962.07,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,20368.92,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,33730.15,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,18700.06,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,38962.07,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,28883.57,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,25378.65,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
58,,29827 - Repair of shoulder rotator cuff using an endoscope,,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: OUTPATIENT,,,,,Community_Hospital_of_Anaconda
,1.0,PHARMACY - GENERAL CLASSIFICATION,250,,4,78.9,Community_Hospital_of_Anaconda
,2.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY,271,,5,1925.78,Community_Hospital_of_Anaconda
,3.0,BREATHING CIRCUITS,271,A4618,1,89.99,Community_Hospital_of_Anaconda
,4.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,272,,22,6975.33,Community_Hospital_of_Anaconda
,5.0,STERILE NEEDLE,272,A4215,1,137.72,Community_Hospital_of_Anaconda
,6.0,"STERILE WATER/SALINE, 500 ML",272,A4217,5,417.96,Community_Hospital_of_Anaconda
,7.0,TUBING USED W SUCTION PUMP,272,A7002,2,141.9,Community_Hospital_of_Anaconda
,8.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT,278,,4,6947.08,Community_Hospital_of_Anaconda
,9.0,"ANCHOR/SCREW BN/BN,TIS/BN",278,C1713,1,1621.4,Community_Hospital_of_Anaconda
,10.0,ANCHORING OF BICEPS TENDON,360,23430,1,6175.05,Community_Hospital_of_Anaconda
,11.0,ULTRASONIC GUIDANCE FOR NEEDLE PLACEMENT,402,76942,1,543.43,Community_Hospital_of_Anaconda
,12.0,PHARMACY - EXTENSION OF 025X - DRUGS REQUIRING DETAILED CODING,636,,4,425.47,Community_Hospital_of_Anaconda
,13.0,ADRENALIN EPINEPHRINE INJECT,636,J0171,125,1003.53,Community_Hospital_of_Anaconda
,14.0,CEFAZOLIN SODIUM INJECTION,636,J0690,4,56.48,Community_Hospital_of_Anaconda
,15.0,DEXAMETHASONE SODIUM PHOS,636,J1100,5,30,Community_Hospital_of_Anaconda
,16.0,LIDOCAINE INJECTION,636,J2001,9,64.61,Community_Hospital_of_Anaconda
,17.0,ONDANSETRON HCL INJECTION,636,J2405,4,10.91,Community_Hospital_of_Anaconda
,18.0,"INJ, PROPOFOL, 10 MG",636,J2704,34,77.3,Community_Hospital_of_Anaconda
,19.0,ROPIVACAINE HCL INJECTION,636,J2795,103,36.66,Community_Hospital_of_Anaconda
,20.0,FENTANYL CITRATE INJECTION,636,J3010,2,22.12,Community_Hospital_of_Anaconda
,21.0,DRUGS UNCLASSIFIED INJECTION,636,J3490,1,14.57,Community_Hospital_of_Anaconda
,22.0,RINGERS LACTATE INFUSION,636,J7120,1,101.46,Community_Hospital_of_Anaconda
,23.0,RECOVERY ROOM - GENERAL CLASSIFICATION,710,,145,539.11,Community_Hospital_of_Anaconda
,24.0,ANESTHESIA FOR OTHER PROCEDURE ON TOP OF ARM BONE AND SHOULDER JOINT,964,1630,115,1244.25,Community_Hospital_of_Anaconda
,25.0,INJECTION OF ANESTHETIC AGENT AND/OR STEROID INTO ARM NERVE BUNDLE,964,64415,1,644.23,Community_Hospital_of_Anaconda
,26.0,ANCHORING OF BICEPS TENDON,975,23430,2,3043.35,Community_Hospital_of_Anaconda
,27.0,REMOVAL OF EXTENSIVE SHOULDER JOINT TISSUE USING AN ENDOSCOPE,975,29823,2,2237.43,Community_Hospital_of_Anaconda
,28.0,SHAVING OF PART OF SHOULDER BONE AND REPAIR OF LIGAMENT USING AN ENDOSCOPE,975,29826,2,2395.65,Community_Hospital_of_Anaconda
,29.0,REPAIR OF SHOULDER ROTATOR CUFF USING AN ENDOSCOPE,975,29827,1,3322.2,Community_Hospital_of_Anaconda
,30.0,PATIENT CONVENIENCE ITEMS - GENERAL CLASSIFICATION,990,,71,0,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,40323.86,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,19205.72,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,40323.86,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,20815.28,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,34919.64,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,19205.72,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,40323.86,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,32196.95,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,26064.91,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
59,,29876 - Removal of joint lining from multiple knee joint compartments using an endoscope,,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: AMBULATORY SURGICAL,,,,,Community_Hospital_of_Anaconda
,1.0,PHARMACY - GENERAL CLASSIFICATION,250,,9,235.84,Community_Hospital_of_Anaconda
,2.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY,271,,4,621.81,Community_Hospital_of_Anaconda
,3.0,BREATHING CIRCUITS,271,A4618,2,175.13,Community_Hospital_of_Anaconda
,4.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,272,,17,3489.13,Community_Hospital_of_Anaconda
,5.0,"ELECTRODES, PAIR",272,A4556,2,282.6,Community_Hospital_of_Anaconda
,6.0,REMOVAL OF JOINT LINING FROM MULTIPLE KNEE JOINT COMPARTMENTS USING AN ENDOSCOPE,360,29876,1,6645.29,Community_Hospital_of_Anaconda
,7.0,PHARMACY - EXTENSION OF 025X - DRUGS REQUIRING DETAILED CODING,636,,2,143.43,Community_Hospital_of_Anaconda
,8.0,DEXAMETHASONE SODIUM PHOS,636,J1100,8,40.29,Community_Hospital_of_Anaconda
,9.0,LIDOCAINE INJECTION,636,J2001,19,141.59,Community_Hospital_of_Anaconda
,10.0,ONDANSETRON HCL INJECTION,636,J2405,8,19.89,Community_Hospital_of_Anaconda
,11.0,"INJ, PROPOFOL, 10 MG",636,J2704,67,172.26,Community_Hospital_of_Anaconda
,12.0,ROPIVACAINE HCL INJECTION,636,J2795,202,79.4,Community_Hospital_of_Anaconda
,13.0,FENTANYL CITRATE INJECTION,636,J3010,3,44.44,Community_Hospital_of_Anaconda
,14.0,DRUGS UNCLASSIFIED INJECTION,636,J3490,2,32.91,Community_Hospital_of_Anaconda
,15.0,RINGERS LACTATE INFUSION,636,J7120,2,118.13,Community_Hospital_of_Anaconda
,16.0,RECOVERY ROOM - GENERAL CLASSIFICATION,710,,221,820.79,Community_Hospital_of_Anaconda
,17.0,ANESTHESIA FOR OTHER PROCEDURE OR EXAM OF KNEE JOINT USING AN ENDOSCOPE,964,1400,92,1324.45,Community_Hospital_of_Anaconda
,18.0,REMOVAL OF JOINT LINING FROM MULTIPLE KNEE JOINT COMPARTMENTS USING AN ENDOSCOPE,975,29876,1,1926,Community_Hospital_of_Anaconda
,19.0,REMOVAL OF KNEE CARTILAGE USING AN ENDOSCOPE,975,29881,3,4111.03,Community_Hospital_of_Anaconda
,20.0,PATIENT CONVENIENCE ITEMS - GENERAL CLASSIFICATION,990,,142,0,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,20424.4,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,9144.05,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,20424.4,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,9931.22,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,17728.82,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,9144.05,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,20424.4,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,15759.95,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,12409.78,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
60,,29880 - Removal of both knee cartilages using an endoscope,,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: AMBULATORY SURGICAL,,,,,Community_Hospital_of_Anaconda
,1.0,PHARMACY - GENERAL CLASSIFICATION,250,,8,39.92,Community_Hospital_of_Anaconda
,2.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY,271,,5,998.2,Community_Hospital_of_Anaconda
,3.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,272,,20,5436.21,Community_Hospital_of_Anaconda
,4.0,REMOVAL OF BOTH KNEE CARTILAGES USING AN ENDOSCOPE,360,29880,1,8512.5,Community_Hospital_of_Anaconda
,5.0,HYDROMORPHONE INJECTION,636,J1170,3,55.35,Community_Hospital_of_Anaconda
,6.0,LIDOCAINE INJECTION,636,J2001,14,105.4,Community_Hospital_of_Anaconda
,7.0,ONDANSETRON HCL INJECTION,636,J2405,8,20.93,Community_Hospital_of_Anaconda
,8.0,"INJ, PROPOFOL, 10 MG",636,J2704,65,189.08,Community_Hospital_of_Anaconda
,9.0,ROPIVACAINE HCL INJECTION,636,J2795,212,102.36,Community_Hospital_of_Anaconda
,10.0,FENTANYL CITRATE INJECTION,636,J3010,3,43.93,Community_Hospital_of_Anaconda
,11.0,DRUGS UNCLASSIFIED INJECTION,636,J3490,2,53.68,Community_Hospital_of_Anaconda
,12.0,RINGERS LACTATE INFUSION,636,J7120,3,164.53,Community_Hospital_of_Anaconda
,13.0,RECOVERY ROOM - GENERAL CLASSIFICATION,710,,261,900.7,Community_Hospital_of_Anaconda
,14.0,ANESTHESIA FOR OTHER PROCEDURE OR EXAM OF KNEE JOINT USING AN ENDOSCOPE,964,1400,138,1721.8,Community_Hospital_of_Anaconda
,15.0,REMOVAL OF BOTH KNEE CARTILAGES USING AN ENDOSCOPE,975,29880,2,4458.12,Community_Hospital_of_Anaconda
,16.0,PATIENT CONVENIENCE ITEMS - GENERAL CLASSIFICATION,990,,132,0,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,22802.71,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,11635.95,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,22802.71,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,12710.03,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,19691.3,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,11635.95,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,22802.71,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,17138.63,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,15791.65,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
61,,29881 - Removal of knee cartilage using an endoscope,,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: AMBULATORY SURGICAL,,,,,Community_Hospital_of_Anaconda
,1.0,PHARMACY - GENERAL CLASSIFICATION,250,,7,124.25,Community_Hospital_of_Anaconda
,2.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY,271,,3,737.03,Community_Hospital_of_Anaconda
,3.0,BREATHING CIRCUITS,271,A4618,1,137.88,Community_Hospital_of_Anaconda
,4.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,272,,14,3755.03,Community_Hospital_of_Anaconda
,5.0,TUBING USED W SUCTION PUMP,272,A7002,1,117.6,Community_Hospital_of_Anaconda
,6.0,REMOVAL OF JOINT LINING FROM MULTIPLE KNEE JOINT COMPARTMENTS USING AN ENDOSCOPE,360,29876,1,3280,Community_Hospital_of_Anaconda
,7.0,REMOVAL OF KNEE CARTILAGE USING AN ENDOSCOPE,360,29881,1,8116,Community_Hospital_of_Anaconda
,8.0,PHARMACY - EXTENSION OF 025X - DRUGS REQUIRING DETAILED CODING,636,,2,141.44,Community_Hospital_of_Anaconda
,9.0,CEFAZOLIN SODIUM INJECTION,636,J0690,7,90,Community_Hospital_of_Anaconda
,10.0,DEXAMETHASONE SODIUM PHOS,636,J1100,8,32.31,Community_Hospital_of_Anaconda
,11.0,LIDOCAINE INJECTION,636,J2001,13,94,Community_Hospital_of_Anaconda
,12.0,INJ MIDAZOLAM HYDROCHLORIDE,636,J2250,3,19.75,Community_Hospital_of_Anaconda
,13.0,ONDANSETRON HCL INJECTION,636,J2405,6,15.34,Community_Hospital_of_Anaconda
,14.0,"INJ, PROPOFOL, 10 MG",636,J2704,59,129.01,Community_Hospital_of_Anaconda
,15.0,ROPIVACAINE HCL INJECTION,636,J2795,184,74.07,Community_Hospital_of_Anaconda
,16.0,FENTANYL CITRATE INJECTION,636,J3010,2,27.65,Community_Hospital_of_Anaconda
,17.0,DRUGS UNCLASSIFIED INJECTION,636,J3490,1,28.08,Community_Hospital_of_Anaconda
,18.0,RINGERS LACTATE INFUSION,636,J7120,1,83.17,Community_Hospital_of_Anaconda
,19.0,RECOVERY ROOM - GENERAL CLASSIFICATION,710,,159,587.45,Community_Hospital_of_Anaconda
,20.0,ANESTHESIA FOR OTHER PROCEDURE OR EXAM OF KNEE JOINT USING AN ENDOSCOPE,964,1400,90,1100.2,Community_Hospital_of_Anaconda
,21.0,REMOVAL OF JOINT LINING FROM MULTIPLE KNEE JOINT COMPARTMENTS USING AN ENDOSCOPE,975,29876,1,1805.48,Community_Hospital_of_Anaconda
,22.0,REMOVAL OF KNEE CARTILAGE USING AN ENDOSCOPE,983,29881,1,1971.3,Community_Hospital_of_Anaconda
,23.0,PATIENT CONVENIENCE ITEMS - GENERAL CLASSIFICATION,990,,102,0,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,22467.06,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,12313.05,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,22467.06,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,13597.36,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,19340.85,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,12313.05,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,22467.06,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,18146.52,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,16710.57,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
62,,29888 - Repair of anterior cruciate ligament of knee using an endoscope,,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: AMBULATORY SURGICAL,,,,,Community_Hospital_of_Anaconda
,1.0,PHARMACY - GENERAL CLASSIFICATION,250,,7,142.98,Community_Hospital_of_Anaconda
,2.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY,271,,4,1800.36,Community_Hospital_of_Anaconda
,3.0,BREATHING CIRCUITS,271,A4618,1,114.91,Community_Hospital_of_Anaconda
,4.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,272,,25,8944.56,Community_Hospital_of_Anaconda
,5.0,"STERILE WATER/SALINE, 500 ML",272,A4217,4,334.94,Community_Hospital_of_Anaconda
,6.0,TUBING USED W SUCTION PUMP,272,A7002,1,86.32,Community_Hospital_of_Anaconda
,7.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT,278,,8,11370.99,Community_Hospital_of_Anaconda
,8.0,URINE PREGNANCY TEST,301,81025,1,54.23,Community_Hospital_of_Anaconda
,9.0,ULTRASONIC GUIDANCE FOR NEEDLE PLACEMENT,402,76942,1,680.5,Community_Hospital_of_Anaconda
,10.0,PHARMACY - EXTENSION OF 025X - DRUGS REQUIRING DETAILED CODING,636,,3,242.14,Community_Hospital_of_Anaconda
,11.0,CEFAZOLIN SODIUM INJECTION,636,J0690,5,73.23,Community_Hospital_of_Anaconda
,12.0,DEXAMETHASONE SODIUM PHOS,636,J1100,9,44,Community_Hospital_of_Anaconda
,13.0,HYDROMORPHONE INJECTION,636,J1170,2,38.5,Community_Hospital_of_Anaconda
,14.0,LIDOCAINE INJECTION,636,J2001,10,74.78,Community_Hospital_of_Anaconda
,15.0,INJ MIDAZOLAM HYDROCHLORIDE,636,J2250,2,16.34,Community_Hospital_of_Anaconda
,16.0,ONDANSETRON HCL INJECTION,636,J2405,6,15.17,Community_Hospital_of_Anaconda
,17.0,"INJ, PROPOFOL, 10 MG",636,J2704,90,133.95,Community_Hospital_of_Anaconda
,18.0,ROPIVACAINE HCL INJECTION,636,J2795,206,109.82,Community_Hospital_of_Anaconda
,19.0,FENTANYL CITRATE INJECTION,636,J3010,3,35.2,Community_Hospital_of_Anaconda
,20.0,VANCOMYCIN HCL INJECTION,636,J3370,2,72.42,Community_Hospital_of_Anaconda
,21.0,DRUGS UNCLASSIFIED INJECTION,636,J3490,1,20,Community_Hospital_of_Anaconda
,22.0,RINGERS LACTATE INFUSION,636,J7120,2,121.74,Community_Hospital_of_Anaconda
,23.0,RECOVERY ROOM - GENERAL CLASSIFICATION,710,,202,698.55,Community_Hospital_of_Anaconda
,24.0,ANESTHESIA FOR OTHER PROCEDURE OR EXAM OF KNEE JOINT USING AN ENDOSCOPE,964,1400,164,1578.01,Community_Hospital_of_Anaconda
,25.0,INJECTION OF ANESTHETIC AGENT AND/OR STEROID INTO THIGH NERVE,964,64447,1,655.49,Community_Hospital_of_Anaconda
,26.0,INJECTION OF ANESTHETIC AGENT AND/OR STEROID INTO OTHER NERVE OR BRANCH,964,64450,1,547.5,Community_Hospital_of_Anaconda
,27.0,REPAIR OF ANTERIOR CRUCIATE LIGAMENT OF KNEE USING AN ENDOSCOPE,975,29888,2,5187.46,Community_Hospital_of_Anaconda
,28.0,PATIENT CONVENIENCE ITEMS - GENERAL CLASSIFICATION,990,,114,0,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,33194.11,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,17657.95,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,33194.11,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,19576.4,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,28613.42,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,17657.95,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,33194.11,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,26593.39,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,23964.36,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
63,,"30233N1 - Transfusion of Nonautologous Red Blood Cells into Peripheral Vein, Percutaneous Approach",,,,,Community_Hospital_of_Anaconda
,,SERVICE TYPE: INPATIENT,,,,,Community_Hospital_of_Anaconda
,1.0,ROOM & BOARD - PRIVATE (ONE BED) - GENERAL CLASSIFICATION,110,,4,7077.78,Community_Hospital_of_Anaconda
,2.0,INTENSIVE CARE UNIT - GENERAL CLASSIFICATION,200,,1,2076.67,Community_Hospital_of_Anaconda
,3.0,PHARMACY - GENERAL CLASSIFICATION,250,,396,2565.34,Community_Hospital_of_Anaconda
,4.0,PHARMACY - IV SOLUTIONS,258,,0,12.39,Community_Hospital_of_Anaconda
,5.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - NON STERILE SUPPLY,271,,4,723.63,Community_Hospital_of_Anaconda
,6.0,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY,272,,1,204.9,Community_Hospital_of_Anaconda
,7.0,LABORATORY - GENERAL CLASSIFICATION,300,,11,988.23,Community_Hospital_of_Anaconda
,8.0,LABORATORY - CHEMISTRY,301,,11,1280.81,Community_Hospital_of_Anaconda
,9.0,LABORATORY - IMMUNOLOGY,302,,4,516.26,Community_Hospital_of_Anaconda
,10.0,LABORATORY - HEMATOLOGY,305,,11,353.76,Community_Hospital_of_Anaconda
,11.0,LABORATORY - BACTERIOLOGY & MICROBIOLOGY,306,,4,517.36,Community_Hospital_of_Anaconda
,12.0,LABORATORY - UROLOGY,307,,0,17.58,Community_Hospital_of_Anaconda
,13.0,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,320,,0,69.79,Community_Hospital_of_Anaconda
,14.0,RADIOLOGY - DIAGNOSTIC - CHEST X-RAY,324,,1,120.36,Community_Hospital_of_Anaconda
,15.0,CT SCAN - BODY SCAN,352,,0,328.7,Community_Hospital_of_Anaconda
,16.0,OPERATING ROOM SERVICES - MINOR SURGERY,361,,0,150,Community_Hospital_of_Anaconda
,17.0,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION",390,,2,627.11,Community_Hospital_of_Anaconda
,18.0,OTHER IMAGING SERVICES - ULTRASOUND,402,,0,55.79,Community_Hospital_of_Anaconda
,19.0,RESPIRATORY SERVICES - GENERAL CLASSIFICATION,410,,1,419.41,Community_Hospital_of_Anaconda
,20.0,RESPIRATORY SERVICES - INHALATION SERVICES,412,,4,295.47,Community_Hospital_of_Anaconda
,21.0,PHYSICAL THERAPY - GENERAL CLASSIFICATION,420,,6,514.56,Community_Hospital_of_Anaconda
,22.0,PHYSICAL THERAPY - EVALUATION OR RE-EVALUATION,424,,1,141.89,Community_Hospital_of_Anaconda
,23.0,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION,430,,3,219.11,Community_Hospital_of_Anaconda
,24.0,OCCUPATIONAL THERAPY - EVALUATION OR REEVALUATION,434,,1,117.22,Community_Hospital_of_Anaconda
,25.0,SPEECH-LANGUAGE PATHOLOGY - GENERAL CLASSIFICATION,440,,0,29,Community_Hospital_of_Anaconda
,26.0,SPEECH-LANGUAGE PATHOLOGY - EVALUATION OR REEVALUATION,444,,0,39.67,Community_Hospital_of_Anaconda
,27.0,CARDIOLOGY - ECHOCARDIOLOGY,483,,0,266.42,Community_Hospital_of_Anaconda
,28.0,MAGNETIC RESONANCE TECHNOLOGY (MRT) - MRI - SPINAL CORD/SPINE,612,,0,864.41,Community_Hospital_of_Anaconda
,29.0,EKG/ECG (ELECTROCARDIOGRAM) - GENERAL CLASSIFICATION,730,,1,186.67,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,Total of Charges:,20780.28,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Minimum Estimated Negotiated Allowable,,,,16624.22,Community_Hospital_of_Anaconda
,,Maximum Estimated Negotiated Allowable,,,,20780.28,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable ALLEGIANCE PROVIDER DIRECT,,,,16624.22,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS CLOSED/POS PLAN NETWORK,,,,18702.25,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS MT BLUE OPTIONS,,,,17663.24,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable BCBS TRADITIONAL NETWORK,,,,20780.28,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable PACIFICSOURCE HEALTH PLANS,,,,19117.86,Community_Hospital_of_Anaconda
,,Estimated Negotiated Allowable UHC,,,,19741.26,Community_Hospital_of_Anaconda
,,,,,,,Community_Hospital_of_Anaconda
,,Primary Service and Ancillary Services,Rev Code,CPT / HCPCS / ICD-10 Code,Average Unit Count,Charge,Community_Hospital_of_Anaconda
