BIG HORN HOSPITAL ASSOCIATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,hospital
5041397,SUTURE/MONOCRYL Y426H,,2019-10-21 00:00:00,,Central Supply,,65.17,52.136,16.944200000000002,63.2149,61.9115,% OF CHARGE,65.17,% OF CHARGES,48.2258,% OF CHARGES,58.653000000000006,% OF CHARGES,52.136,% OF CHARGES,63.2149,% OF CHARGES,63.2149,% OF CHARGES,52.136,% OF CHARGE,61.9115,% OF CHARGE,61.9115,% OF CHARGE,61.9115,% OF CHARGE,61.9115,% OF CHARGE,63.2149,% OF CHARGE,48.2258,% OF CHARGE,48.2258,% OF CHARGE,48.2258,% OF CHARGE,61.9115,% OF CHARGES,61.9115,% OF CHARGES,48.2258,% OF CHARGES,48.2258,% OF CHARGES,61.9115,% OF CHARGES,61.9115,% OF CHARGE,48.2258,% OF CHARGE,34.5401,% OF CHARGE,16.944200000000002,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5040373,VICRYL 0-J727G,,2017-06-01 00:00:00,,Central Supply,,65.3,52.239999999999995,16.978,63.340999999999994,62.035,% OF CHARGE,65.3,% OF CHARGES,48.321999999999996,% OF CHARGES,58.769999999999996,% OF CHARGES,52.24,% OF CHARGES,63.340999999999994,% OF CHARGES,63.340999999999994,% OF CHARGES,52.24,% OF CHARGE,62.035,% OF CHARGE,62.035,% OF CHARGE,62.035,% OF CHARGE,62.035,% OF CHARGE,63.340999999999994,% OF CHARGE,48.321999999999996,% OF CHARGE,48.321999999999996,% OF CHARGE,48.321999999999996,% OF CHARGE,62.035,% OF CHARGES,62.035,% OF CHARGES,48.321999999999996,% OF CHARGES,48.321999999999996,% OF CHARGES,62.035,% OF CHARGES,62.035,% OF CHARGE,48.321999999999996,% OF CHARGE,34.609,% OF CHARGE,16.978,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5001011,PAD/DISPOSIBLE K,,2017-06-01 00:00:00,,Central Supply,,65.55,52.44,17.043,63.583499999999994,62.272499999999994,% OF CHARGE,65.55,% OF CHARGES,48.507,% OF CHARGES,58.995,% OF CHARGES,52.44,% OF CHARGES,63.583499999999994,% OF CHARGES,63.583499999999994,% OF CHARGES,52.44,% OF CHARGE,62.272499999999994,% OF CHARGE,62.272499999999994,% OF CHARGE,62.272499999999994,% OF CHARGE,62.272499999999994,% OF CHARGE,63.583499999999994,% OF CHARGE,48.507,% OF CHARGE,48.507,% OF CHARGE,48.507,% OF CHARGE,62.272499999999994,% OF CHARGES,62.272499999999994,% OF CHARGES,48.507,% OF CHARGES,48.507,% OF CHARGES,62.272499999999994,% OF CHARGES,62.272499999999994,% OF CHARGE,48.507,% OF CHARGE,34.7415,% OF CHARGE,17.043,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5044383,MEDIHONEY 4X4,,2017-06-01 00:00:00,,Central Supply,,67.3,53.839999999999996,17.498,65.28099999999999,63.934999999999995,% OF CHARGE,67.3,% OF CHARGES,49.802,% OF CHARGES,60.57,% OF CHARGES,53.84,% OF CHARGES,65.28099999999999,% OF CHARGES,65.28099999999999,% OF CHARGES,53.84,% OF CHARGE,63.934999999999995,% OF CHARGE,63.934999999999995,% OF CHARGE,63.934999999999995,% OF CHARGE,63.934999999999995,% OF CHARGE,65.28099999999999,% OF CHARGE,49.802,% OF CHARGE,49.802,% OF CHARGE,49.802,% OF CHARGE,63.934999999999995,% OF CHARGES,63.934999999999995,% OF CHARGES,49.802,% OF CHARGES,49.802,% OF CHARGES,63.934999999999995,% OF CHARGES,63.934999999999995,% OF CHARGE,49.802,% OF CHARGE,35.669,% OF CHARGE,17.498,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5041058,CHROMIC 0-M5516,,2017-06-01 00:00:00,,Central Supply,,67.55,54.04,17.563,65.5235,64.1725,% OF CHARGE,67.55,% OF CHARGES,49.986999999999995,% OF CHARGES,60.795,% OF CHARGES,54.04,% OF CHARGES,65.5235,% OF CHARGES,65.5235,% OF CHARGES,54.04,% OF CHARGE,64.1725,% OF CHARGE,64.1725,% OF CHARGE,64.1725,% OF CHARGE,64.1725,% OF CHARGE,65.5235,% OF CHARGE,49.986999999999995,% OF CHARGE,49.986999999999995,% OF CHARGE,49.986999999999995,% OF CHARGE,64.1725,% OF CHARGES,64.1725,% OF CHARGES,49.986999999999995,% OF CHARGES,49.986999999999995,% OF CHARGES,64.1725,% OF CHARGES,64.1725,% OF CHARGE,49.986999999999995,% OF CHARGE,35.8015,% OF CHARGE,17.563,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5044342,DRESSING/SILVER ARGENT 4X4,,2017-06-01 00:00:00,,Central Supply,,68,54.4,17.68,65.96,64.6,% OF CHARGE,68,% OF CHARGES,50.32,% OF CHARGES,61.2,% OF CHARGES,54.400000000000006,% OF CHARGES,65.96,% OF CHARGES,65.96,% OF CHARGES,54.400000000000006,% OF CHARGE,64.6,% OF CHARGE,64.6,% OF CHARGE,64.6,% OF CHARGE,64.6,% OF CHARGE,65.96,% OF CHARGE,50.32,% OF CHARGE,50.32,% OF CHARGE,50.32,% OF CHARGE,64.6,% OF CHARGES,64.6,% OF CHARGES,50.32,% OF CHARGES,50.32,% OF CHARGES,64.6,% OF CHARGES,64.6,% OF CHARGE,50.32,% OF CHARGE,36.04,% OF CHARGE,17.68,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5041462,VICRYL 3-0 J739G,,2017-06-01 00:00:00,,Central Supply,,68.4,54.720000000000006,17.784000000000002,66.348,64.98,% OF CHARGE,68.4,% OF CHARGES,50.61600000000001,% OF CHARGES,61.56000000000001,% OF CHARGES,54.720000000000006,% OF CHARGES,66.348,% OF CHARGES,66.348,% OF CHARGES,54.720000000000006,% OF CHARGE,64.98,% OF CHARGE,64.98,% OF CHARGE,64.98,% OF CHARGE,64.98,% OF CHARGE,66.348,% OF CHARGE,50.61600000000001,% OF CHARGE,50.61600000000001,% OF CHARGE,50.61600000000001,% OF CHARGE,64.98,% OF CHARGES,64.98,% OF CHARGES,50.61600000000001,% OF CHARGES,50.61600000000001,% OF CHARGES,64.98,% OF CHARGES,64.98,% OF CHARGE,50.61600000000001,% OF CHARGE,36.252,% OF CHARGE,17.784000000000002,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5040316,VICRYL 7-0 J566G,,2017-06-01 00:00:00,,Central Supply,,69.2,55.36,17.992,67.124,65.74,% OF CHARGE,69.2,% OF CHARGES,51.208,% OF CHARGES,62.28,% OF CHARGES,55.36000000000001,% OF CHARGES,67.124,% OF CHARGES,67.124,% OF CHARGES,55.36000000000001,% OF CHARGE,65.74,% OF CHARGE,65.74,% OF CHARGE,65.74,% OF CHARGE,65.74,% OF CHARGE,67.124,% OF CHARGE,51.208,% OF CHARGE,51.208,% OF CHARGE,51.208,% OF CHARGE,65.74,% OF CHARGES,65.74,% OF CHARGES,51.208,% OF CHARGES,51.208,% OF CHARGES,65.74,% OF CHARGES,65.74,% OF CHARGE,51.208,% OF CHARGE,36.676,% OF CHARGE,17.992,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5045646,COVER ROLL 2X10,,2019-06-03 00:00:00,,Central Supply,,71.96,57.568,18.7096,69.8012,68.362,% OF CHARGE,71.96,% OF CHARGES,53.25039999999999,% OF CHARGES,64.764,% OF CHARGES,57.568,% OF CHARGES,69.8012,% OF CHARGES,69.8012,% OF CHARGES,57.568,% OF CHARGE,68.362,% OF CHARGE,68.362,% OF CHARGE,68.362,% OF CHARGE,68.362,% OF CHARGE,69.8012,% OF CHARGE,53.25039999999999,% OF CHARGE,53.25039999999999,% OF CHARGE,53.25039999999999,% OF CHARGE,68.362,% OF CHARGES,68.362,% OF CHARGES,53.25039999999999,% OF CHARGES,53.25039999999999,% OF CHARGES,68.362,% OF CHARGES,68.362,% OF CHARGE,53.25039999999999,% OF CHARGE,38.138799999999996,% OF CHARGE,18.7096,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5045190,CHROMIC GUT 5-0 1915G,,2019-10-21 00:00:00,,Central Supply,,73.43,58.74400000000001,19.091800000000003,71.22710000000001,69.7585,% OF CHARGE,73.43,% OF CHARGES,54.33820000000001,% OF CHARGES,66.087,% OF CHARGES,58.74400000000001,% OF CHARGES,71.22710000000001,% OF CHARGES,71.22710000000001,% OF CHARGES,58.74400000000001,% OF CHARGE,69.7585,% OF CHARGE,69.7585,% OF CHARGE,69.7585,% OF CHARGE,69.7585,% OF CHARGE,71.22710000000001,% OF CHARGE,54.33820000000001,% OF CHARGE,54.33820000000001,% OF CHARGE,54.33820000000001,% OF CHARGE,69.7585,% OF CHARGES,69.7585,% OF CHARGES,54.33820000000001,% OF CHARGES,54.33820000000001,% OF CHARGES,69.7585,% OF CHARGES,69.7585,% OF CHARGE,54.33820000000001,% OF CHARGE,38.9179,% OF CHARGE,19.091800000000003,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002266,FINGER EXTENTION,,2017-06-01 00:00:00,,Central Supply,,74.2,59.36,19.292,71.974,70.49,% OF CHARGE,74.2,% OF CHARGES,54.908,% OF CHARGES,66.78,% OF CHARGES,59.36000000000001,% OF CHARGES,71.974,% OF CHARGES,71.974,% OF CHARGES,59.36000000000001,% OF CHARGE,70.49,% OF CHARGE,70.49,% OF CHARGE,70.49,% OF CHARGE,70.49,% OF CHARGE,71.974,% OF CHARGE,54.908,% OF CHARGE,54.908,% OF CHARGE,54.908,% OF CHARGE,70.49,% OF CHARGES,70.49,% OF CHARGES,54.908,% OF CHARGES,54.908,% OF CHARGES,70.49,% OF CHARGES,70.49,% OF CHARGE,54.908,% OF CHARGE,39.326,% OF CHARGE,19.292,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5042239,VICRYL 0-J740G,,2017-06-01 00:00:00,,Central Supply,,74.75,59.8,19.435000000000002,72.5075,71.0125,% OF CHARGE,74.75,% OF CHARGES,55.315,% OF CHARGES,67.275,% OF CHARGES,59.800000000000004,% OF CHARGES,72.5075,% OF CHARGES,72.5075,% OF CHARGES,59.800000000000004,% OF CHARGE,71.0125,% OF CHARGE,71.0125,% OF CHARGE,71.0125,% OF CHARGE,71.0125,% OF CHARGE,72.5075,% OF CHARGE,55.315,% OF CHARGE,55.315,% OF CHARGE,55.315,% OF CHARGE,71.0125,% OF CHARGES,71.0125,% OF CHARGES,55.315,% OF CHARGES,55.315,% OF CHARGES,71.0125,% OF CHARGES,71.0125,% OF CHARGE,55.315,% OF CHARGE,39.6175,% OF CHARGE,19.435000000000002,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5000302,CAST/LONG ARM,,2017-06-01 00:00:00,,Central Supply,,75.41,60.327999999999996,19.6066,73.1477,71.6395,% OF CHARGE,75.41,% OF CHARGES,55.803399999999996,% OF CHARGES,67.869,% OF CHARGES,60.328,% OF CHARGES,73.1477,% OF CHARGES,73.1477,% OF CHARGES,60.328,% OF CHARGE,71.6395,% OF CHARGE,71.6395,% OF CHARGE,71.6395,% OF CHARGE,71.6395,% OF CHARGE,73.1477,% OF CHARGE,55.803399999999996,% OF CHARGE,55.803399999999996,% OF CHARGE,55.803399999999996,% OF CHARGE,71.6395,% OF CHARGES,71.6395,% OF CHARGES,55.803399999999996,% OF CHARGES,55.803399999999996,% OF CHARGES,71.6395,% OF CHARGES,71.6395,% OF CHARGE,55.803399999999996,% OF CHARGE,39.9673,% OF CHARGE,19.6066,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5001912,SOCK AID DELUXE,,2017-06-01 00:00:00,,Central Supply,,78.05,62.44,20.293,75.7085,74.1475,% OF CHARGE,78.05,% OF CHARGES,57.757,% OF CHARGES,70.245,% OF CHARGES,62.44,% OF CHARGES,75.7085,% OF CHARGES,75.7085,% OF CHARGES,62.44,% OF CHARGE,74.1475,% OF CHARGE,74.1475,% OF CHARGE,74.1475,% OF CHARGE,74.1475,% OF CHARGE,75.7085,% OF CHARGE,57.757,% OF CHARGE,57.757,% OF CHARGE,57.757,% OF CHARGE,74.1475,% OF CHARGES,74.1475,% OF CHARGES,57.757,% OF CHARGES,57.757,% OF CHARGES,74.1475,% OF CHARGES,74.1475,% OF CHARGE,57.757,% OF CHARGE,41.3665,% OF CHARGE,20.293,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002631,NPO/LABEL 1 1/4X3/8 RED,,2017-06-01 00:00:00,,Central Supply,,81.48,65.184,21.184800000000003,79.0356,77.406,% OF CHARGE,81.48,% OF CHARGES,60.2952,% OF CHARGES,73.33200000000001,% OF CHARGES,65.18400000000001,% OF CHARGES,79.0356,% OF CHARGES,79.0356,% OF CHARGES,65.18400000000001,% OF CHARGE,77.406,% OF CHARGE,77.406,% OF CHARGE,77.406,% OF CHARGE,77.406,% OF CHARGE,79.0356,% OF CHARGE,60.2952,% OF CHARGE,60.2952,% OF CHARGE,60.2952,% OF CHARGE,77.406,% OF CHARGES,77.406,% OF CHARGES,60.2952,% OF CHARGES,60.2952,% OF CHARGES,77.406,% OF CHARGES,77.406,% OF CHARGE,60.2952,% OF CHARGE,43.184400000000004,% OF CHARGE,21.184800000000003,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5045626,VICRYL 3-0 J904T,,2019-10-21 00:00:00,,Central Supply,,84.84,67.872,22.058400000000002,82.2948,80.598,% OF CHARGE,84.84,% OF CHARGES,62.781600000000005,% OF CHARGES,76.35600000000001,% OF CHARGES,67.872,% OF CHARGES,82.2948,% OF CHARGES,82.2948,% OF CHARGES,67.872,% OF CHARGE,80.598,% OF CHARGE,80.598,% OF CHARGE,80.598,% OF CHARGE,80.598,% OF CHARGE,82.2948,% OF CHARGE,62.781600000000005,% OF CHARGE,62.781600000000005,% OF CHARGE,62.781600000000005,% OF CHARGE,80.598,% OF CHARGES,80.598,% OF CHARGES,62.781600000000005,% OF CHARGES,62.781600000000005,% OF CHARGES,80.598,% OF CHARGES,80.598,% OF CHARGE,62.781600000000005,% OF CHARGE,44.9652,% OF CHARGE,22.058400000000002,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5001789,LARYGASCOPE BLADE,,2017-06-01 00:00:00,,Central Supply,,90.7,72.56,23.582,87.979,86.16499999999999,% OF CHARGE,90.7,% OF CHARGES,67.118,% OF CHARGES,81.63000000000001,% OF CHARGES,72.56,% OF CHARGES,87.979,% OF CHARGES,87.979,% OF CHARGES,72.56,% OF CHARGE,86.16499999999999,% OF CHARGE,86.16499999999999,% OF CHARGE,86.16499999999999,% OF CHARGE,86.16499999999999,% OF CHARGE,87.979,% OF CHARGE,67.118,% OF CHARGE,67.118,% OF CHARGE,67.118,% OF CHARGE,86.16499999999999,% OF CHARGES,86.16499999999999,% OF CHARGES,67.118,% OF CHARGES,67.118,% OF CHARGES,86.16499999999999,% OF CHARGES,86.16499999999999,% OF CHARGE,67.118,% OF CHARGE,48.071000000000005,% OF CHARGE,23.582,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5002159,EZ MOUTH PIECE,,2017-06-01 00:00:00,,Central Supply,,96.7,77.36,25.142000000000003,93.799,91.865,% OF CHARGE,96.7,% OF CHARGES,71.558,% OF CHARGES,87.03,% OF CHARGES,77.36000000000001,% OF CHARGES,93.799,% OF CHARGES,93.799,% OF CHARGES,77.36000000000001,% OF CHARGE,91.865,% OF CHARGE,91.865,% OF CHARGE,91.865,% OF CHARGE,91.865,% OF CHARGE,93.799,% OF CHARGE,71.558,% OF CHARGE,71.558,% OF CHARGE,71.558,% OF CHARGE,91.865,% OF CHARGES,91.865,% OF CHARGES,71.558,% OF CHARGES,71.558,% OF CHARGES,91.865,% OF CHARGES,91.865,% OF CHARGE,71.558,% OF CHARGE,51.251000000000005,% OF CHARGE,25.142000000000003,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5000328,CAST/LONG LEG,,2017-06-01 00:00:00,,Central Supply,,96.75,77.4,25.155,93.8475,91.9125,% OF CHARGE,96.75,% OF CHARGES,71.595,% OF CHARGES,87.075,% OF CHARGES,77.4,% OF CHARGES,93.8475,% OF CHARGES,93.8475,% OF CHARGES,77.4,% OF CHARGE,91.9125,% OF CHARGE,91.9125,% OF CHARGE,91.9125,% OF CHARGE,91.9125,% OF CHARGE,93.8475,% OF CHARGE,71.595,% OF CHARGE,71.595,% OF CHARGE,71.595,% OF CHARGE,91.9125,% OF CHARGES,91.9125,% OF CHARGES,71.595,% OF CHARGES,71.595,% OF CHARGES,91.9125,% OF CHARGES,91.9125,% OF CHARGE,71.595,% OF CHARGE,51.2775,% OF CHARGE,25.155,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5044151,MONOCRYL 4-0 Y682H,,2019-10-21 00:00:00,,Central Supply,,98.35,78.67999999999999,25.570999999999998,95.39949999999999,93.43249999999999,% OF CHARGE,98.35,% OF CHARGES,72.779,% OF CHARGES,88.515,% OF CHARGES,78.68,% OF CHARGES,95.39949999999999,% OF CHARGES,95.39949999999999,% OF CHARGES,78.68,% OF CHARGE,93.43249999999999,% OF CHARGE,93.43249999999999,% OF CHARGE,93.43249999999999,% OF CHARGE,93.43249999999999,% OF CHARGE,95.39949999999999,% OF CHARGE,72.779,% OF CHARGE,72.779,% OF CHARGE,72.779,% OF CHARGE,93.43249999999999,% OF CHARGES,93.43249999999999,% OF CHARGES,72.779,% OF CHARGES,72.779,% OF CHARGES,93.43249999999999,% OF CHARGES,93.43249999999999,% OF CHARGE,72.779,% OF CHARGE,52.1255,% OF CHARGE,25.570999999999998,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5041769,SILK 0-C021D,,2019-10-21 00:00:00,,Central Supply,,98.35,78.67999999999999,25.570999999999998,95.39949999999999,93.43249999999999,% OF CHARGE,98.35,% OF CHARGES,72.779,% OF CHARGES,88.515,% OF CHARGES,78.68,% OF CHARGES,95.39949999999999,% OF CHARGES,95.39949999999999,% OF CHARGES,78.68,% OF CHARGE,93.43249999999999,% OF CHARGE,93.43249999999999,% OF CHARGE,93.43249999999999,% OF CHARGE,93.43249999999999,% OF CHARGE,95.39949999999999,% OF CHARGE,72.779,% OF CHARGE,72.779,% OF CHARGE,72.779,% OF CHARGE,93.43249999999999,% OF CHARGES,93.43249999999999,% OF CHARGES,72.779,% OF CHARGES,72.779,% OF CHARGES,93.43249999999999,% OF CHARGES,93.43249999999999,% OF CHARGE,72.779,% OF CHARGE,52.1255,% OF CHARGE,25.570999999999998,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5043187,NUROLON 0-C521T,,2017-06-01 00:00:00,,Central Supply,,99.85,79.88,25.961,96.85449999999999,94.85749999999999,% OF CHARGE,99.85,% OF CHARGES,73.889,% OF CHARGES,89.865,% OF CHARGES,79.88,% OF CHARGES,96.85449999999999,% OF CHARGES,96.85449999999999,% OF CHARGES,79.88,% OF CHARGE,94.85749999999999,% OF CHARGE,94.85749999999999,% OF CHARGE,94.85749999999999,% OF CHARGE,94.85749999999999,% OF CHARGE,96.85449999999999,% OF CHARGE,73.889,% OF CHARGE,73.889,% OF CHARGE,73.889,% OF CHARGE,94.85749999999999,% OF CHARGES,94.85749999999999,% OF CHARGES,73.889,% OF CHARGES,73.889,% OF CHARGES,94.85749999999999,% OF CHARGES,94.85749999999999,% OF CHARGE,73.889,% OF CHARGE,52.9205,% OF CHARGE,25.961,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5045444,SILK C022D 2-0,,2019-10-21 00:00:00,,Central Supply,,100.38,80.304,26.0988,97.36859999999999,95.36099999999999,% OF CHARGE,100.38,% OF CHARGES,74.2812,% OF CHARGES,90.342,% OF CHARGES,80.304,% OF CHARGES,97.36859999999999,% OF CHARGES,97.36859999999999,% OF CHARGES,80.304,% OF CHARGE,95.36099999999999,% OF CHARGE,95.36099999999999,% OF CHARGE,95.36099999999999,% OF CHARGE,95.36099999999999,% OF CHARGE,97.36859999999999,% OF CHARGE,74.2812,% OF CHARGE,74.2812,% OF CHARGE,74.2812,% OF CHARGE,95.36099999999999,% OF CHARGES,95.36099999999999,% OF CHARGES,74.2812,% OF CHARGES,74.2812,% OF CHARGES,95.36099999999999,% OF CHARGES,95.36099999999999,% OF CHARGE,74.2812,% OF CHARGE,53.2014,% OF CHARGE,26.0988,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5040415,SILK 2-0 CO12D,,2019-10-21 00:00:00,,Central Supply,,101.01,80.808,26.262600000000003,97.97970000000001,95.9595,% OF CHARGE,101.01,% OF CHARGES,74.7474,% OF CHARGES,90.909,% OF CHARGES,80.808,% OF CHARGES,97.97970000000001,% OF CHARGES,97.97970000000001,% OF CHARGES,80.808,% OF CHARGE,95.9595,% OF CHARGE,95.9595,% OF CHARGE,95.9595,% OF CHARGE,95.9595,% OF CHARGE,97.97970000000001,% OF CHARGE,74.7474,% OF CHARGE,74.7474,% OF CHARGE,74.7474,% OF CHARGE,95.9595,% OF CHARGES,95.9595,% OF CHARGES,74.7474,% OF CHARGES,74.7474,% OF CHARGES,95.9595,% OF CHARGES,95.9595,% OF CHARGE,74.7474,% OF CHARGE,53.53530000000001,% OF CHARGE,26.262600000000003,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5043443,DRESSING/FURACIN,,2017-06-01 00:00:00,,Central Supply,,101.5,81.2,26.39,98.455,96.425,% OF CHARGE,101.5,% OF CHARGES,75.11,% OF CHARGES,91.35000000000001,% OF CHARGES,81.2,% OF CHARGES,98.455,% OF CHARGES,98.455,% OF CHARGES,81.2,% OF CHARGE,96.425,% OF CHARGE,96.425,% OF CHARGE,96.425,% OF CHARGE,96.425,% OF CHARGE,98.455,% OF CHARGE,75.11,% OF CHARGE,75.11,% OF CHARGE,75.11,% OF CHARGE,96.425,% OF CHARGES,96.425,% OF CHARGES,75.11,% OF CHARGES,75.11,% OF CHARGES,96.425,% OF CHARGES,96.425,% OF CHARGE,75.11,% OF CHARGE,53.795,% OF CHARGE,26.39,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5042759,DRESSING/FURACIN,,2017-06-01 00:00:00,,Central Supply,,106.6,85.28,27.716,103.40199999999999,101.27,% OF CHARGE,106.6,% OF CHARGES,78.884,% OF CHARGES,95.94,% OF CHARGES,85.28,% OF CHARGES,103.40199999999999,% OF CHARGES,103.40199999999999,% OF CHARGES,85.28,% OF CHARGE,101.27,% OF CHARGE,101.27,% OF CHARGE,101.27,% OF CHARGE,101.27,% OF CHARGE,103.40199999999999,% OF CHARGE,78.884,% OF CHARGE,78.884,% OF CHARGE,78.884,% OF CHARGE,101.27,% OF CHARGES,101.27,% OF CHARGES,78.884,% OF CHARGES,78.884,% OF CHARGES,101.27,% OF CHARGES,101.27,% OF CHARGE,78.884,% OF CHARGE,56.498,% OF CHARGE,27.716,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5001607,TORSO BELT IMMOBILIZER,,2017-06-01 00:00:00,,Central Supply,,110.15,88.12,28.639000000000003,106.8455,104.6425,% OF CHARGE,110.15,% OF CHARGES,81.51100000000001,% OF CHARGES,99.135,% OF CHARGES,88.12,% OF CHARGES,106.8455,% OF CHARGES,106.8455,% OF CHARGES,88.12,% OF CHARGE,104.6425,% OF CHARGE,104.6425,% OF CHARGE,104.6425,% OF CHARGE,104.6425,% OF CHARGE,106.8455,% OF CHARGE,81.51100000000001,% OF CHARGE,81.51100000000001,% OF CHARGE,81.51100000000001,% OF CHARGE,104.6425,% OF CHARGES,104.6425,% OF CHARGES,81.51100000000001,% OF CHARGES,81.51100000000001,% OF CHARGES,104.6425,% OF CHARGES,104.6425,% OF CHARGE,81.51100000000001,% OF CHARGE,58.37950000000001,% OF CHARGE,28.639000000000003,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5001839,EZ PAP MASK,,2017-06-01 00:00:00,,Central Supply,,110.85,88.67999999999999,28.820999999999998,107.52449999999999,105.30749999999999,% OF CHARGE,110.85,% OF CHARGES,82.029,% OF CHARGES,99.765,% OF CHARGES,88.68,% OF CHARGES,107.52449999999999,% OF CHARGES,107.52449999999999,% OF CHARGES,88.68,% OF CHARGE,105.30749999999999,% OF CHARGE,105.30749999999999,% OF CHARGE,105.30749999999999,% OF CHARGE,105.30749999999999,% OF CHARGE,107.52449999999999,% OF CHARGE,82.029,% OF CHARGE,82.029,% OF CHARGE,82.029,% OF CHARGE,105.30749999999999,% OF CHARGES,105.30749999999999,% OF CHARGES,82.029,% OF CHARGES,82.029,% OF CHARGES,105.30749999999999,% OF CHARGES,105.30749999999999,% OF CHARGE,82.029,% OF CHARGE,58.7505,% OF CHARGE,28.820999999999998,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5001581,SEATED C-TRAX,,2017-06-01 00:00:00,,Central Supply,,111.85,89.47999999999999,29.081,108.49449999999999,106.2575,% OF CHARGE,111.85,% OF CHARGES,82.76899999999999,% OF CHARGES,100.66499999999999,% OF CHARGES,89.48,% OF CHARGES,108.49449999999999,% OF CHARGES,108.49449999999999,% OF CHARGES,89.48,% OF CHARGE,106.2575,% OF CHARGE,106.2575,% OF CHARGE,106.2575,% OF CHARGE,106.2575,% OF CHARGE,108.49449999999999,% OF CHARGE,82.76899999999999,% OF CHARGE,82.76899999999999,% OF CHARGE,82.76899999999999,% OF CHARGE,106.2575,% OF CHARGES,106.2575,% OF CHARGES,82.76899999999999,% OF CHARGES,82.76899999999999,% OF CHARGES,106.2575,% OF CHARGES,106.2575,% OF CHARGE,82.76899999999999,% OF CHARGE,59.280499999999996,% OF CHARGE,29.081,% OF CHARGE,Big_Horn_County_Memorial_Hospital
5040464,TUBING/IV MICRO,,2017-06-01 00:00:00,,Central Supply,,117.3,93.84,30.498,113.78099999999999,111.43499999999999,% OF CHARGE,117.3,% OF CHARGES,86.80199999999999,% OF CHARGES,105.57,% OF CHARGES,93.84,% OF CHARGES,113.78099999999999,% OF CHARGES,113.78099999999999,% OF CHARGES,93.84,% OF CHARGE,111.43499999999999,% OF CHARGE,111.43499999999999,% OF CHARGE,111.43499999999999,% OF CHARGE,111.43499999999999,% OF CHARGE,113.78099999999999,% OF CHARGE,86.80199999999999,% OF CHARGE,86.80199999999999,% OF CHARGE,86.80199999999999,% OF CHARGE,111.43499999999999,% OF CHARGES,111.43499999999999,% OF CHARGES,86.80199999999999,% OF CHARGES,86.80199999999999,% OF CHARGES,111.43499999999999,% OF CHARGES,111.43499999999999,% OF CHARGE,86.80199999999999,% OF CHARGE,62.169000000000004,% OF CHARGE,30.498,% OF CHARGE,Big_Horn_County_Memorial_Hospital
