Location,Dept Number,Charge Code,Description,Revenue Code,CPT Code,Price,Discounted Cash Price,Minimum Contracted price,Maximum Contracted Price,BCBS Traditional Network,BCBS Point of Service Network,BCBS Closed Plan Network,BCBS HealthLink ,BCBS Medicare Advantage,Allegiance,InterWest,Pacific Source,Mountain Health Co-Op PPO,Mountain Health Co-Op HPN,United Medicare,hospital
BTMC,3975,205501,LOCUM INJ. SINGLE TENDON SHEATH,981,20550,103.0,61.8,81.89,103.0,103.0,97.85,97.85,92.7,81.89,97.85,97.85,98.88,99.91,89.61,77.25,Benefis_Teton_Medical_Center
BTMC,3975,206051,LOCUM INJ.INTER.JOINT/BURSA,981,20605,118.0,70.8,93.81,118.0,118.0,112.1,112.1,106.2,93.81,112.1,112.1,113.28,114.46,102.66,88.5,Benefis_Teton_Medical_Center
BTMC,3975,93931,UPPER EXTREMITY ARTERIAL DUPLEX-UNI,450,93931,377.5,226.5,300.06,377.5,377.5,300.06,300.06,339.75,300.11,358.63,358.63,362.4,366.18,328.43,283.13,Benefis_Teton_Medical_Center
BTMC,3975,992120,OBSERVATION DAILY LOW,982,99224,111.5,66.9,88.64,111.5,111.5,105.93,105.93,100.35,88.64,105.93,105.93,107.04,108.16,97.01,83.63,Benefis_Teton_Medical_Center
BTMC,3975,992130,OBSERVATION DAILY MODERATE,982,99225,200.0,120.0,159.0,200.0,200.0,190.0,190.0,180.0,159.0,190.0,190.0,192.0,194.0,174.0,150.0,Benefis_Teton_Medical_Center
BTMC,3975,992140,OBSERVATION DAILY HIGH,982,99226,286.5,171.9,227.77,286.5,286.5,272.18,272.18,257.85,227.77,272.18,272.18,275.04,277.91,249.26,214.88,Benefis_Teton_Medical_Center
BTMC,6040,36430,BLOOD ADMIN IP 1 UNIT,391,36430,925.5,555.3,735.77,925.5,925.5,879.23,879.23,832.95,735.77,879.23,879.23,888.48,897.74,805.19,694.13,Benefis_Teton_Medical_Center
BTMC,6040,364302,BLOOD ADMIN IP 2 UNITS,391,36430,1674.5,1004.7,1331.23,1674.5,1674.5,1590.78,1590.78,1507.05,1331.23,1590.78,1590.78,1607.52,1624.27,1456.82,1255.88,Benefis_Teton_Medical_Center
BTMC,6040,93270,KING OF HEARTS CARDIAC MONITOR,731,93270,268.5,161.1,25.52,268.5,268.5,25.52,25.52,241.65,213.46,255.08,255.08,257.76,260.45,233.6,201.38,Benefis_Teton_Medical_Center
BTMC,6040,94660,CPAP INITIATION AND MANAGEMENT,410,94660,163.5,98.1,129.98,163.5,163.5,155.33,155.33,147.15,129.98,155.33,155.33,156.96,158.6,142.25,122.63,Benefis_Teton_Medical_Center
BTMC,6120,11042,WOUND DEBRIDEMENT,361,11042,1529.5,917.7,1215.95,1529.5,1529.5,1453.03,1453.03,1376.55,1215.95,1453.03,1453.03,1468.32,1483.62,1330.67,1147.13,Benefis_Teton_Medical_Center
BTMC,6120,11304,ROOM SWING BED DAILY,129,,1410.0,846.0,1120.95,1410.0,1410.0,1339.5,1339.5,1269.0,1120.95,1339.5,1339.5,1353.6,1367.7,1226.7,7500.0,Benefis_Teton_Medical_Center
BTMC,6120,11314,ROOM SWING BED  LONG TERM CARE DAILY,129,,226.0,135.6,179.67,226.0,226.0,214.7,214.7,203.4,179.67,214.7,214.7,216.96,219.22,196.62,7500.0,Benefis_Teton_Medical_Center
BTMC,6120,36433,BLOOD ADMIN SB 1 UNIT,391,36430,890.0,534.0,707.55,890.0,890.0,845.5,845.5,801.0,707.55,845.5,845.5,854.4,863.3,774.3,667.5,Benefis_Teton_Medical_Center
BTMC,6120,364333,BLOOD ADMIN SB 2 UNITS,391,36430,1609.5,965.7,1279.55,1609.5,1609.5,1529.03,1529.03,1448.55,1279.55,1529.03,1529.03,1545.12,1561.22,1400.27,1207.13,Benefis_Teton_Medical_Center
BTMC,6240,20057,OXYGEN TANK E,270,,78.0,46.8,62.01,78.0,78.0,74.1,74.1,70.2,62.01,74.1,74.1,74.88,75.66,67.86,58.5,Benefis_Teton_Medical_Center
BTMC,6240,50583,OXYGEN EXT. TUBING/CONN.,270,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,6240,50591,OXYGEN HUMIDIFIER JARdisp.,270,,13.0,7.8,10.34,13.0,13.0,12.35,12.35,11.7,10.34,12.35,12.35,12.48,12.61,11.31,9.75,Benefis_Teton_Medical_Center
BTMC,6240,70000,WATER TRAP,410,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,6240,94010,SPIROMETRY-FVC TEST,460,94010,104.0,62.4,77.56,104.0,104.0,77.56,77.56,93.6,82.68,98.8,98.8,99.84,100.88,90.48,78.0,Benefis_Teton_Medical_Center
BTMC,6240,94060,BRONCHOSPASM  EVALUATION,460,94060,129.0,77.4,102.56,132.69,129.0,132.69,132.69,116.1,102.56,122.55,122.55,123.84,125.13,112.23,96.75,Benefis_Teton_Medical_Center
BTMC,6280,33990,IV INTERLINK HEPLOCK,270,,13.0,7.8,10.34,13.0,13.0,12.35,12.35,11.7,10.34,12.35,12.35,12.48,12.61,11.31,9.75,Benefis_Teton_Medical_Center
BTMC,6280,42597,IV PIC MAX PLUS(NEEDLESS CONN.),270,,18.0,10.8,14.31,18.0,18.0,17.1,17.1,16.2,14.31,17.1,17.1,17.28,17.46,15.66,13.5,Benefis_Teton_Medical_Center
BTMC,6280,50831,NACL ADDS 100ml,258,J3490,38.0,22.8,30.21,38.0,38.0,36.1,36.1,34.2,30.21,36.1,36.1,36.48,36.86,33.06,28.5,Benefis_Teton_Medical_Center
BTMC,6280,65370,"IV INTERLINK PRIMARY 110""",270,,31.0,18.6,24.65,31.0,31.0,29.45,29.45,27.9,24.65,29.45,29.45,29.76,30.07,26.97,23.25,Benefis_Teton_Medical_Center
BTMC,6280,70400,"IV SOLUTIONS, ALL 500ml",258,J7060,71.0,42.6,2.85,71.0,71.0,2.85,2.85,63.9,56.45,67.45,67.45,68.16,68.87,61.77,53.25,Benefis_Teton_Medical_Center
BTMC,6280,70500,"IV SOLUTIONS, ALL 250ml",258,J7050,71.0,42.6,0.82,71.0,71.0,0.82,0.82,63.9,56.45,67.45,67.45,68.16,68.87,61.77,53.25,Benefis_Teton_Medical_Center
BTMC,6280,74190,"IV SOLUTIONS, ALL 1000ml",258,J7030,71.0,42.6,3.31,71.0,71.0,3.31,3.31,63.9,56.45,67.45,67.45,68.16,68.87,61.77,53.25,Benefis_Teton_Medical_Center
BTMC,6280,74510,IV INTERLINK SECONDARY SET,270,,15.0,9.0,11.93,15.0,15.0,14.25,14.25,13.5,11.93,14.25,14.25,14.4,14.55,13.05,11.25,Benefis_Teton_Medical_Center
BTMC,6280,7625,IV CATHETER all,270,,18.0,10.8,14.31,18.0,18.0,17.1,17.1,16.2,14.31,17.1,17.1,17.28,17.46,15.66,13.5,Benefis_Teton_Medical_Center
BTMC,6320,3790,DIRECT ADMISIION OF PT. FOR HOSP. OBSERV,762,G0379,423.0,253.8,336.29,423.0,423.0,401.85,401.85,380.7,336.29,401.85,401.85,406.08,410.31,368.01,317.25,Benefis_Teton_Medical_Center
BTMC,6320,99214,ROOM OBSRV NONCHARGEABLE,762,G0378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benefis_Teton_Medical_Center
BTMC,6320,99215,ROOM OBSRV THIRD HOUR,762,G0378,273.5,164.1,217.43,273.5,273.5,259.83,259.83,246.15,217.43,259.83,259.83,262.56,265.3,237.95,205.13,Benefis_Teton_Medical_Center
BTMC,6320,99216,ROOM OBSRV 4-24 HOURS,762,G0378,15.0,9.0,11.93,15.0,15.0,14.25,14.25,13.5,11.93,14.25,14.25,14.4,14.55,13.05,11.25,Benefis_Teton_Medical_Center
BTMC,6320,99217,ROOM OBSRV SECOND HOUR,762,G0378,545.0,327.0,433.28,545.0,545.0,517.75,517.75,490.5,433.28,517.75,517.75,523.2,528.65,474.15,408.75,Benefis_Teton_Medical_Center
BTMC,6320,99218,ROOM OBSRV FIRST HOUR,762,G0378,545.0,327.0,433.28,545.0,545.0,517.75,517.75,490.5,433.28,517.75,517.75,523.2,528.65,474.15,408.75,Benefis_Teton_Medical_Center
BTMC,6320,99219,ROOM OBSRV w/TELEMETRY FIRST HOUR,762,G0378,663.0,397.8,527.09,663.0,663.0,629.85,629.85,596.7,527.09,629.85,629.85,636.48,643.11,576.81,497.25,Benefis_Teton_Medical_Center
BTMC,6320,99220,ROOM OBSRV w/TELEMETRY SECOND HOUR,762,G0378,663.0,397.8,527.09,663.0,663.0,629.85,629.85,596.7,527.09,629.85,629.85,636.48,643.11,576.81,497.25,Benefis_Teton_Medical_Center
BTMC,6320,99222,ROOM OBSRV W/TELEMETRY THIRD HOUR,762,G0378,332.5,199.5,264.34,332.5,332.5,315.88,315.88,299.25,264.34,315.88,315.88,319.2,322.53,289.28,249.38,Benefis_Teton_Medical_Center
BTMC,6320,99223,ROOM OBSRV W/TELEMETRY 4-24 HOUR,762,G0378,17.0,10.2,13.52,17.0,17.0,16.15,16.15,15.3,13.52,16.15,16.15,16.32,16.49,14.79,12.75,Benefis_Teton_Medical_Center
BTMC,6360,2038132,OXYCONTIN 80mg NF,250,,104.0,62.4,82.68,104.0,104.0,98.8,98.8,93.6,82.68,98.8,98.8,99.84,100.88,90.48,78.0,Benefis_Teton_Medical_Center
BTMC,6360,2038133,OXYCODONE IR 10mg,250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,20416,CEVIMELINE 30mg (EVOXAC),250,,13.0,7.8,10.34,13.0,13.0,12.35,12.35,11.7,10.34,12.35,12.35,12.48,12.61,11.31,9.75,Benefis_Teton_Medical_Center
BTMC,6360,2164,LORTAB 10mg/650mg(HYDROCODONE/APAP),250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,5241,MS CONTIN 30mg(MORPHINE),250,,10.0,6.0,7.95,10.0,10.0,9.5,9.5,9.0,7.95,9.5,9.5,9.6,9.7,8.7,7.5,Benefis_Teton_Medical_Center
BTMC,6360,6428345,ALIGN 4mg,250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,90117,BRILLINTA 90mg (TICAGRELOR),250,,38.0,22.8,30.21,38.0,38.0,36.1,36.1,34.2,30.21,36.1,36.1,36.48,36.86,33.06,28.5,Benefis_Teton_Medical_Center
BTMC,6360,10027,DETROL 2mg(NF)TOLTERODINE,250,,18.0,10.8,14.31,18.0,18.0,17.1,17.1,16.2,14.31,17.1,17.1,17.28,17.46,15.66,13.5,Benefis_Teton_Medical_Center
BTMC,6360,100511,TRIAMCINOLONE 0.1% 15GM(KENALOG),250,,17.0,10.2,13.52,17.0,17.0,16.15,16.15,15.3,13.52,16.15,16.15,16.32,16.49,14.79,12.75,Benefis_Teton_Medical_Center
BTMC,6360,10082,EPINEPHRINE 1:1000 1mg/ml (0.1MG),636,J0171,11.0,6.6,0.3,11.0,11.0,0.3,0.3,9.9,8.75,10.45,10.45,10.56,10.67,9.57,8.25,Benefis_Teton_Medical_Center
BTMC,6360,10122,MOTRIN SUSPENSION 4oz. btl.(ibuprophen),250,J8499,16.0,9.6,12.72,16.0,16.0,15.2,15.2,14.4,12.72,15.2,15.2,15.36,15.52,13.92,12.0,Benefis_Teton_Medical_Center
BTMC,6360,10123,MOTRIN SUSP. ds.(ibuprophen),250,J8499,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,101415,MIDODRINE 5 MG TAB (NF),250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,101416,MIDODRINE 10mg,250,J3490,8.0,4.8,6.36,8.0,8.0,7.6,7.6,7.2,6.36,7.6,7.6,7.68,7.76,6.96,6.0,Benefis_Teton_Medical_Center
BTMC,6360,10181,AMOXICILLIN SUSP. btl. 250ml/5ml,250,J8499,25.0,15.0,19.88,25.0,25.0,23.75,23.75,22.5,19.88,23.75,23.75,24.0,24.25,21.75,18.75,Benefis_Teton_Medical_Center
BTMC,6360,10182,"AMOXICILLIN, DOSE",250,,6.0,3.6,4.77,6.0,6.0,5.7,5.7,5.4,4.77,5.7,5.7,5.76,5.82,5.22,4.5,Benefis_Teton_Medical_Center
BTMC,6360,10249,AMOXICILLIN 500mg,250,J8499,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,10297,MORPHINE 4mg/ml syr. (UP TO 10MG),636,J2270,13.0,7.8,4.04,13.0,13.0,4.04,4.04,11.7,10.34,12.35,12.35,12.48,12.61,11.31,9.75,Benefis_Teton_Medical_Center
BTMC,6360,10305,CETACAINE SPRAY ds.(BENZ/BUTAM/TETRA),250,,28.0,16.8,22.26,28.0,28.0,26.6,26.6,25.2,22.26,26.6,26.6,26.88,27.16,24.36,21.0,Benefis_Teton_Medical_Center
BTMC,6360,10313,"LIDOCAINE VISCOUS, DS.",250,J3490,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,10371,AMOXICILLIN 250mg CHEWABLE,250,J8499,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,10397,ANCEF 1 gram(cefazolin) (500 MG),636,J0690,45.0,27.0,2.0,45.0,45.0,2.0,2.0,40.5,35.78,42.75,42.75,43.2,43.65,39.15,33.75,Benefis_Teton_Medical_Center
BTMC,6360,10412,VERSED 5mg/1ml(midazolam hydr.) (1mg),636,J2250,9.0,5.4,0.28,9.0,9.0,0.28,0.28,8.1,7.16,8.55,8.55,8.64,8.73,7.83,6.75,Benefis_Teton_Medical_Center
BTMC,6360,10447,ANTIVERT 25mg(MECLIZINE),250,J8499,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,10452,"LIDOCAINE JELLY, DS.",250,J3490,28.0,16.8,22.26,28.0,28.0,26.6,26.6,25.2,22.26,26.6,26.6,26.88,27.16,24.36,21.0,Benefis_Teton_Medical_Center
BTMC,6360,10453,"LIDOCINE JELLY TUBE,30ml",250,J3490,87.5,52.5,69.56,87.5,87.5,83.13,83.13,78.75,69.56,83.13,83.13,84.0,84.88,76.13,65.63,Benefis_Teton_Medical_Center
BTMC,6360,10461,LIDOCAINE /EPI 1% inj. 5CC(XYLOCAINE/EP),259,,9.0,5.4,7.16,9.0,9.0,8.55,8.55,8.1,7.16,8.55,8.55,8.64,8.73,7.83,6.75,Benefis_Teton_Medical_Center
BTMC,6360,10463,LIDOCAINE/EPI 2% inj.5cc(XYLOC/EPI),259,,9.0,5.4,7.16,9.0,9.0,8.55,8.55,8.1,7.16,8.55,8.55,8.64,8.73,7.83,6.75,Benefis_Teton_Medical_Center
BTMC,6360,10512,AQUAMEPHYTON 10mg/ml(VIT K) (1MG),636,J3430,149.0,89.4,6.55,149.0,149.0,6.55,6.55,134.1,118.46,141.55,141.55,143.04,144.53,129.63,111.75,Benefis_Teton_Medical_Center
BTMC,6360,10545,LIDOCAINE 1% inj.5cc(XYLOCAINE),259,,9.0,5.4,7.16,9.0,9.0,8.55,8.55,8.1,7.16,8.55,8.55,8.64,8.73,7.83,6.75,Benefis_Teton_Medical_Center
BTMC,6360,10595,ASPIRIN 300mg. supp.,250,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,6360,10602,LIDOCAINE 2% inj.5cc(XYLOCAINE),259,,27.0,16.2,21.47,27.0,27.0,25.65,25.65,24.3,21.47,25.65,25.65,25.92,26.19,23.49,20.25,Benefis_Teton_Medical_Center
BTMC,6360,10744,ASPIRIN adult low/childrens chew ds.81mg,250,J8499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benefis_Teton_Medical_Center
BTMC,6360,10746,CHILDRENS CHEWABLE (2),250,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benefis_Teton_Medical_Center
BTMC,6360,10751,AURALGAN OTIC btl(anitpyrine/benz) 10ml,250,,28.0,16.8,22.26,28.0,28.0,26.6,26.6,25.2,22.26,26.6,26.6,26.88,27.16,24.36,21.0,Benefis_Teton_Medical_Center
BTMC,6360,107512,AURALGAN OTIC (ANNTIPYRINE/BENZ) DS.,250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,10776,ATIVAN 1mg (lorazepam),250,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,6360,10777,ATIVAN 0.5mg (lorazepam),250,J8499,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,10801,ATROPINE SULF. 1mg/10ml abbj. (0.01MG),636,J0461,66.0,39.6,0.11,66.0,66.0,0.11,0.11,59.4,52.47,62.7,62.7,63.36,64.02,57.42,49.5,Benefis_Teton_Medical_Center
BTMC,6360,10835,BACTRIM DS 160/800mg(TRIMETH/SULF),250,J8499,6.0,3.6,4.77,6.0,6.0,5.7,5.7,5.4,4.77,5.7,5.7,5.76,5.82,5.22,4.5,Benefis_Teton_Medical_Center
BTMC,6360,10868,BENADRYL 25mg(DIPHENHYDRAMINE),250,J3490,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,10871,BENADRYL ELIXIR btl.,250,J3490,38.0,22.8,30.21,38.0,38.0,36.1,36.1,34.2,30.21,36.1,36.1,36.48,36.86,33.06,28.5,Benefis_Teton_Medical_Center
BTMC,6360,10872,BENADRYL ELIX.ds(dipheneydremine),250,J3490,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,10884,BENADRYL 50ml/mg(DIPHENHYRDRAMINE),636,J1200,9.0,5.4,1.33,9.0,9.0,1.33,1.33,8.1,7.16,8.55,8.55,8.64,8.73,7.83,6.75,Benefis_Teton_Medical_Center
BTMC,6360,10993,ARAVA 20 MG NF (LEFLUNOMIDE),250,,3.0,1.8,2.39,3.0,3.0,2.85,2.85,2.7,2.39,2.85,2.85,2.88,2.91,2.61,2.25,Benefis_Teton_Medical_Center
BTMC,6360,10994,FLOVENT 220mcg(FLUTICASONE),250,,771.0,462.6,612.95,771.0,771.0,732.45,732.45,693.9,612.95,732.45,732.45,740.16,747.87,670.77,578.25,Benefis_Teton_Medical_Center
BTMC,6360,10995,TRELEGY INHALER 100 MCG NF,250,,996.0,597.6,791.82,996.0,996.0,946.2,946.2,896.4,791.82,946.2,946.2,956.16,966.12,866.52,747.0,Benefis_Teton_Medical_Center
BTMC,6360,11049,"BICILLIN LA 1,200,000units/2ml",259,,151.5,90.9,120.44,151.5,151.5,143.93,143.93,136.35,120.44,143.93,143.93,145.44,146.96,131.81,113.63,Benefis_Teton_Medical_Center
BTMC,6360,11075,GOLYTELY BAG(POLY GLYCOL),250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,110915,XARELTO 10 MG,250,,60.5,36.3,48.1,60.5,60.5,57.48,57.48,54.45,48.1,57.48,57.48,58.08,58.69,52.64,45.38,Benefis_Teton_Medical_Center
BTMC,6360,110916,XARELTO 20mg,250,J8499,84.0,50.4,66.78,84.0,84.0,79.8,79.8,75.6,66.78,79.8,79.8,80.64,81.48,73.08,63.0,Benefis_Teton_Medical_Center
BTMC,6360,11098,BUMEX 1mg(BUMETANIDE),250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,11122,CALAN 80mg(VERAPAMIL),250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,11168,KAYEXALATEds.(sps),250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,11197,CARDIZEM ER 60mg tab(ditiazem),250,,6.0,3.6,4.77,6.0,6.0,5.7,5.7,5.4,4.77,5.7,5.7,5.76,5.82,5.22,4.5,Benefis_Teton_Medical_Center
BTMC,6360,11203,PRAVACHOL 20mg(pravastatin),250,J8499,19.0,11.4,15.11,19.0,19.0,18.05,18.05,17.1,15.11,18.05,18.05,18.24,18.43,16.53,14.25,Benefis_Teton_Medical_Center
BTMC,6360,112216,DECADRON 100mg/10ml (dexamethasone)(1MG),636,J1100,16.0,9.6,0.33,16.0,16.0,0.33,0.33,14.4,12.72,15.2,15.2,15.36,15.52,13.92,12.0,Benefis_Teton_Medical_Center
BTMC,6360,11239,CALCIUM GLUCONATE 10% 10ml/0.465Ca+meq/m,636,J0610,18.0,10.8,4.6,18.0,18.0,4.6,4.6,16.2,14.31,17.1,17.1,17.28,17.46,15.66,13.5,Benefis_Teton_Medical_Center
BTMC,6360,11254,CAPTOPRIL 12.5mg(CAPOTEN),250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,1141738,ALBUTEROL MDI 90mcg 60ds.,250,J3535,123.0,73.8,97.79,123.0,123.0,116.85,116.85,110.7,97.79,116.85,116.85,118.08,119.31,107.01,92.25,Benefis_Teton_Medical_Center
BTMC,6360,1175,NICODERM PATCH 14mg(NICOTINE),250,,28.0,16.8,22.26,28.0,28.0,26.6,26.6,25.2,22.26,26.6,26.6,26.88,27.16,24.36,21.0,Benefis_Teton_Medical_Center
BTMC,6360,11825,COUMADIN 5mg(WARFARIN),250,J8499,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,11827,COUMADIN 1mg(WARFARIN),250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,12003,COMPAZINE 10mg(PROCHLORPERAZINE),250,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,6360,12005,CROMOLYN SOLUTION20mg/2ml,250,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,6360,1204,IRON 325mg tab,250,,5.0,3.0,3.98,5.0,5.0,4.75,4.75,4.5,3.98,4.75,4.75,4.8,4.85,4.35,3.75,Benefis_Teton_Medical_Center
BTMC,6360,12066,PRIMIDONE 250mg NF,250,,31.0,18.6,24.65,31.0,31.0,29.45,29.45,27.9,24.65,29.45,29.45,29.76,30.07,26.97,23.25,Benefis_Teton_Medical_Center
BTMC,6360,121,NACL FLUSH 10ml/5ml SYR.,259,A4216,6.0,3.6,1.12,6.0,6.0,1.12,1.12,5.4,4.77,5.7,5.7,5.76,5.82,5.22,4.5,Benefis_Teton_Medical_Center
BTMC,6360,1210,COLACE LIQUID ds.(DOCUSATE),250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,12112,DEMEROL 50mg(MEPERIDINE),250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
BTMC,6360,12119,DEMEROL 100mg inj.,636,J2175,16.0,9.6,11.15,16.0,16.0,11.15,11.15,14.4,12.72,15.2,15.2,15.36,15.52,13.92,12.0,Benefis_Teton_Medical_Center
BTMC,6360,12120,DEMEROL 50mg/ml syr.(MEPERIDINE) (100MG),636,J2175,17.0,10.2,11.15,17.0,17.0,11.15,11.15,15.3,13.52,16.15,16.15,16.32,16.49,14.79,12.75,Benefis_Teton_Medical_Center
BTMC,6360,12121,NITROPATCH .2mg(NITROGLYCERIN TRANSDERM),250,,28.0,16.8,22.26,28.0,28.0,26.6,26.6,25.2,22.26,26.6,26.6,26.88,27.16,24.36,21.0,Benefis_Teton_Medical_Center
BTMC,6360,12122,NITROPATCH .4mg(NITROGLYCERIN TRANSDERM),250,,120.0,72.0,95.4,120.0,120.0,114.0,114.0,108.0,95.4,114.0,114.0,115.2,116.4,104.4,90.0,Benefis_Teton_Medical_Center
BTMC,6360,12123,NITROPATCH .1mg(NITROGLYCERIN TRANSDERM),250,,105.0,63.0,83.48,105.0,105.0,99.75,99.75,94.5,83.48,99.75,99.75,100.8,101.85,91.35,78.75,Benefis_Teton_Medical_Center
BTMC,6360,12195,D50W 50% inj. 125gr abbj. (DEXTROSE),259,,9.0,5.4,7.16,9.0,9.0,8.55,8.55,8.1,7.16,8.55,8.55,8.64,8.73,7.83,6.75,Benefis_Teton_Medical_Center
BTMC,6360,12223,TAMIFLU 75mg(OSELTAMIVIR),637,,62.0,37.2,49.29,62.0,62.0,58.9,58.9,55.8,49.29,58.9,58.9,59.52,60.14,53.94,46.5,Benefis_Teton_Medical_Center
BTMC,6360,12302,GARAMYCIN 80mg 2ml(GENTAMYCIN),636,J1580,18.0,10.8,3.24,18.0,18.0,3.24,3.24,16.2,14.31,17.1,17.1,17.28,17.46,15.66,13.5,Benefis_Teton_Medical_Center
BTMC,6360,12303,CARDIZEM ER 120mg(DILTAZEM),250,,8.0,4.8,6.36,8.0,8.0,7.6,7.6,7.2,6.36,7.6,7.6,7.68,7.76,6.96,6.0,Benefis_Teton_Medical_Center
BTMC,6360,12306,CARDIZEM ER 180mg(DITIAZEM),250,,10.0,6.0,7.95,10.0,10.0,9.5,9.5,9.0,7.95,9.5,9.5,9.6,9.7,8.7,7.5,Benefis_Teton_Medical_Center
BTMC,6360,123100,LORTAB 2.5mg/500mg(HYDROCODONE/APAP),250,,4.0,2.4,3.18,4.0,4.0,3.8,3.8,3.6,3.18,3.8,3.8,3.84,3.88,3.48,3.0,Benefis_Teton_Medical_Center
