Charge Code,Charge Code Description,Proc Code,Rate,hospital
2297760,PT: ORTHOTICS FITTING/TRAINING/15 MIN,97760,113.00,The_Ruby_Valley_Hospital
2297799,PT: UNLISTED PHYSICAL THERAPY SERVICE,97799,139.00,The_Ruby_Valley_Hospital
2299071,PT: PROSTHETIC SOCKS,L8440,93.00,The_Ruby_Valley_Hospital
2299080,PT: SPECIAL REPORTS,99080,116.00,The_Ruby_Valley_Hospital
2299998,PT: THERA CANE,,93.00,The_Ruby_Valley_Hospital
2299999,PT: OTHER,97799,22.00,The_Ruby_Valley_Hospital
2329105,OT: SPLINT APPLICATION LG ARM/SHLD-ARM,29105,316.00,The_Ruby_Valley_Hospital
2329125,OT: SPLINT APPL SHORT ARM/FOREARM-HAND,29125,262.00,The_Ruby_Valley_Hospital
2329130,OT: SPLINT APPLICATION FINGER,29125,262.00,The_Ruby_Valley_Hospital
23650,DISLOCATION CLOSED/TX SHOULDER W/O ANEST,23650,515.00,The_Ruby_Valley_Hospital
23908978,OT: MOBILITY CURRENT STATUS,G8978,0.01,The_Ruby_Valley_Hospital
23908979,OT: MOBILITY GOAL STATUS,G8979,0.01,The_Ruby_Valley_Hospital
23908980,OT: MOBILITY D/C STATUS,G8980,0.01,The_Ruby_Valley_Hospital
23908981,OT: BODY POS CURRENT STATUS,G8981,0.01,The_Ruby_Valley_Hospital
23908982,OT: BODY POS GOAL STATUS,G8982,0.01,The_Ruby_Valley_Hospital
23908983,OT: BODY POS D/C STATUS,G8983,0.01,The_Ruby_Valley_Hospital
23908984,OT: CARRY CURRENT STATUS,G8984,0.01,The_Ruby_Valley_Hospital
23908985,OT: CARRY GOAL STATUS,G8985,0.01,The_Ruby_Valley_Hospital
23908986,OT: CARRY D/C STATUS,G8986,0.01,The_Ruby_Valley_Hospital
23908987,OT: SELF-CARE CURRENT STATUS,G8987,0.01,The_Ruby_Valley_Hospital
23908988,OT: SELF-CARE GOAL STATUS,G8988,0.01,The_Ruby_Valley_Hospital
23908989,OT: SELF-CARE D/C STATUS,G8989,0.01,The_Ruby_Valley_Hospital
23908990,OT: OTHER OT PRIM CURRENT,G8990,0.01,The_Ruby_Valley_Hospital
23908991,OT: OTHER OT PRIM GOAL STATUS,G8991,0.01,The_Ruby_Valley_Hospital
23908992,OT: OTHER OT PRIM D/C,G8992,0.01,The_Ruby_Valley_Hospital
23908993,OT: OTHER PT SUB CURRENT STATUS,G8993,0.01,The_Ruby_Valley_Hospital
23908994,OT: OTHER PT SUB GOAL STATUS,G8994,0.01,The_Ruby_Valley_Hospital
23908995,OT: OTHER PT SUB D/C STATUS,G8995,0.01,The_Ruby_Valley_Hospital
23931,I&D ARM BURSA,23931,595.92,The_Ruby_Valley_Hospital
2395831,OT: MUSCLE TEST EXCLUDES HAND WITH REPOR,95831,73.00,The_Ruby_Valley_Hospital
2395832,OT: MUSCLE TESTING HAND,95832,66.00,The_Ruby_Valley_Hospital
2395851,OT: ROM MEASURE/REPORT EXCEPT HANDS,95851,50.00,The_Ruby_Valley_Hospital
2395852,OT: ROM MEASUREMENT HANDS,95852,50.00,The_Ruby_Valley_Hospital
2396111,OT: DEVELOPMTL TEST EXTENDED/REPT PER HR,96111,291.00,The_Ruby_Valley_Hospital
2397010,OT: APPLICATION OF HOT OR COLD PACKS,97010,0.00,The_Ruby_Valley_Hospital
2397018,OT: PARAFFIN,97018,59.00,The_Ruby_Valley_Hospital
2397034,OT: CONTRAST BATHS 15 MIN,97034,63.00,The_Ruby_Valley_Hospital
2397035,OT: ULTRASOUND,97035,73.00,The_Ruby_Valley_Hospital
2397110,OT: THERAPEUTIC EXERCISE 15 MIN,97110,97.00,The_Ruby_Valley_Hospital
2397112,OT: NEUROMUSCULAR REEDUCATION 15 MIN,97112,97.00,The_Ruby_Valley_Hospital
2397124,OT: MASSAGE 15 MIN,97124,78.00,The_Ruby_Valley_Hospital
2397140,OT: MANUAL THERAPY 15 MIN,97140,96.00,The_Ruby_Valley_Hospital
2397165,OT: EVAL LOW COMPLEX,97165,160.00,The_Ruby_Valley_Hospital
2397166,OT: EVAL MODERATE COMPLEX,97166,180.00,The_Ruby_Valley_Hospital
2397167,OT: EVAL HIGH COMPLEX,97167,200.00,The_Ruby_Valley_Hospital
2397168,OT: RE-EVAL EST PLAN CAR,97168,97.00,The_Ruby_Valley_Hospital
2397250,OT: MYOFASCIAL RELEASE,97140,96.00,The_Ruby_Valley_Hospital
2397504,OT: ORTHOTICS FITTING AND TRAINING 15MIN,97116,90.00,The_Ruby_Valley_Hospital
2397530,OT: THERAPEUTIC ACTIVITIES  15 MIN,97530,100.00,The_Ruby_Valley_Hospital
2397535,OT: SELF CARE MANAGEMENT 15 MIN,97535,96.00,The_Ruby_Valley_Hospital
2397537,OT: COMMUNITY REINTEGRATION 15 MIN,97537,74.00,The_Ruby_Valley_Hospital
2397542,OT: WHEELCHAIR MANAGEMENT 15 MIN,97542,84.00,The_Ruby_Valley_Hospital
2397760,OT: ORTHOTICS FITTING AND TRAINING 15MIN,97116,90.00,The_Ruby_Valley_Hospital
240011A,Administration of Covid-19- First Dose,0011A,32.00,The_Ruby_Valley_Hospital
2400904,HEPATITIS  A/B VACCINE INJ >7ADULT,90636,187.00,The_Ruby_Valley_Hospital
2403490,Ibuprofen 200mg tab,J3490,0.00,The_Ruby_Valley_Hospital
2410008,ADENOCARD (ADENOSIN) 6mg/2ml,J0153,24.00,The_Ruby_Valley_Hospital
2410534,NORTRIPTYLINE 75mg TAB (PAMALOR),,10.00,The_Ruby_Valley_Hospital
2410904,HEPATITIS A PED 3 DOSE VACCINE,90634,186.00,The_Ruby_Valley_Hospital
2411904,TYPHOID VACCINE,90714,90.00,The_Ruby_Valley_Hospital
2412220,A-D OINTMENT PKTS,,4.00,The_Ruby_Valley_Hospital
2412221,A-D OINTMENT 4OZ,,12.00,The_Ruby_Valley_Hospital
2412867,LANOXIN 0.25mg IM,,18.00,The_Ruby_Valley_Hospital
2412938,ATIVAN 1mg TAB,J3490,137.00,The_Ruby_Valley_Hospital
2413575,ELAVIL 50mg TAB,J3490,5.00,The_Ruby_Valley_Hospital
2413767,BLEP 10 OPTH SOL 5ml BOTTLE,,86.00,The_Ruby_Valley_Hospital
2414088,THEOLAIR TAB 125 MG,,4.00,The_Ruby_Valley_Hospital
2414089,THIAMINE (B-1) 250 mg TAB,,4.00,The_Ruby_Valley_Hospital
2414593,ORGANADIN 30mg TAB,,4.00,The_Ruby_Valley_Hospital
2415893,PREMARIN VAG CREME 1.5oz TUBE,,151.00,The_Ruby_Valley_Hospital
2416981,AEROZOIN SKIN CONDITIONER 1 APPLICATION,,4.00,The_Ruby_Valley_Hospital
2416982,AERPBID INHALER,,252.00,The_Ruby_Valley_Hospital
2417918,PRINIZIDE 12.5 MG TAB,,12.00,The_Ruby_Valley_Hospital
2418744,LIQUID TEARS,,4.00,The_Ruby_Valley_Hospital
2418854,SLO BID 200mg TAB,,4.00,The_Ruby_Valley_Hospital
2418881,BACTROBAN / PACKET,,4.00,The_Ruby_Valley_Hospital
2418911,CORTISPORIN OTIC SUSP,,207.00,The_Ruby_Valley_Hospital
2418912,CORTISPORIN EAR GRRS/10ML BOTTLE,,98.00,The_Ruby_Valley_Hospital
2418913,CORTISPORIN OINTMENT .5OZ,,150.00,The_Ruby_Valley_Hospital
2418914,NASALCROM NASAL SOL 13ML,,144.00,The_Ruby_Valley_Hospital
2420123,GARAMYCIN (GENTAMICIN) OPTH OINT,,121.00,The_Ruby_Valley_Hospital
2420589,SULFASALAZINE TAB 500MG,J3490,5.00,The_Ruby_Valley_Hospital
2421034,TYLENOL @ CODINE ELTZ /OZ,,30.00,The_Ruby_Valley_Hospital
2421361,LACRILUBE EYE 0.7G UNIT DOSE,,18.00,The_Ruby_Valley_Hospital
2421621,ALDACTONE 50mg TAB,,11.00,The_Ruby_Valley_Hospital
2421680,AMANTADINE 100 mg TAB,,9.00,The_Ruby_Valley_Hospital
2422431,LOTRMIN CRM 15mg TUBE,,94.00,The_Ruby_Valley_Hospital
2422432,DESITIN OINT 1OZ TUBE,,23.00,The_Ruby_Valley_Hospital
2422914,GENTAMICIN OPTH SOL,J3490,61.50,The_Ruby_Valley_Hospital
2423210,CEFOTAN 2g IM,,145.00,The_Ruby_Valley_Hospital
2423562,VERSED 5mg (1 ML) IM/IV,J2250,5.00,The_Ruby_Valley_Hospital
2423563,VENTOLIN INHALLER,,62.00,The_Ruby_Valley_Hospital
2423565,PROCARDIA 30 MG TAB,J3490,5.00,The_Ruby_Valley_Hospital
2423824,BETADINE FOIL PKT,,0.00,The_Ruby_Valley_Hospital
2424116,CALCIMAR 100IU IM,,88.00,The_Ruby_Valley_Hospital
2425428,ZANTAC 150MG/10CC,,44.00,The_Ruby_Valley_Hospital
2425429,ZANTAC 100 mn IV,,54.00,The_Ruby_Valley_Hospital
2425741,VANCOMYCIN 250mg IM,,71.00,The_Ruby_Valley_Hospital
2425742,VANCOMYACIN 1GM,J3370,29.00,The_Ruby_Valley_Hospital
2427952,VANCOCIN TAB 125MG,,50.00,The_Ruby_Valley_Hospital
2427966,VANCOCIN TAB 250MG,J3490,72.00,The_Ruby_Valley_Hospital
2427967,Vancomycin 250mg CAPS,J3490,185.00,The_Ruby_Valley_Hospital
2428154,LUPRON (LEVPRODIDE),,"1,137.00",The_Ruby_Valley_Hospital
2428462,IMiTREX 6mg SQ,J3030,272.00,The_Ruby_Valley_Hospital
2428615,SOLU CORTEF INJ 100MG/2 ML,J1710,56.50,The_Ruby_Valley_Hospital
2428616,ZOSTRIX CREAM 1 TUBE,,131.00,The_Ruby_Valley_Hospital
2428617,LOPRESSOR 5 MG IV,J3490,5.00,The_Ruby_Valley_Hospital
2428618,LORCET PLUS TAB,,4.00,The_Ruby_Valley_Hospital
2430025,AUGMENTIN 250 100ML BOTTLE,,219.00,The_Ruby_Valley_Hospital
2430179,CERUMENEX EAR GTT-12ML BOTTLE,,129.00,The_Ruby_Valley_Hospital
2430191,ADMINISTRATION OF FLU VACCINE,G0008,40.00,The_Ruby_Valley_Hospital
2430225,HANDIVENT NACL 3CC SOL,,0.00,The_Ruby_Valley_Hospital
2430320,TESSALON PEARLES,J3490,5.00,The_Ruby_Valley_Hospital
2430401,HALDOL 5MG/ML IM,J1630,23.00,The_Ruby_Valley_Hospital
2430402,HALDOL 1MG/ML IM,,17.00,The_Ruby_Valley_Hospital
2430404,HALDOL 2MG/ML IM,,31.00,The_Ruby_Valley_Hospital
2430405,HALDOL 5mg TAB,,17.00,The_Ruby_Valley_Hospital
2430445,NACL FOR INJECTION,,4.00,The_Ruby_Valley_Hospital
2430461,SOLU-MEDROL 250 MG IM,,30.00,The_Ruby_Valley_Hospital
2430462,SOLU-MEDROL 1 GM VIAL IM,J2930,161.00,The_Ruby_Valley_Hospital
2430465,SONATA 10 MG TAB,,23.00,The_Ruby_Valley_Hospital
2430470,KERSONE 10 MG TAB,,11.00,The_Ruby_Valley_Hospital
2430476,LEVOXYL 0.05MG TAB,,4.00,The_Ruby_Valley_Hospital
2430478,RITALIN 20MG TAB,,19.00,The_Ruby_Valley_Hospital
2430479,LEVOXYL 0.150MG TAB,,4.00,The_Ruby_Valley_Hospital
2430497,FORTAZ 1 GM IV,,121.00,The_Ruby_Valley_Hospital
2430498,FORTAZ 2 GM IV,,200.00,The_Ruby_Valley_Hospital
2430499,FORTAZ 500 MG IV,,71.00,The_Ruby_Valley_Hospital
2430526,IRON DEXTRAN 100MG IM,,133.00,The_Ruby_Valley_Hospital
2430552,LIPITOR 10 MG TAB,,17.00,The_Ruby_Valley_Hospital
2430588,COZAAR 25MG TAB,J3490,5.50,The_Ruby_Valley_Hospital
2430778,LOTENSIN 10MG TAB,,5.00,The_Ruby_Valley_Hospital
2430779,LOTENSIN 5MG TAB,,4.00,The_Ruby_Valley_Hospital
2435671,COLBENEMID TAB,,4.00,The_Ruby_Valley_Hospital
2435948,MS CONTIN 15MG,,4.00,The_Ruby_Valley_Hospital
2438832,BENADRYL 12.5MG TAB,,6.00,The_Ruby_Valley_Hospital
2438834,BENADRYL 25mg IM,,5.00,The_Ruby_Valley_Hospital
2439416,RELAFEN 500 MG TAB,,19.00,The_Ruby_Valley_Hospital
2439417,DYNACIRC (2.5 MG/5.0 MG),,11.00,The_Ruby_Valley_Hospital
2439418,REFANIPEN 300MB TABS,,23.00,The_Ruby_Valley_Hospital
2439419,REGLAN 5mg TAB,,4.00,The_Ruby_Valley_Hospital
2439420,REMERON 30 MG.,,31.00,The_Ruby_Valley_Hospital
2440000,ASACOL 400 MG,,17.00,The_Ruby_Valley_Hospital
2440001,CHARCOAL (ACUDOSE) LIQUID,J3490,76.00,The_Ruby_Valley_Hospital
2440002,CHARCOAL (ACUDOSE)/ TAB,,4.00,The_Ruby_Valley_Hospital
2440003,TNK 50 MG,J3101,"10,448.00",The_Ruby_Valley_Hospital
2440004,ACETAMINOPHEN SUPP CHILD [120 MG],J3490,5.00,The_Ruby_Valley_Hospital
2440005,DICYCLOMINE [10 MG/1ML],J0500,323.00,The_Ruby_Valley_Hospital
2440006,ADRENALIN - IM,,26.00,The_Ruby_Valley_Hospital
2440007,ADVIL/ TAB,,0.00,The_Ruby_Valley_Hospital
2440008,ADVIL PEDIATRIC SUSPENSION,,5.00,The_Ruby_Valley_Hospital
2440009,CITROMA 10 OZ,,12.00,The_Ruby_Valley_Hospital
2440010,DOPAMINE 400MG/250 ML,J1265,50.00,The_Ruby_Valley_Hospital
2440011,FUROSEMIDE INJ 20MG/ML,J1940,16.00,The_Ruby_Valley_Hospital
2440012,FUROSEMIDE TAB 20MG,J3490,5.00,The_Ruby_Valley_Hospital
2440013,GABAPENTIN CAP 400MG,J3490,5.00,The_Ruby_Valley_Hospital
2440014,ALUPENT 10mg TAB,,4.00,The_Ruby_Valley_Hospital
2440015,ALUPENT INHALLER 1/10cc,,81.00,The_Ruby_Valley_Hospital
2440016,ALUPENT SYRUP / DOSE,,4.00,The_Ruby_Valley_Hospital
2440017,ALUPENT SOLUTION 5% 10cc LOADING DOSE,,81.00,The_Ruby_Valley_Hospital
2440018,AMBENYL EXPEC 5mg TAB,,4.00,The_Ruby_Valley_Hospital
2440019,AMCILL 250 mg TAB,,5.00,The_Ruby_Valley_Hospital
2440020,HYDRALAZINE TAB 50MG,J3490,5.00,The_Ruby_Valley_Hospital
2440021,AMINOPHYLLIN 100mg IM,,20.00,The_Ruby_Valley_Hospital
2440022,AMINOPHYLLIN 200mg IM,,29.00,The_Ruby_Valley_Hospital
2440023,AMINOPHYLLIN 275mg IM,,29.00,The_Ruby_Valley_Hospital
2440024,AMINOPHYLLIN 500mg (LOADING DOSE) IM,,34.00,The_Ruby_Valley_Hospital
2440025,AMINOPHYLLIN 100 mg TAB,,4.00,The_Ruby_Valley_Hospital
2440026,AMINOPHYLLIN 200mg TAB,,4.00,The_Ruby_Valley_Hospital
2440027,AMINOPHYLLIN SUPPOSITORY,,5.00,The_Ruby_Valley_Hospital
2440028,HYDROXUREA CAP 500MG,J8999,5.00,The_Ruby_Valley_Hospital
2440029,AMOXICILLIN 125 mg CHEWABLE,,4.00,The_Ruby_Valley_Hospital
2440030,AMOXICILLIN 250 mg CAPS,J3490,5.00,The_Ruby_Valley_Hospital
2440031,AMOXICILLIN 125MG 5ML BOTTLE,J3490,10.00,The_Ruby_Valley_Hospital
2440032,AMOXICILLIN 250MG/5ML BOTTLE,J3490,17.00,The_Ruby_Valley_Hospital
2440033,AMOXICILLIN 200MG/5ML BOTTLE,,47.00,The_Ruby_Valley_Hospital
2440034,IV D10W 1000ML,J7799,25.00,The_Ruby_Valley_Hospital
2440035,AMPICILLIN 250MG CAP,,4.00,The_Ruby_Valley_Hospital
2440036,AMPICILLIN 500MG CAP,,4.00,The_Ruby_Valley_Hospital
2440037,AMPICILLIN 1GR IV,J0290,28.00,The_Ruby_Valley_Hospital
2440038,AMPICILLIN 1.2GR IM,,60.00,The_Ruby_Valley_Hospital
2440039,AMPICILLIN 500MG IM,J0290,26.00,The_Ruby_Valley_Hospital
2440040,"AMPICILLIN 250MG 200,000 IM",,30.00,The_Ruby_Valley_Hospital
2440041,AMIPICLLIN 125MG IM,,23.00,The_Ruby_Valley_Hospital
2440042,ANACIN TAB,,0.00,The_Ruby_Valley_Hospital
2440043,ANCEF CEFAZOL 1GM IM,J0690,5.50,The_Ruby_Valley_Hospital
2440044,OLANZIPINE INJ 10MG,J3490,133.00,The_Ruby_Valley_Hospital
2440045,ANTIVENOM IM(RATTLE SNAKE) PER VIAL,,"3,037.00",The_Ruby_Valley_Hospital
2440046,ANTIVERT 12.5MG,J3490,5.00,The_Ruby_Valley_Hospital
2440047,ANTIVERT 25MG TAB,,4.00,The_Ruby_Valley_Hospital
2440048,IV D10W 250ML,J3490,1.00,The_Ruby_Valley_Hospital
2440049,ANUSOL SUPPOSITORY,,11.00,The_Ruby_Valley_Hospital
2440050,ANUSOL CREAM TUBE,,33.00,The_Ruby_Valley_Hospital
2440051,IV D10W 500ML,J7799,11.00,The_Ruby_Valley_Hospital
2440052,AQUAMEPHYTON NEONATAL IM,,23.00,The_Ruby_Valley_Hospital
2440053,AQUAMEPHYTON ADULT IM,,26.00,The_Ruby_Valley_Hospital
2440054,Promethazine 25mg/ml Inj,J2550,5.00,The_Ruby_Valley_Hospital
2440055,ASA WITH 1/2GR CODEINE,,4.00,The_Ruby_Valley_Hospital
2440056,ASA 600MG SUPP,,4.00,The_Ruby_Valley_Hospital
2440057,IV D51/2 NACL 500ML,J7799,1.00,The_Ruby_Valley_Hospital
2440058,IV LACTATED RINGERS 1000ML,J7120,20.50,The_Ruby_Valley_Hospital
2440059,VITAMIC C ASCORBIC ACID,J3490,5.00,The_Ruby_Valley_Hospital
2440060,AREDIA 30 MG/IV,J2430,669.00,The_Ruby_Valley_Hospital
2440061,ASPIRIN TAB,J3490,5.00,The_Ruby_Valley_Hospital
2440062,ASPERCREAM TUBE,,23.00,The_Ruby_Valley_Hospital
2440063,ATARAX 25MG TAB,,6.00,The_Ruby_Valley_Hospital
2440064,ATIVAN 2MG TAB,,12.00,The_Ruby_Valley_Hospital
2440065,ATROVENT SOLUTION,J7644,5.00,The_Ruby_Valley_Hospital
2440066,ATROPINE SULFATE GR1/150ML IM,,69.00,The_Ruby_Valley_Hospital
2440067,ATROPINE SULFATE 1MG IM,,115.00,The_Ruby_Valley_Hospital
2440068,ATROVENT INHALER,,159.00,The_Ruby_Valley_Hospital
2440069,AUGMENTIN SUSP 200MG 100 ML,,153.00,The_Ruby_Valley_Hospital
2440070,AUGMENTIN 875MG TAB,J3490,16.50,The_Ruby_Valley_Hospital
2440071,AUGMENTIN SUSP 400MG 100 ML BOTLE,,199.00,The_Ruby_Valley_Hospital
2440072,AUGMENTIN 500 TAB,,26.00,The_Ruby_Valley_Hospital
2440073,AUGMENTIN 250MG TAB,,24.00,The_Ruby_Valley_Hospital
2440074,AUGMENTIN SUSP 125 .75ML BOTTLE,,64.00,The_Ruby_Valley_Hospital
2440075,AUGMENTIN SUSP 125 150ML BOTTLE,,145.00,The_Ruby_Valley_Hospital
2440076,AUGMENTIN SUSP 250 75ML BOTTLE,J3490,207.50,The_Ruby_Valley_Hospital
2440077,AUGMENTIN SUSP 250 /5ML BOTTLE,,163.00,The_Ruby_Valley_Hospital
2440078,AMPICILLIN 250MG/ML BOTTLE,,30.00,The_Ruby_Valley_Hospital
24400780,COMPAZINE (PROCHLORPERAZINE 10MG/2ML,J0780,5.00,The_Ruby_Valley_Hospital
2440079,AMPICILLIN 125MG/ML BOTTLE,,20.00,The_Ruby_Valley_Hospital
2440080,AZMACORT INHALER,,182.00,The_Ruby_Valley_Hospital
2440081,AXIDE 150MG,,19.00,The_Ruby_Valley_Hospital
2440082,AXID 300mg,,34.00,The_Ruby_Valley_Hospital
2440083,AURALGAN EAR GTTS BOTTLE,,28.00,The_Ruby_Valley_Hospital
2440084,ANTIVERT 50mg,,10.00,The_Ruby_Valley_Hospital
2440085,LABETOLOT20MG/4ML,J3490,28.50,The_Ruby_Valley_Hospital
2440086,BENADRYL 50mg/ml IM,J1200,11.00,The_Ruby_Valley_Hospital
2440087,BENADRYL 25mg TAB,Q0163,5.00,The_Ruby_Valley_Hospital
2440088,BENADRYL 50mg TAB,,4.00,The_Ruby_Valley_Hospital
2440089,AVAPRO 150MG TAB,,18.00,The_Ruby_Valley_Hospital
2440090,AVAPRO 300MG TAB,,20.00,The_Ruby_Valley_Hospital
2440091,IV NACL 0.45%,J7799,20.50,The_Ruby_Valley_Hospital
2440092,BENADRYL  SYRUP 12.5 MG/5 ML,Q0163,11.50,The_Ruby_Valley_Hospital
2440093,BENAMID 0.5g TAB,,4.00,The_Ruby_Valley_Hospital
2440094,BENYLIN EXPECT,,4.00,The_Ruby_Valley_Hospital
2440095,Dicyclomine 10mg/5ml Oral Solution,J3490,5.00,The_Ruby_Valley_Hospital
2440096,BENTYL 20mg TAB,,5.00,The_Ruby_Valley_Hospital
2440097,lEVOTHYROXINE AB 88 MCG,J3490,5.00,The_Ruby_Valley_Hospital
2440098,HYDROCODONE 5/325 MG TAB,J3490,5.00,The_Ruby_Valley_Hospital
2440099,ATROVENT 3% SPRAY,,218.00,The_Ruby_Valley_Hospital
2440100,BENTYL 10mg TAB,J3490,5.00,The_Ruby_Valley_Hospital
2440101,PEN-VEE K 250 MG,,4.00,The_Ruby_Valley_Hospital
2440102,TERBUTALINE / BRETHINE 1mg AMP,J3105,15.50,The_Ruby_Valley_Hospital
2440103,METOPROLOL SUCC ER TAB 50MG,J3490,5.00,The_Ruby_Valley_Hospital
2440104,TRANEXAMIC ACID 1000MG/10ML,J3490,8.50,The_Ruby_Valley_Hospital
2440105,BUFFERIN,,4.00,The_Ruby_Valley_Hospital
2440106,BUMEX 1mg TAB,J3490,6.50,The_Ruby_Valley_Hospital
2440107,BUMEX 2mg TAB,,10.00,The_Ruby_Valley_Hospital
2440108,BUMEX 4mg TAB,,11.00,The_Ruby_Valley_Hospital
2440109,BUSPAR 5mg TAB,J3490,5.00,The_Ruby_Valley_Hospital
2440110,BUSPAR 10mg TAB,,12.00,The_Ruby_Valley_Hospital
2440111,BUSPAR 20mg TAB,,17.00,The_Ruby_Valley_Hospital
2440112,BUMEX IVP 1mg IN 4mg VIAL,J3490,5.00,The_Ruby_Valley_Hospital
2440113,TOPIRAMATE TAB 100MG,J3490,20.00,The_Ruby_Valley_Hospital
2440114,CALAMINE LOTION 4oz,,17.00,The_Ruby_Valley_Hospital
2440115,CALAMINE LOTION / APPLICATION,,0.00,The_Ruby_Valley_Hospital
2440116,CALAN 5mg IM,,29.00,The_Ruby_Valley_Hospital
2440117,CALAN 10mg IM,J3490,17.50,The_Ruby_Valley_Hospital
2440118,CALAN 80mg TAB (VERAPAMIL),,5.00,The_Ruby_Valley_Hospital
2440119,CALAN 120mg TAB,J3490,5.00,The_Ruby_Valley_Hospital
2440120,CALAN 240mg TAB,,18.00,The_Ruby_Valley_Hospital
2440121,CALCIUM GLUCONATE 10ML,J0610,86.50,The_Ruby_Valley_Hospital
2440122,CALCIUM GLUCONATE 500mg TAB,,10.00,The_Ruby_Valley_Hospital
2440123,CALCIUM CHLORIDE IV 1 GM,J3490,36.00,The_Ruby_Valley_Hospital
2440124,CAPOTEN 25mg TAB,,6.00,The_Ruby_Valley_Hospital
2440125,CAPOTEN 12.5mg TAB,,10.00,The_Ruby_Valley_Hospital
2440126,CARAFATE 1gm TAB,J3490,5.00,The_Ruby_Valley_Hospital
2440127,CARDIZEM 30mg TAB,,4.00,The_Ruby_Valley_Hospital
2440128,CARDIZEM 60mg TAB,,4.00,The_Ruby_Valley_Hospital
2440129,CARDIZEM 90mg TAB,,5.00,The_Ruby_Valley_Hospital
2440130,CARDIZEM LA 180mg TAB,J3490,5.00,The_Ruby_Valley_Hospital
2440131,CATAPRES 0.1mg TAB,J3490,5.00,The_Ruby_Valley_Hospital
2440132,CATAPRES 0.2mg TAB,J3490,5.00,The_Ruby_Valley_Hospital
2440133,CECLOR 125mg 75ml (1 BOTTLE),,98.00,The_Ruby_Valley_Hospital
2440134,CECLOR 125mg 150ml (BOTTLE),,171.00,The_Ruby_Valley_Hospital
2440135,CECLOR 250mg 75ml /BOTTLE,,150.00,The_Ruby_Valley_Hospital
2440136,CEFACLOR 250MG TAB,,5.00,The_Ruby_Valley_Hospital
2440137,CEFACLOR 500 MG TAB,,5.00,The_Ruby_Valley_Hospital
2440138,CELESTONE SOLUSPAN 1cc IM,,44.00,The_Ruby_Valley_Hospital
2440139,CELESTONE SOLUSPAN 1 1/2cc IM,,56.00,The_Ruby_Valley_Hospital
2440140,CELESTONE SOLUSPAN 2cc IM,,77.00,The_Ruby_Valley_Hospital
2440141,CELESTONE SOLUSPAN 1/2 cc IM,,26.00,The_Ruby_Valley_Hospital
2440142,PHENYTOIN CAP 30MG,J3490,5.00,The_Ruby_Valley_Hospital
2440143,VAC HAEMOPHILUS b CONJUGATE 0.5ML,,31.50,The_Ruby_Valley_Hospital
2440144,CENTRUM TAB,J3490,5.00,The_Ruby_Valley_Hospital
2440145,CETECAINE SPRAY/DOSE,,34.00,The_Ruby_Valley_Hospital
2440146,CHLORASEPTIC THROAT SPRAY,,34.00,The_Ruby_Valley_Hospital
2440147,CHLORASEPTIC LOZENGES,,4.00,The_Ruby_Valley_Hospital
2440148,CHLORAMYCETIN 1gm IM,,54.00,The_Ruby_Valley_Hospital
2440149,CHLORAMYCETIN 250mg TAB,,10.00,The_Ruby_Valley_Hospital
2440150,CHLOROMYCETIN EYE OINTMENT,,78.00,The_Ruby_Valley_Hospital
2440151,VAC ROTAVIRUS SUSP 1 ML,,464.00,The_Ruby_Valley_Hospital
2440152,CIPRO 400 MG IV,J0706,27.00,The_Ruby_Valley_Hospital
2440153,CIPRO 250mg TAB,J3490,17.50,The_Ruby_Valley_Hospital
2440154,CIPRO 500mg TAB,J3490,5.00,The_Ruby_Valley_Hospital
2440155,CIPRO 750 mg TAB,,30.00,The_Ruby_Valley_Hospital
2440156,CIPRO 1000mg TAB,,37.00,The_Ruby_Valley_Hospital
2440157,CIPRO 200 MG IV,J0744,99.00,The_Ruby_Valley_Hospital
2440158,CLEOCIN 300mg IM,,44.00,The_Ruby_Valley_Hospital
2440159,CLEOCIN 600mg IM,J3490,47.50,The_Ruby_Valley_Hospital
2440160,CLEOCIN 900mg IM,J3490,18.50,The_Ruby_Valley_Hospital
2440161,CLEOCIN 150mg TAB,J3490,5.00,The_Ruby_Valley_Hospital
2440162,CLEOCIN 300mg TAB,,23.00,The_Ruby_Valley_Hospital
2440163,CLEOCIN 200mg TAB,,12.00,The_Ruby_Valley_Hospital
2440164,CLEOCIN 150mg TAB,,4.00,The_Ruby_Valley_Hospital
2440165,XYLOCAINE W/EPI 1%/1:100000,J3490,5.00,The_Ruby_Valley_Hospital
2440166,Silvadene 1% 50gm,J3490,48.00,The_Ruby_Valley_Hospital
2440167,MOTRIN PEDIATRIC LIQ 1 BOTTLE,,24.00,The_Ruby_Valley_Hospital
2440168,COLACE 100MG TAB,J3490,5.00,The_Ruby_Valley_Hospital
2440169,COLACE 250 MG TAB,,0.00,The_Ruby_Valley_Hospital
2440170,DOCUSIL TAB,,4.00,The_Ruby_Valley_Hospital
2440171,Lidocaine External Gel Urojet,J3490,25.00,The_Ruby_Valley_Hospital
2440172,Synthroid 50mcg,J3490,5.00,The_Ruby_Valley_Hospital
2440173,COMPAZINE 5mg/ml IM,,12.00,The_Ruby_Valley_Hospital
2440174,COMPAZINE 10mg IM,,61.00,The_Ruby_Valley_Hospital
2440175,COMPAZINE 25mg IM,,18.00,The_Ruby_Valley_Hospital
