DESCRIPTION,CDM,PRICE,hospital
ROCKET RHINO ADULT,4536892,110.45,Beartooth_Billings_Clinic
TRAY LACERATION,4536895,112.85,Beartooth_Billings_Clinic
RAPID RHINO 4.5CM,4536899,187.0,Beartooth_Billings_Clinic
RAPID RHINO 7.5CM,4536910,192.8,Beartooth_Billings_Clinic
"PACKING 1/2""X1YD",4536983,12.35,Beartooth_Billings_Clinic
TRAY CENTRAL LINE,4537007,37.7,Beartooth_Billings_Clinic
POLYP TRAP,4537106,76.6,Beartooth_Billings_Clinic
CAST ARM SHORT ADULT FIBERGLASS,4537122,45.25,Beartooth_Billings_Clinic
"CAST SCOTCH PLUS 2"" DARK BLUE",4537198,26.15,Beartooth_Billings_Clinic
"CAST SCOTCH PLUS 2"" PURPLE",4537199,26.15,Beartooth_Billings_Clinic
"CAST SCOTCH PLUS 2"" PINK",4537200,26.15,Beartooth_Billings_Clinic
"CAST SCOTCH PLUS 2"" YELLOW",4537201,26.15,Beartooth_Billings_Clinic
CATHETER THORACIC 24FR,4537239,73.6,Beartooth_Billings_Clinic
AEROCHAMBER POCKET,4537240,50.65,Beartooth_Billings_Clinic
AIRWAY NASOPHARYNGEAL 28 FR,4537254,31.6,Beartooth_Billings_Clinic
AIRWAY NASOPHARYNGEAL 32 FR,4537262,31.6,Beartooth_Billings_Clinic
AIRWAY 120MM,4537270,17.85,Beartooth_Billings_Clinic
BROSELOW RED INTRAOSSEOUS,4537288,315.35,Beartooth_Billings_Clinic
BROSELOW PURPLE INTRAOSSEOUS,4537296,183.6,Beartooth_Billings_Clinic
BROSELOW YELLOW INTRAOSSEOUS,4537304,315.35,Beartooth_Billings_Clinic
BROSELOW WHITE INTRAOSSEOUS,4537312,315.35,Beartooth_Billings_Clinic
BROSELOW BLUE INTRAOSSEOUS,4537320,315.35,Beartooth_Billings_Clinic
BROSELOW ORANGE INTRAOSSEOUS,4537338,315.35,Beartooth_Billings_Clinic
BROSELOW GREEN INTRAOSSEOUS,4537346,315.35,Beartooth_Billings_Clinic
CATHETER TROCAR 12 FR,4537353,158.1,Beartooth_Billings_Clinic
NEEDLE SPINAL 20 X 1 1/4,4537355,22.05,Beartooth_Billings_Clinic
CATHETER COUDE 22FR 5CC,4537379,88.55,Beartooth_Billings_Clinic
DRESSING MAXORB SILVER ALGINAT ROPE,4537403,43.45,Beartooth_Billings_Clinic
DRESSING HYDROGEL CALCIUM ALGINATE,4537414,88.55,Beartooth_Billings_Clinic
COLD SNARE,4537493,210.1,Beartooth_Billings_Clinic
COMPRESSION BANDAGE 4 LAYER,4537498,136.35,Beartooth_Billings_Clinic
HOLDER IV STATLOC,4537510,39.15,Beartooth_Billings_Clinic
MASK ANESTHESIA X-LARGE ADULT,4537515,49.5,Beartooth_Billings_Clinic
HOLDER PICC LINE STATLOC,4537528,51.25,Beartooth_Billings_Clinic
FORCEPS LARGE 2.8MM 240CM,4538039,150.6,Beartooth_Billings_Clinic
CLIPS RESOLUTION,4538054,372.05,Beartooth_Billings_Clinic
NEEDLE INTERJECT,4538062,227.55,Beartooth_Billings_Clinic
TWISTER POLYP RETRIEVAL DEVICE 22MM,4538070,337.0,Beartooth_Billings_Clinic
LARYNGOSCOPE AIRTRAQ REGULAR,4538104,290.4,Beartooth_Billings_Clinic
LARYNGOSCOPE AIRTRAQ SMALL,4538112,290.4,Beartooth_Billings_Clinic
LARYNGOSCOPE AIRTRAQ PEDIATRIC,4538120,290.4,Beartooth_Billings_Clinic
LARYNGOSCOPE AIRTRAQ INFANT,4538138,290.4,Beartooth_Billings_Clinic
AIRWAY SIZE 1,4538146,17.85,Beartooth_Billings_Clinic
AIRWAY SIZE 2,4538153,17.85,Beartooth_Billings_Clinic
AIRWAY SIZE 7 70MM,4538161,17.85,Beartooth_Billings_Clinic
AIRWAY NASOPHARANGEAL 12FR,4538179,31.6,Beartooth_Billings_Clinic
AIRWAY NASOPHARANGEAL 16FR,4538187,31.6,Beartooth_Billings_Clinic
AIRWAY NASOPHARANGEAL 18FR,4538195,31.6,Beartooth_Billings_Clinic
AIRWAY NASOPHARANGEAL 20FR,4538203,31.6,Beartooth_Billings_Clinic
AIRWAY NASOPHARANGEAL 22FR,4538211,31.6,Beartooth_Billings_Clinic
AIRWAY NASOPHARANGEAL 24FR,4538229,31.6,Beartooth_Billings_Clinic
AIRWAY NASOPHARANGEAL 30FR,4538237,31.6,Beartooth_Billings_Clinic
CALAZYME PASTE 4 OZ,4538302,42.7,Beartooth_Billings_Clinic
"CATHETER IV 14G X 1 1/4""",4538310,35.5,Beartooth_Billings_Clinic
BROSELOW RED OXYGEN MODULE,4538328,115.35,Beartooth_Billings_Clinic
"CAST SCOTCH PLUS 2"" FLOR GREEN",4538336,26.15,Beartooth_Billings_Clinic
"CAST SCOTCH PLUS 2"" LT BLUE",4538344,26.15,Beartooth_Billings_Clinic
CAST ARM SHORT CHILD FIBERGLASS,4538351,33.5,Beartooth_Billings_Clinic
KINESIO TAPE RED/1 INCH,4538369,4.3,Beartooth_Billings_Clinic
KINESIO TAPE BLUE/1 INCH,4538377,4.3,Beartooth_Billings_Clinic
KINESIO TAPE BLACK/1 INCH,4538385,4.3,Beartooth_Billings_Clinic
CAST ARM LONG CHILD FIBERGLASS,4538393,45.25,Beartooth_Billings_Clinic
AEROCHAMBER CHILD MEDIUM FROG,4538401,188.4,Beartooth_Billings_Clinic
"PACKING STRIP 1/4"" X 1YD",4538419,36.45,Beartooth_Billings_Clinic
"BANDAGE KLING 2"" STERILE",4538427,13.3,Beartooth_Billings_Clinic
BROSELOW RED IV DELIVERY MODULE,4538435,222.15,Beartooth_Billings_Clinic
DRESSING OPTIFOAM 4X4 NONADHESIVE,4538443,38.6,Beartooth_Billings_Clinic
INTRAOSSEOUS NEEDLE SET 3-39KG,4538450,370.0,Beartooth_Billings_Clinic
INTRAOSSEOUS NEEDLE SET >40KG,4538468,370.0,Beartooth_Billings_Clinic
VACUUM,4538476,151.9,Beartooth_Billings_Clinic
FORCEPS BIOPSY DISPOSABLE,4538484,202.5,Beartooth_Billings_Clinic
FORCEPS BIPOLAR DISP,4538492,401.0,Beartooth_Billings_Clinic
BROSELOW BLUE IV DELIVERY MODULE,4538500,222.15,Beartooth_Billings_Clinic
BROSELOW YELLOW IV DELIVERY MODULE,4538518,222.15,Beartooth_Billings_Clinic
BROSELOW RED INTUBATION MODULE,4538526,198.95,Beartooth_Billings_Clinic
BROSELOW YELLOW INTUBATION MODULE,4538534,198.95,Beartooth_Billings_Clinic
BROSELOW BLUE INTUBATION MODULE,4538542,198.95,Beartooth_Billings_Clinic
"BANDAGE KLING 3"" STERILE",4538567,12.55,Beartooth_Billings_Clinic
NUTRASHIELD CREAM 2 OZ,4538575,45.8,Beartooth_Billings_Clinic
POLYP RETRIEVER ROTH NET PLATINUM,4538583,375.4,Beartooth_Billings_Clinic
INTRAOSSEOUS NEEDLE SET LONG YELLOW,4538591,370.0,Beartooth_Billings_Clinic
PESSARY-RING W/SUPPORT #6,4538618,244.8,Beartooth_Billings_Clinic
AEROCHAMBER VORTEX,4538708,174.7,Beartooth_Billings_Clinic
SPOT GI TATTOO INK,4538716,134.55,Beartooth_Billings_Clinic
"DRESSING BIOPATCH 1"" DISK 7.0MM",4538724,162.7,Beartooth_Billings_Clinic
STATLOCK SMALL,4538732,101.55,Beartooth_Billings_Clinic
DEVICE FASTENING PERCUT CATHETER,4538740,139.95,Beartooth_Billings_Clinic
CATHETER THORACIC 16FR,4538757,73.6,Beartooth_Billings_Clinic
CANNULA NASAL PEDIATRIC,4538765,16.3,Beartooth_Billings_Clinic
CAST ARM LONG ADULT FIBERGLASS,4538773,42.65,Beartooth_Billings_Clinic
AEROCHAMBER CHILD SMALL LADYBUG,4538781,228.25,Beartooth_Billings_Clinic
TUBE FEEDING 5FR,4538799,15.05,Beartooth_Billings_Clinic
"DRESSING MAXORB EXTRA ROPE 1X12""",4538807,31.9,Beartooth_Billings_Clinic
DRESSING MAXORB EXTRA FLAT ROPE,4538815,36.5,Beartooth_Billings_Clinic
CATHETER THORACIC 12FR,4538823,73.6,Beartooth_Billings_Clinic
AIRWAY KING LT-D #3,4538831,209.55,Beartooth_Billings_Clinic
AIRWAY KING LT-D #4,4538849,209.55,Beartooth_Billings_Clinic
AIRWAY KING LT-D #5,4538856,209.55,Beartooth_Billings_Clinic
DEFIB PAD,4538864,162.3,Beartooth_Billings_Clinic
GOLD PROBE ELEC CONNECTOR STD 7 F,4538872,371.95,Beartooth_Billings_Clinic
NEEDLE HUBER,4538880,17.8,Beartooth_Billings_Clinic
"NEEDLE DECOMPRESSION 10G X 3.25""",4538906,97.95,Beartooth_Billings_Clinic
BLADE LARYNGOSCOPE MAC #3,4538914,100.9,Beartooth_Billings_Clinic
BLADE LARYNGOSCOPE MAC #4,4538922,63.05,Beartooth_Billings_Clinic
MIC-KEY BUTTON,4538930,278.9,Beartooth_Billings_Clinic
FIRST STEP OVERLAY DAILY RENTAL,4540001,142.65,Beartooth_Billings_Clinic
WOUND V.A.C. DAILY RENTAL,4540019,169.25,Beartooth_Billings_Clinic
PEDIATRIC CAPNOLINE SAMPLING SET,4540027,81.45,Beartooth_Billings_Clinic
ADULT CAPNOLINE SAMPLING SET,4540035,88.0,Beartooth_Billings_Clinic
AIRWAY ADAPTER SAMPLING LINE,4540043,81.45,Beartooth_Billings_Clinic
CHLORAPREP W/TINT(26ML),4540050,43.3,Beartooth_Billings_Clinic
OSTOMY POUCH DRAIN W/FILTER,4540068,19.45,Beartooth_Billings_Clinic
MASK AEROSOL INFANT TURTLE,4540076,34.95,Beartooth_Billings_Clinic
MASK AEROSOL PEDIATRIC ELEPHANT,4540084,30.75,Beartooth_Billings_Clinic
DRESSING MEPILEX 8X8,4540092,152.95,Beartooth_Billings_Clinic
SLING PELVIC SAM,4540101,293.1,Beartooth_Billings_Clinic
"INSYTE 14G X 1.75""",4600011,35.5,Beartooth_Billings_Clinic
"INSYTE 16G X 1 1/4""",4600029,35.5,Beartooth_Billings_Clinic
"INSYTE 18G X 1 1/4""",4600037,35.5,Beartooth_Billings_Clinic
"INSYTE 20G X 1 1/4""",4600045,35.5,Beartooth_Billings_Clinic
"INSYTE 22G X 1""",4600052,35.5,Beartooth_Billings_Clinic
"INSYTE 24G X 3/4""",4600060,35.5,Beartooth_Billings_Clinic
MINICATH BUTTERFLY 21 X 3/4,4600110,20.7,Beartooth_Billings_Clinic
MINICATH BUTTERFLY 23 X 3/4,4600128,17.25,Beartooth_Billings_Clinic
MINICATH BUTTERFLY 25 X 3/4,4600136,17.25,Beartooth_Billings_Clinic
VENOCATH 18,4600169,18.8,Beartooth_Billings_Clinic
T-CONNECTOR EXTENSION SET,4600201,26.85,Beartooth_Billings_Clinic
INJECTION SITE,4600219,22.7,Beartooth_Billings_Clinic
PRIMARY IV SET,4600227,54.05,Beartooth_Billings_Clinic
SECONDARY IV SET,4600235,10.55,Beartooth_Billings_Clinic
BLOOD SOLUTION SET Y-TYPE,4600243,73.8,Beartooth_Billings_Clinic
CLAVE NEEDLELESS CONNECTOR,4600326,25.75,Beartooth_Billings_Clinic
STOPCOCK 3 WAY W/EXT,4600409,19.4,Beartooth_Billings_Clinic
"EXTENSION SET 60"" MICROBORE",4600417,31.75,Beartooth_Billings_Clinic
CAP MALE STERILE,4600425,13.65,Beartooth_Billings_Clinic
CATHETER IV W/Y 20X1 PINK,4600508,36.15,Beartooth_Billings_Clinic
CATHETER IV W/Y 24X.75 YELLOW,4600516,36.15,Beartooth_Billings_Clinic
CATHETER IV W/Y 22X.75 BLUE,4600524,36.15,Beartooth_Billings_Clinic
SODIUM CHLORIDE 0.9% 1000CC,4601001,43.3,Beartooth_Billings_Clinic
SODIUM CHLORIDE 0.9% 50CC,4601506,62.9,Beartooth_Billings_Clinic
SODIUM CHLORIDE 0.9% 100CC,4601605,38.3,Beartooth_Billings_Clinic
D5W 0.45% SODIUM CHLORIDE 1000CC,4602009,38.3,Beartooth_Billings_Clinic
D5W 250CC,4602108,38.3,Beartooth_Billings_Clinic
D5W 500CC,4602207,20.15,Beartooth_Billings_Clinic
D5W 1000CC,4602306,38.3,Beartooth_Billings_Clinic
D5W 50CC,4602405,38.3,Beartooth_Billings_Clinic
D5W 100CC,4602504,38.3,Beartooth_Billings_Clinic
D5W 0.225% SODIUM CHLORIDE 1000CC,4602801,41.55,Beartooth_Billings_Clinic
D5W 0.9% SODIUM CHLORIDE 1000CC,4602900,38.3,Beartooth_Billings_Clinic
LACTATED RINGERS 1000CC,4603007,38.3,Beartooth_Billings_Clinic
SODIUM CHLORIDE 0.9% 250CC,4604005,38.3,Beartooth_Billings_Clinic
SODIUM CHLORIDE 0.9% 500CC,4605002,38.3,Beartooth_Billings_Clinic
SODIUM CHLORIDE 0.45% 500CC,4606000,38.3,Beartooth_Billings_Clinic
VITAMIN E,4606471,125.35,Beartooth_Billings_Clinic
SODIUM CHLORIDE 0.45% 1000CC,4607008,38.3,Beartooth_Billings_Clinic
D5W LACTATED RINGERS 1000CC,4608006,28.55,Beartooth_Billings_Clinic
RINGERS INJECTION 1000CC,4609004,39.65,Beartooth_Billings_Clinic
T-CONNECTOR MICROCLAVE,4609012,30.35,Beartooth_Billings_Clinic
STANDARD FLOW RANGER SET,4609111,123.95,Beartooth_Billings_Clinic
HIGH FLOW RANGER SET,4609129,224.25,Beartooth_Billings_Clinic
PORTLESS PRIMARY IV SET,4609137,44.8,Beartooth_Billings_Clinic
SYRINGE PUMP SET,4609145,14.2,Beartooth_Billings_Clinic
DEVICE ACCESS LUER CARESITE,4609178,13.45,Beartooth_Billings_Clinic
ABO GROUPING ONLY,4700019,363.2,Beartooth_Billings_Clinic
ACETAMINOPHEN LEVEL,4700027,205.1,Beartooth_Billings_Clinic
"ACETONE, SERUM",4700035,47.2,Beartooth_Billings_Clinic
"ACID PHOSPHATASE, PROST.",4700043,100.9,Beartooth_Billings_Clinic
ACID PHOSPHATASE-TOTAL,4700050,75.45,Beartooth_Billings_Clinic
ACTH,4700068,403.25,Beartooth_Billings_Clinic
ALBUMIN,4700076,43.55,Beartooth_Billings_Clinic
"ALBUMIN, FLUID",4700084,31.15,Beartooth_Billings_Clinic
"ALCOHOL,BLOOD",4700092,109.6,Beartooth_Billings_Clinic
ALDOSTERONE,4700100,425.45,Beartooth_Billings_Clinic
ALKALINE PHOS,4700118,54.1,Beartooth_Billings_Clinic
ALPHA FETO PROTEIN,4700126,148.35,Beartooth_Billings_Clinic
ALT/GPT,4700134,55.25,Beartooth_Billings_Clinic
"AMMONIA, PLASMA",4700159,137.1,Beartooth_Billings_Clinic
"AMYLASE, SERUM",4700167,76.6,Beartooth_Billings_Clinic
"AMYLASE,URINE",4700175,67.7,Beartooth_Billings_Clinic
ANA SCREEN,4700183,126.3,Beartooth_Billings_Clinic
ANA TITER,4700191,116.5,Beartooth_Billings_Clinic
ANTIBODY IDENTIFICATION,4700233,1359.7,Beartooth_Billings_Clinic
ANTIBODY SCREEN,4700241,668.85,Beartooth_Billings_Clinic
ANTITHROMBIN III,4700266,112.95,Beartooth_Billings_Clinic
ANY SOURCE/ESTENDED/MULTI,4700274,310.05,Beartooth_Billings_Clinic
APTT SUBSTITUTION,4700282,62.75,Beartooth_Billings_Clinic
ARTERIAL PUNCTURE,4700290,592.0,Beartooth_Billings_Clinic
ASO TITER,4700316,76.2,Beartooth_Billings_Clinic
AST/GOT,4700324,54.0,Beartooth_Billings_Clinic
BACTERIAL MENIN AG,4700332,113.5,Beartooth_Billings_Clinic
"BETA-HCG,QUANTITATIVE",4700340,167.65,Beartooth_Billings_Clinic
"BILIRUBIN,DIRECT",4700357,52.45,Beartooth_Billings_Clinic
"BILIRUBIN,TOTAL",4700365,52.45,Beartooth_Billings_Clinic
"BLOOD GASES,ARTERIAL",4700381,202.05,Beartooth_Billings_Clinic
BREAST DISCHARGE SMEARS,4700399,82.45,Beartooth_Billings_Clinic
BRUSHINGS W/O CENTRIFUGE,4700407,198.1,Beartooth_Billings_Clinic
BUN,4700415,44.05,Beartooth_Billings_Clinic
"BUN,URINE",4700423,49.65,Beartooth_Billings_Clinic
CA-125,4700431,217.2,Beartooth_Billings_Clinic
VITAMIN D 25-OH,4700449,80.0,Beartooth_Billings_Clinic
"CALCIUM,URINE",4700456,63.05,Beartooth_Billings_Clinic
"CALCIUM, SERUM",4700464,53.85,Beartooth_Billings_Clinic
CALCIUM-IONIZED,4700472,142.75,Beartooth_Billings_Clinic
CALCULUS ANALYSIS,4700480,120.85,Beartooth_Billings_Clinic
CARBAMAZEPINE-LEVEL,4700498,152.0,Beartooth_Billings_Clinic
CARBOXY HGB,4700506,91.3,Beartooth_Billings_Clinic
CARCINOEMBYONIC ANTIGEN,4700514,198.1,Beartooth_Billings_Clinic
"CATECHOLAMINES,URINE",4700548,263.65,Beartooth_Billings_Clinic
CBC (NO DIFF),4700555,57.65,Beartooth_Billings_Clinic
CBC/AUTO/DIF,4700563,69.3,Beartooth_Billings_Clinic
CBC/MAN/DIF,4700571,57.65,Beartooth_Billings_Clinic
CHLAMYDIA ANTIBODY,4700589,104.6,Beartooth_Billings_Clinic
CHLAMYDIA DNA PROBE,4700597,366.35,Beartooth_Billings_Clinic
CHLORIDE,4700605,48.0,Beartooth_Billings_Clinic
"CHLORIDE,URINE",4700613,52.45,Beartooth_Billings_Clinic
CHOLESTEROL,4700621,48.4,Beartooth_Billings_Clinic
CITRATE-URINE,4700639,290.3,Beartooth_Billings_Clinic
CKMB,4700647,168.15,Beartooth_Billings_Clinic
CLOS. DIFF. CYTOTOXIN,4700654,125.2,Beartooth_Billings_Clinic
CMV AB (IGM),4700662,176.0,Beartooth_Billings_Clinic
"CO2, TOTAL",4700670,51.15,Beartooth_Billings_Clinic
COAG INHIBIT,4700688,134.5,Beartooth_Billings_Clinic
COLD AGGLUTININS SCREEN,4700696,84.3,Beartooth_Billings_Clinic
COLD AUTO-ABSORPTION,4700704,175.35,Beartooth_Billings_Clinic
COLORADO TICK FEVER AB,4700712,134.5,Beartooth_Billings_Clinic
"CORTISOL,TOTAL",4700720,170.3,Beartooth_Billings_Clinic
"CORTISOL,FREE,URINE",4700738,174.4,Beartooth_Billings_Clinic
CREATINE KINASE (CK),4700746,68.1,Beartooth_Billings_Clinic
CREATININE CLEARANCE,4700753,98.55,Beartooth_Billings_Clinic
"CREATININE, URINE",4700761,54.1,Beartooth_Billings_Clinic
"CREATININE, SERUM",4700779,57.1,Beartooth_Billings_Clinic
"CROSSMATCH,EA.UNIT",4700787,668.85,Beartooth_Billings_Clinic
CRP(C-REACTIVE PROTEIN),4700795,60.0,Beartooth_Billings_Clinic
CULTURE-ACID-FAST,4700803,112.85,Beartooth_Billings_Clinic
CULTURE-ANAEROBIC,4700811,98.8,Beartooth_Billings_Clinic
CULTURE-BLOOD,4700829,107.7,Beartooth_Billings_Clinic
CULTURE-FUNGUS,4700837,73.0,Beartooth_Billings_Clinic
CULTURE-FUNGUS(SKIN),4700845,80.6,Beartooth_Billings_Clinic
CULTURE-GROUP B SCREEN,4700852,59.4,Beartooth_Billings_Clinic
CULTURE-ROUTINE,4700860,89.8,Beartooth_Billings_Clinic
CULTURE-STOOL,4700878,98.5,Beartooth_Billings_Clinic
CULTURE-THROAT,4700886,89.8,Beartooth_Billings_Clinic
CULTURE-URINE,4700894,107.6,Beartooth_Billings_Clinic
CULTURE ORG ID ADD'L AERO,4700902,84.4,Beartooth_Billings_Clinic
CULTURE URINE ORGANISM ID,4700910,84.4,Beartooth_Billings_Clinic
"CULTURE,AFB-DIRECT SMEAR",4700928,56.1,Beartooth_Billings_Clinic
CYCLOSPORINE LEVEL,4700936,188.6,Beartooth_Billings_Clinic
CYTOCENTRIFUGE PREP/SINGL,4700944,198.1,Beartooth_Billings_Clinic
DIFFERENTIAL ONLY,4700951,38.4,Beartooth_Billings_Clinic
"DIGOXIN,SERUM",4700977,138.65,Beartooth_Billings_Clinic
DIRECT ANTIGLOB-COOMB'S,4700993,363.2,Beartooth_Billings_Clinic
DRAW FEE,4701017,21.9,Beartooth_Billings_Clinic
DRUG SCREEN/PLASMA,4701108,147.3,Beartooth_Billings_Clinic
DRVVT SCREENING,4701124,99.85,Beartooth_Billings_Clinic
EBV,4701132,137.0,Beartooth_Billings_Clinic
EHRLICHIA AB PANEL,4701140,125.9,Beartooth_Billings_Clinic
ELECTROLYTES PANEL,4701157,73.15,Beartooth_Billings_Clinic
ERYTHROPOETIN,4701181,196.2,Beartooth_Billings_Clinic
ESR/WESTERGREN SED RAT,4701199,59.1,Beartooth_Billings_Clinic
ESTRADIOL,4701207,291.7,Beartooth_Billings_Clinic
ESTROGEN TOTAL,4701215,226.4,Beartooth_Billings_Clinic
ETHOSUXIMIDE,4701223,119.4,Beartooth_Billings_Clinic
FACTOR VIII (AHG) ONE STEP,4701231,186.9,Beartooth_Billings_Clinic
FERRITIN,4701256,142.2,Beartooth_Billings_Clinic
FINE NEEDLE ASP/ADEQUACY,4701264,663.55,Beartooth_Billings_Clinic
FINE NEEDLE/ASP/INTERPRET,4701272,310.05,Beartooth_Billings_Clinic
FLUID CELL COUNT,4701280,49.5,Beartooth_Billings_Clinic
FLUID CELL CT AND DIFF,4701298,57.55,Beartooth_Billings_Clinic
FLUID CHLORIDE,4701306,51.15,Beartooth_Billings_Clinic
FLUID CRYSTALS,4701314,74.75,Beartooth_Billings_Clinic
FLUID GLUCOSE,4701322,41.0,Beartooth_Billings_Clinic
FLUID PROTEIN,4701330,38.35,Beartooth_Billings_Clinic
FOLATE LEVEL,4701348,153.45,Beartooth_Billings_Clinic
FSH,4701355,193.95,Beartooth_Billings_Clinic
G.C.-PCR,4701363,366.35,Beartooth_Billings_Clinic
GAMMA GT,4701371,75.05,Beartooth_Billings_Clinic
GASTRIN,4701389,184.05,Beartooth_Billings_Clinic
COMPREHENSIVE METABOLIC,4701397,110.4,Beartooth_Billings_Clinic
GENTAMICIN-SERUM,4701405,171.15,Beartooth_Billings_Clinic
GLUC TOL-1ST 3 SPECIMEN,4701413,143.3,Beartooth_Billings_Clinic
GLUC TOL-EA ADD'L SPEC,4701421,41.0,Beartooth_Billings_Clinic
"GLUC,BODY FLUID NOT BLOOD",4701439,41.0,Beartooth_Billings_Clinic
GLUCOSE,4701447,43.6,Beartooth_Billings_Clinic
GLUCOSE BY GLUCOMETER,4701454,24.6,Beartooth_Billings_Clinic
GLYCATED PROTEIN,4701462,121.5,Beartooth_Billings_Clinic
GLYCOHEMOGLOBIN-A1C,4701470,101.4,Beartooth_Billings_Clinic
GRAM'S STAIN-PRIMARY,4701488,47.65,Beartooth_Billings_Clinic
GROSS EXAM TRICHROM 88313,4701496,310.05,Beartooth_Billings_Clinic
GROSS/MICRO/COMPLEX 88307,4701504,1359.7,Beartooth_Billings_Clinic
GROSS/MICRO/COMP 88305,4701512,310.05,Beartooth_Billings_Clinic
GROSS/MICRO/COMPRE 88309,4701520,2860.25,Beartooth_Billings_Clinic
GROSS/MICRO/CONF 88302,4701538,198.1,Beartooth_Billings_Clinic
GROSS/MICRO/SIMPLE 88304,4701546,310.05,Beartooth_Billings_Clinic
GROUP AND RH,4701553,39.8,Beartooth_Billings_Clinic
H PYLORI AB IGA S 86677,4701561,128.35,Beartooth_Billings_Clinic
HAPTOGLOBIN,4701587,131.5,Beartooth_Billings_Clinic
HDL CHOLESTEROL,4701595,85.55,Beartooth_Billings_Clinic
HEMATOCRIT,4701611,26.4,Beartooth_Billings_Clinic
HEMOGLOBIN,4701629,26.4,Beartooth_Billings_Clinic
"HEP A AB, IGM",4701637,117.5,Beartooth_Billings_Clinic
"HEP A AB, TOTAL",4701645,129.4,Beartooth_Billings_Clinic
HEP B ANTIBODY (HBSAB),4701652,94.95,Beartooth_Billings_Clinic
HEP B ANTIGEN  (HBSAG),4701660,86.55,Beartooth_Billings_Clinic
"HEP B CAB, IGM",4701678,122.85,Beartooth_Billings_Clinic
"HEP B CAB, TOTAL",4701686,125.9,Beartooth_Billings_Clinic
HEP B E ANTIBODY,4701694,120.8,Beartooth_Billings_Clinic
HEP B E ANTIGEN,4701702,102.15,Beartooth_Billings_Clinic
HEP C ANTIBODY,4701710,149.0,Beartooth_Billings_Clinic
HEP C RIBA,4701728,161.1,Beartooth_Billings_Clinic
HEP D ANTIBODY,4701736,179.2,Beartooth_Billings_Clinic
HEPATIC PANEL,4701744,85.35,Beartooth_Billings_Clinic
HEPATITIS PANEL-ACUTE,4701751,490.25,Beartooth_Billings_Clinic
HERPES SIMPLEX AB IGG,4701769,137.75,Beartooth_Billings_Clinic
HERPES SIMPLEX AB IGM,4701777,118.05,Beartooth_Billings_Clinic
HIAA-5,4701785,134.6,Beartooth_Billings_Clinic
HIV ANTIBODY,4701793,143.15,Beartooth_Billings_Clinic
HLAB-27,4701801,269.45,Beartooth_Billings_Clinic
"HOMOCYSTEINE,PLASMA",4701819,176.15,Beartooth_Billings_Clinic
HOUSE CALL-LAB,4701827,64.25,Beartooth_Billings_Clinic
HYDROXYCORTICOSTEROIDS-17,4701835,182.85,Beartooth_Billings_Clinic
IMMUNOASSAY TUMOR CA15-3,4701843,217.2,Beartooth_Billings_Clinic
IMMUNOCYTOCHEMISTRY,4701850,1359.7,Beartooth_Billings_Clinic
IMMUNOELECTROPHORESIS-SER,4701868,234.05,Beartooth_Billings_Clinic
IMMUNOELECTROPHORESIS-UR,4701876,233.5,Beartooth_Billings_Clinic
"IMMUNOFLUORESCENT STUDY,E",4701884,1359.7,Beartooth_Billings_Clinic
INFLUENZA A,4701892,106.05,Beartooth_Billings_Clinic
INFLUENZA B,4701900,106.05,Beartooth_Billings_Clinic
INSULIN-SERUM LEVEL,4701918,119.4,Beartooth_Billings_Clinic
IRON-SERUM,4701934,45.25,Beartooth_Billings_Clinic
IRON BINDING CAPACITY,4701942,56.7,Beartooth_Billings_Clinic
KOH PREP,4701959,44.55,Beartooth_Billings_Clinic
LACTATE,4701967,111.5,Beartooth_Billings_Clinic
LD (LDH),4701975,63.1,Beartooth_Billings_Clinic
LD ISOENZYMES,4701983,133.7,Beartooth_Billings_Clinic
"LEAD,BLOOD",4701991,126.4,Beartooth_Billings_Clinic
LEIGIONELLA ANTIBODY,4702007,159.8,Beartooth_Billings_Clinic
LEIGIONELLA SMEAR,4702015,125.2,Beartooth_Billings_Clinic
LEUK ALK PHO STAIN,4702023,89.75,Beartooth_Billings_Clinic
"RBC, LEUKOCYTES REDUCED EACH UNIT",4702031,1196.85,Beartooth_Billings_Clinic
LH(LUTEINIZING HORMONE),4702049,193.5,Beartooth_Billings_Clinic
LIPASE,4702056,69.95,Beartooth_Billings_Clinic
LIPID PROFILE,4702064,139.8,Beartooth_Billings_Clinic
LITHIUM-SERUM,4702072,69.05,Beartooth_Billings_Clinic
MAGNESIUM,4702080,69.95,Beartooth_Billings_Clinic
MAGNESIUM-URINE,4702098,67.95,Beartooth_Billings_Clinic
MALARIA SMEAR,4702106,62.7,Beartooth_Billings_Clinic
METANEPHRINES,4702114,176.9,Beartooth_Billings_Clinic
METANEPHRINES-FRACTIONATED,4702122,176.9,Beartooth_Billings_Clinic
MIC'S (SENSITIVITIES),4702130,90.4,Beartooth_Billings_Clinic
MICROALBUMIN-URINE 24 HR,4702148,60.6,Beartooth_Billings_Clinic
MONOTEST,4702155,116.05,Beartooth_Billings_Clinic
MUCOPOLYSACCHARIDES-URINE,4702163,207.85,Beartooth_Billings_Clinic
MYCOPLASMA ANTIBODIES,4702171,138.35,Beartooth_Billings_Clinic
MYELO PEROX,4702189,135.2,Beartooth_Billings_Clinic
MYOGLOBIN,4702197,134.8,Beartooth_Billings_Clinic
N-TELEPEPTIDES,4702205,159.8,Beartooth_Billings_Clinic
