BILL_ITEM_ID,LONG_DESCRIPTION,ACTIVITY_TYPE,CPT-4,GMC Global AP Price Schedule,GMC Urgent Care Price Schedule,Glendive Hosp Office Visit Price Schedule,Glendive Medical Center Base Price Schedule,Prof GMC Base Price Schedule,Prof GMC Hosp Office Visit Price Schedule,Prof GMC Urgent Care Price Sched,hospital
5451304,22847 Anterior Instrumentation 8/> Vertebral Segments,IP Profee,22847,,,,,3140.0,,,Glendive_Medical_Center
5451306,22848 Pelvic Fixation Other Than Sacrum,IP Profee,22848,,,,,1403.0,,,Glendive_Medical_Center
5451308,22849 Reinsertion Spinal Fixation Device,IP Profee,22849,,,,,5059.0,,,Glendive_Medical_Center
5451310,22850 Removal Posterior Nonsegmental Instrumentation,IP Profee,22850,,,,,2826.0,,,Glendive_Medical_Center
5451314,22852 Removal Posterior Segmental Instrumentation,IP Profee,22852,,,,,2714.0,,,Glendive_Medical_Center
5451316,22855 Removal Anterior Instrumentation,IP Profee,22855,,,,,4304.0,,,Glendive_Medical_Center
5451318,22856 Tot Disc Arthrp Art Disc Ant Appro 1 Ntrspc Crv,IP Profee,22856,,,,,6349.0,,,Glendive_Medical_Center
5451326,22899 Unlisted Procedure Spine,IP Profee,22899,,,,,2060.0,,,Glendive_Medical_Center
5440875,22903 Exc abd les sc > 3 cm,IP Profee,22903,,,,,1704.0,,,Glendive_Medical_Center
5451334,23030P I&D Shoulder Deep Abscess/Hematoma,IP Profee,23030,,,,,962.0,,,Glendive_Medical_Center
5451340,23040 Arthrotomy Glenohumeral Jt Expl/Drg/Rmvl Fb,IP Profee,23040,,,,,2775.0,,,Glendive_Medical_Center
5451342,23044 Arthrt Acromclav Strnclav Jt Expl/Drg/Rmvl Fb,IP Profee,23044,,,,,2188.0,,,Glendive_Medical_Center
5440896,23071 Exc shoulder les sc > 3cm,IP Profee,23071,,,,,1628.0,,,Glendive_Medical_Center
5440887,23073 Exc shoulder tum deep > 5 cm,IP Profee,23073,,,,,2696.0,,,Glendive_Medical_Center
5451350,23076 Exc Tumor Soft Tiss Shoulder Subfasc <5Cm,IP Profee,23076,,,,,2094.0,,,Glendive_Medical_Center
5451356,23120 Claviculectomy Partial,IP Profee,23120,,,,,2259.0,,,Glendive_Medical_Center
5451360,23130 Partial Repair Or Removal Of Shoulder Bone,IP Profee,23130,,,,,2369.0,,,Glendive_Medical_Center
7348793,23180 Partial Excision Bone Clavicle,IP Profee,23180,,,,,2571.0,,,Glendive_Medical_Center
5451378,23405 Tenotomy Shoulder Area 1 Tendon,IP Profee,23405,,,,,2396.0,,,Glendive_Medical_Center
5451382,23410 Open Repair Of Rotator Cuff Acute,IP Profee,23410,,,,,3173.0,,,Glendive_Medical_Center
5451384,23412 Open Repair Of Rotator Cuff Chronic,IP Profee,23412,,,,,3299.0,,,Glendive_Medical_Center
5451388,23420 Reconstruction Rotator Cuff Avulsion Chronic,IP Profee,23420,,,,,3761.0,,,Glendive_Medical_Center
5451390,23430 Tenodesis Long Tendon Biceps,IP Profee,23430,,,,,2880.0,,,Glendive_Medical_Center
5451392,23440 Resection/Transplantation Long Tendon Biceps,IP Profee,23440,,,,,2925.0,,,Glendive_Medical_Center
5451396,23455 Capsulorrhaphy Anterior W/Labral Repair,IP Profee,23455,,,,,3848.0,,,Glendive_Medical_Center
5451404,23470 Arthroplasty Glenohumrl Jt Hemiarthroplasty,IP Profee,23470,,,,,4652.0,,,Glendive_Medical_Center
5451406,23472 Arthroplasty Glenohumeral Joint Total Shoulder,IP Profee,23472,,,,,5625.0,,,Glendive_Medical_Center
5451410,23500 Clsd Tx Clavicular Fracture W/O Manipulation,IP Profee,23500,,,,,864.0,,,Glendive_Medical_Center
5451412,23515 Open Tx Clavicular Fracture Internal Fixation,IP Profee,23515,,,,,2783.0,,,Glendive_Medical_Center
5451414,23550 Open Tx Acromioclavicular Dislc Acute/Chronic,IP Profee,23550,,,,,2214.0,,,Glendive_Medical_Center
5451418,23570 Closed Tx Scapular Fracture W/O Manipulation,IP Profee,23570,,,,,923.0,,,Glendive_Medical_Center
5451420,23585 Open Tx Scapular Fx W/Internal Fixation If Pfrmd,IP Profee,23585,,,,,3791.0,,,Glendive_Medical_Center
5459177,23600P Cltx Proximal Humeral Fracture W/O Manipulation,IP Profee,23600,,,,,1195.0,,,Glendive_Medical_Center
5451424,23615 Open Treatment Proximal Humeral Fracture,IP Profee,23615,,,,,3417.0,,,Glendive_Medical_Center
5451426,23616 Open Prox Humeral Fracture Prosthetic Rplcmt,IP Profee,23616,,,,,4792.0,,,Glendive_Medical_Center
7348796,23620P Cltx Greater Humeral Tuberosity Fx W/O Mnpj,IP Profee,23620,,,,,992.0,,,Glendive_Medical_Center
5451428,23630 Open Treatment Grter Humeral Tuberosity Fracture,IP Profee,23630,,,,,3014.0,,,Glendive_Medical_Center
5451430,23650P Clsd Tx Shoulder Dislc W/Manipulation W/O Anes,IP Profee,23650,,,,,1120.0,,,Glendive_Medical_Center
5451432,23655 Clsd Tx Shoulder Dislc W/Manipulation Req Anes,IP Profee,23655,,,,,1560.0,,,Glendive_Medical_Center
5451442,23700 Mnpj W/Anes Shoulder Joint W/Fixation Apparatus,IP Profee,23700,,,,,754.0,,,Glendive_Medical_Center
5451448,23930 I&D Upper Arm/Elbow Deep Abscess/Hematoma,IP Profee,23930,,,,,820.0,,,Glendive_Medical_Center
5451450,23931 Incision&Drainage Upper Arm/Elbow Bursa,IP Profee,23931,,,,,599.0,,,Glendive_Medical_Center
5451452,23935 Inc Deep W/Opening Bone Cortex Humerus/Elbow,IP Profee,23935,,,,,1975.0,,,Glendive_Medical_Center
5451460,24066 Biopsy Soft Tissue Upper Arm/Elbow Area Deep,IP Profee,24066,,,,,1604.0,,,Glendive_Medical_Center
5440893,24073 Ex arm/elbow tum deep > 5 cm,IP Profee,24073,,,,,2696.0,,,Glendive_Medical_Center
5451464,24076 Exc Tumor Soft Tiss Upr Arm/Elbow Subfasc <5Cm,IP Profee,24076,,,,,2102.0,,,Glendive_Medical_Center
5451472,24105 Excision Olecranon Bursa,IP Profee,24105,,,,,1364.0,,,Glendive_Medical_Center
6900699,24110 Excision Bone Cyst/Tumor Humerus,IP Profee,24110,,,,,2269.0,,,Glendive_Medical_Center
6516822,24120 Exc Cyst/Tumor - Radius,IP Profee,24120,,,,,2056.0,,,Glendive_Medical_Center
7348797,24130 Excision Radial Head,IP Profee,24130,,,,,1968.0,,,Glendive_Medical_Center
5584150,24201 Removal Foreign Body Upper Arm/Elbow Deep,IP Profee,24201,,,,,1400.0,,,Glendive_Medical_Center
5451492,24300 Manipulation Elbow Under Anesthesia,IP Profee,24300,,,,,1642.0,,,Glendive_Medical_Center
5451496,24340 Tenodesis Biceps Tendon Elbow Spx,IP Profee,24340,,,,,2374.0,,,Glendive_Medical_Center
5451498,24341 Repair Tendon/Muscle Upper Arm/Elbow Ea,IP Profee,24341,,,,,2877.0,,,Glendive_Medical_Center
5451500,24342 Rinsj Rptd Biceps/Triceps Tdn Dstl +-Tdn Grf,IP Profee,24342,,,,,3000.0,,,Glendive_Medical_Center
5451504,24345 Repair Medial Collateral Ligament Elbow,IP Profee,24345,,,,,2712.0,,,Glendive_Medical_Center
6978199,24346 Reconstruct Ligament Elbow Medial W/Graft Tend,IP Profee,24346,,,,,4257.0,,,Glendive_Medical_Center
5451506,24357 Tenotomy Elbow Lateral/Medial Percutaneous,IP Profee,24357,,,,,1605.0,,,Glendive_Medical_Center
5451508,24358 Tnot Elbow Lateral/Medial Debride Open,IP Profee,24358,,,,,2033.0,,,Glendive_Medical_Center
5451522,24435 Repair Non/Malunion Humerus W/Iliac/Oth Agrft,IP Profee,24435,,,,,4159.0,,,Glendive_Medical_Center
5451526,24500 Clsd Tx Humeral Shaft Fracture W/O Manipulation,IP Profee,24500,,,,,1268.0,,,Glendive_Medical_Center
5451528,24505 Cltx Humeral Shft Fx W/Manipulation +-Skel Tracj,IP Profee,24505,,,,,1734.0,,,Glendive_Medical_Center
5451530,24515 Optx Humeral Shft Fx W/Plate/Screws +-Cerclage,IP Profee,24515,,,,,3400.0,,,Glendive_Medical_Center
5451532,24516 Tx Humeral Shaft Fx W/Insj Imed Implt +-Cerclage,IP Profee,24516,,,,,3323.0,,,Glendive_Medical_Center
7348798,24530 Cltx Sprcndylr/Transcndylr Humeral Fx+-Mnpj,IP Profee,24530,,,,,1335.0,,,Glendive_Medical_Center
5451534,24535 Cltx Sprcndylr/Transcndylr Humeral Fx W/Mnpj,IP Profee,24535,,,,,2190.0,,,Glendive_Medical_Center
5451536,24538 Prq Skel Fixj Sprcndylr/Transcndylr Humeral Fx,IP Profee,24538,,,,,2949.0,,,Glendive_Medical_Center
5451538,24545 Open Tx Humeral Supracondylar Fracture W/O Xtn,IP Profee,24545,,,,,3597.0,,,Glendive_Medical_Center
5451540,24546 Open Tx Humeral Supracondylar Fracture W/Xtn,IP Profee,24546,,,,,4017.0,,,Glendive_Medical_Center
5451544,24575 Open Tx Humeral Epicondylar Fracture,IP Profee,24575,,,,,2831.0,,,Glendive_Medical_Center
5451546,24576 Cltx Humeral Condylar Fx Medial/Lat W/O Mnpj,IP Profee,24576,,,,,1190.0,,,Glendive_Medical_Center
5451548,24579 Open Treatment Humeral Condylar Fracture,IP Profee,24579,,,,,3216.0,,,Glendive_Medical_Center
5451550,24582 Prq Skel Fixj Humrl Cndylr Fx Medial/Lat W/Mnpj,IP Profee,24582,,,,,3130.0,,,Glendive_Medical_Center
5451552,24586 Optx Periarticular Fracture &/Dislocation Elbow,IP Profee,24586,,,,,4209.0,,,Glendive_Medical_Center
5451554,24587 Optx Priarticular Fx&/Dislc Elbw W/Implt Arthrp,IP Profee,24587,,,,,4212.0,,,Glendive_Medical_Center
5451556,24600 Treatment Closed Elbow Dislocation W/O Anes,IP Profee,24600,,,,,1301.0,,,Glendive_Medical_Center
5451558,24605 Treatment Closed Elbow Dislocation Req Anes,IP Profee,24605,,,,,1828.0,,,Glendive_Medical_Center
5451560,24620 Closed Tx Monteggia Fx Dislocation Elbow W/Mnpj,IP Profee,24620,,,,,2143.0,,,Glendive_Medical_Center
5451562,24635 Open Tx Monteggia Fracture Dislocation Elbow,IP Profee,24635,,,,,2604.0,,,Glendive_Medical_Center
5451564,24640 Cltx Rdl Head Sublxtj Chld Nursemaid Elbw W/Mnpj,IP Profee,24640,,70.0,,,,,90.0,Glendive_Medical_Center
5451566,24650P Closed Tx Radial Head/Neck Fx W/O Manipulation,IP Profee,24650,,,,,933.0,,,Glendive_Medical_Center
5451568,24665 Open Tx Radial Head/Neck Fracture,IP Profee,24665,,,,,2529.0,,,Glendive_Medical_Center
5451570,24666 Open Tx Radial Head/Neck Fracture Prosthetic,IP Profee,24666,,,,,2834.0,,,Glendive_Medical_Center
7059039,24670P Treat Ulnar Fracture,IP Profee,24670,,,,,1021.0,,,Glendive_Medical_Center
5451574,24685 Open Treatment Ulnar Fracture Proximal End,IP Profee,24685,,,,,2525.0,,,Glendive_Medical_Center
5451576,25000 Incision Extensor Tendon Sheath Wrist,IP Profee,25000,,,,,1305.0,,,Glendive_Medical_Center
5451580,25023 Dcmprn Fasct F/Arm&/Wrst Flxr/Xtnsr W/Dbrdmt,IP Profee,25023,,,,,4622.0,,,Glendive_Medical_Center
5451582,25024 Dcmprn Fasct F/Arm&/Wrst Flxr&Xtnsr W/O Dbrdmt,IP Profee,25024,,,,,3024.0,,,Glendive_Medical_Center
5451584,25028 I&D Forearm&/Wrist Deep Abscess/Hematoma,IP Profee,25028,,,,,2287.0,,,Glendive_Medical_Center
5459253,25031 Incision & Drainage Forearm&/Wrist Bursa,IP Profee,25031,,,,,1352.0,,,Glendive_Medical_Center
5451604,25110 Excision Lesion Tendon Sheath Forearm&/Wrist,IP Profee,25110,,,,,1319.0,,,Glendive_Medical_Center
5451608,25112 Excision Ganglion Wrist Dorsal/Volar Recurrent,IP Profee,25112,,,,,1494.0,,,Glendive_Medical_Center
5451610,25115 Rad Exc Bursa Synva Wrst/F/Arm Tdn Shths Flxrs,IP Profee,25115,,,,,2923.0,,,Glendive_Medical_Center
5451614,25118 Synovectomy Extensor Tendon Shth Wrist 1 Cmprt,IP Profee,25118,,,,,1469.0,,,Glendive_Medical_Center
5451618,25120 Excision/Curettage Cyst/Tumor Radius/Ulna,IP Profee,25120,,,,,1932.0,,,Glendive_Medical_Center
5459279,25130 Excision/Curettage Cyst/Tumor Carpal Bones,IP Profee,25130,,,,,1730.0,,,Glendive_Medical_Center
5451622,25150 Partial Excision Bone Ulna,IP Profee,25150,,,,,2182.0,,,Glendive_Medical_Center
7348799,25259 Manipulate Wrist W/Anesthesia,IP Profee,25259,,,,,1629.0,,,Glendive_Medical_Center
5451638,25260 Rpr Tdn/Musc Flxr F/Arm&/Wrst Prim 1 Ea Tdn/Musc,IP Profee,25260,,,,,2436.0,,,Glendive_Medical_Center
5451640,25270 Rpr Tdn/Musc Xtnsr F/Arm&/Wrst Prim 1 Ea Tdn,IP Profee,25270,,,,,1901.0,,,Glendive_Medical_Center
5459299,25274 Rpr Tdn/Musc Xtnsr F/Arm&/Wrst Sec Fr Grf Ea Tdn,IP Profee,25274,,,,,2571.0,,,Glendive_Medical_Center
5451648,25320 Capsl-Rhphy/Rcnstj Wrst Opn Carpl Ins,IP Profee,25320,,,,,3798.0,,,Glendive_Medical_Center
5451650,25337 Rcnstj Stablj Dstl U/Dstl Jt 2 Soft Tiss Stablj,IP Profee,25337,,,,,3420.0,,,Glendive_Medical_Center
7348800,25360 Revision of Ulna,IP Profee,25360,,,,,2527.0,,,Glendive_Medical_Center
5451660,25405 Rpr Nonunion/Malunion Radius/Ulna W/Autograft,IP Profee,25405,,,,,4013.0,,,Glendive_Medical_Center
7085638,"25415 Repair of nonunion or malunion, radius and ulna",IP Profee,25415,,,,,3748.0,,,Glendive_Medical_Center
5451666,25440 Rpr Nonunion Scaphoid Carpal Bone +-Rdl Stylodc,IP Profee,25440,,,,,2965.0,,,Glendive_Medical_Center
5451670,25447 Arthrp Interpos Intercarpal/Metacarpal Joints,IP Profee,25447,,,,,3200.0,,,Glendive_Medical_Center
5451672,25500 Closed Tx Radial Shaft Fracture W/O Manipulation,IP Profee,25500,,,,,972.0,,,Glendive_Medical_Center
5451674,25505 Closed Tx Radial Shaft Fracture W/Manipulation,IP Profee,25505,,,,,1770.0,,,Glendive_Medical_Center
5451676,25515 Open Treatment Radial Shaft Fracture,IP Profee,25515,,,,,2586.0,,,Glendive_Medical_Center
5451682,25526 Open Rdl Shaft Fx Open Rad/Uln Jt Dislocate,IP Profee,25526,,,,,3693.0,,,Glendive_Medical_Center
5451684,25530 Closed Tx Ulnar Shaft Fracture W/O Manipulation,IP Profee,25530,,,,,922.0,,,Glendive_Medical_Center
5451686,25535 Closed Tx Ulnar Shaft Fracture W/Manipulation,IP Profee,25535,,,,,1747.0,,,Glendive_Medical_Center
5451688,25545 Open Treatment Of Ulnar Shaft Fracture,IP Profee,25545,,,,,2404.0,,,Glendive_Medical_Center
5451690,25560 Closed Tx Radial&Ulnar Shaft Fractures W/O Mnpj,IP Profee,25560,,,,,980.0,,,Glendive_Medical_Center
5451692,25565 Closed Tx Radial&Ulnar Shaft Fractures W/Mnpj,IP Profee,25565,,,,,1793.0,,,Glendive_Medical_Center
5451694,25574 Open Tx Radial & Ulnar Shaft Fx Fixj Radius/Ulna,IP Profee,25574,,,,,2602.0,,,Glendive_Medical_Center
5451696,25575 Open Tx Rdl& Ulnar Shaft Fx Fixj Radius &Ulna,IP Profee,25575,,,,,3484.0,,,Glendive_Medical_Center
5451698,25600 Cltx Dstl Radial Fx/Epiphysl Sep W/O Mnpj,IP Profee,25600,,,,,1214.0,,,Glendive_Medical_Center
5451700,25605 Cltx Dstl Rdl Fx/Epiphysl Sep +-W/Mnpj,IP Profee,25605,,,,,1974.0,,,Glendive_Medical_Center
5451702,25606 Perq Skel Fixj Distal Radial Fx/Epiphysl Sep,IP Profee,25606,,,,,2561.0,,,Glendive_Medical_Center
5451704,25607 Optx Dstl Radl X-Artic Fx/Epiphysl Sep,IP Profee,25607,,,,,2841.0,,,Glendive_Medical_Center
5451706,25608 Optx Dstl Radl I-Artic Fx/Epiphysl Sep 2 Frag,IP Profee,25608,,,,,3187.0,,,Glendive_Medical_Center
5451708,25609P Optx Dstl Radl I-Artic Fx/Epiphysl Sep 3 Frag,IP Profee,25609,,,,,4055.0,,,Glendive_Medical_Center
5451710,25622 Closed Tx Carpal Scaphoid Fracture W/O Mnpj,IP Profee,25622,,,,,1081.0,,,Glendive_Medical_Center
5451712,25628 Open Tx Carpal Scaphoid Navicular Fracture,IP Profee,25628,,,,,2778.0,,,Glendive_Medical_Center
7059040,25630P Treat Wrist Bone Fracture,IP Profee,25630,,,,,1089.0,,,Glendive_Medical_Center
5978943,25650P Closed Treatment Ulnar Styloid Fracture,IP Profee,25650,,,,,1166.0,,,Glendive_Medical_Center
7059041,25651P Percutaneous Skeletal Fixation Of U,IP Profee,25651,,,,,1883.0,,,Glendive_Medical_Center
5451714,25652 Open Treatment Ulnar Styloid Fracture,IP Profee,25652,,,,,2403.0,,,Glendive_Medical_Center
7059042,25660P Treat Wrist Dislocation,IP Profee,25660,,,,,1600.0,,,Glendive_Medical_Center
5563946,25670 Open Tx Radiocarpal/Intercarpal Dislc 1+ Bones,IP Profee,25670,,,,,2349.0,,,Glendive_Medical_Center
7059043,25680P Closed Treatment Of Trans-Scaphoper,IP Profee,25680,,,,,2025.0,,,Glendive_Medical_Center
6773948,25800 FUSION OF WRIST JOINT WO GRAFT,IP Profee,25800,,,,,2827.0,,,Glendive_Medical_Center
5451724,25810 Arthrd Wrst W/Iliac/Oth Agrft,IP Profee,25810,,,,,3349.0,,,Glendive_Medical_Center
6767940,25820 Arthrodesis wrist limited without bone graft,IP Profee,25820,,,,,2437.0,,,Glendive_Medical_Center
5451730,26010 Drainage Finger Abscess Simple,IP Profee,26010,,5.0,,,532.0,,155.0,Glendive_Medical_Center
5451732,26011 Drainage Finger Abscess Complicated,IP Profee,26011,,,,,713.0,,,Glendive_Medical_Center
5451734,26020 Drainage Tendon Sheath Digit&/Palm Each,IP Profee,26020,,,,,2139.0,,,Glendive_Medical_Center
5451736,26025 Drainage Of Palmar Bursa Single Bursa,IP Profee,26025,,,,,1624.0,,,Glendive_Medical_Center
5605163,26034 Incision Bone Cortex Hand/Finger,IP Profee,26034,,,,,2106.0,,,Glendive_Medical_Center
5451740,26035 Decompression Fingers&/Hand Injection Injury,IP Profee,26035,,,,,3317.0,,,Glendive_Medical_Center
5451742,26037 Decompressive Fasciotomy Hand,IP Profee,26037,,,,,2187.0,,,Glendive_Medical_Center
7348806,"26040 Fasciotomy, Palmer Percutaneous",IP Profee,26040,,,,,1206.0,,,Glendive_Medical_Center
7348807,"26045 Fasciotomy, Palmer Open Partial",IP Profee,26045,,,,,1812.0,,,Glendive_Medical_Center
5451744,26055 Tendon Sheath Incision,IP Profee,26055,,,,,1114.0,,,Glendive_Medical_Center
5451746,26070 Arthrt Expl Drg/Rmvl Loose/Fb Carp/Mtcrpl Jt,IP Profee,26070,,,,,1237.0,,,Glendive_Medical_Center
5451748,26075 Arthrt Expl Drg/Rmvl Loose/Fb Mtcarphlngl Jt Ea,IP Profee,26075,,,,,1292.0,,,Glendive_Medical_Center
5451750,26080 Arthrt Expl Drg/Rmvl Loose/Fb Iphal Jt Ea,IP Profee,26080,,,,,1516.0,,,Glendive_Medical_Center
7041952,26111P Exc Tum/Vasc Mal Sft Tiss Hand/Fngr Subq >1.5Cm,IP Profee,26111,,,,,1607.0,,,Glendive_Medical_Center
5563947,26113 Ex Tum/Vasc Mal Sft Tis Hand/Fngr Subfsc 1.5+Cm,IP Profee,26113,,,,,2112.0,,,Glendive_Medical_Center
5451756,26115 Exc Tum/Vasc Mal Sft Tiss Hand/Fngr Subq <1.5Cm,IP Profee,26115,,,,,1274.0,,,Glendive_Medical_Center
5451758,26116 Exc Tum/Vas Mal Sft Tis Hand/Fngr Subfasc<1.5Cm,IP Profee,26116,,,,,2027.0,,,Glendive_Medical_Center
5451760,26121 Fasct Palm +-Z-Plasty Tiss Reargmt/Skn Grf,IP Profee,26121,,,,,2309.0,,,Glendive_Medical_Center
5451762,26123 Fasct Prtl Plmr 1 Dgt Prox Iphal Jt +-Tiss,IP Profee,26123,,,,,3221.0,,,Glendive_Medical_Center
5451764,26125 Fasct Prtl Plmr 1 Dgt Prox Iphal Jt +-Z-Plasty,IP Profee,26125,,,,,1055.0,,,Glendive_Medical_Center
5451768,26140 Synvct Prox Iphal Jt W/Xtnsr Rcnstj Ea Iphal Jt,IP Profee,26140,,,,,1952.0,,,Glendive_Medical_Center
5451770,26145 Synvct Tdn Shth Rad Flxr Tdn Palm&/Fngr Ea Tdn,IP Profee,26145,,,,,1985.0,,,Glendive_Medical_Center
5451772,26160 Exc Les Tdn Shth/Jt Capsl Hand/Fngr,IP Profee,26160,,,,,1211.0,,,Glendive_Medical_Center
7059045,26200P Remove Hand Bone Lesion,IP Profee,26200,,,,,1743.0,,,Glendive_Medical_Center
5464247,26210 Excision/Curettage Cyst/Tumor Phalanx Finger,IP Profee,26210,,,,,1713.0,,,Glendive_Medical_Center
5605236,26230 Partial Excision Bone Metacarpal,IP Profee,26230,,,,,1930.0,,,Glendive_Medical_Center
7348808,26320 Removal of Implant from Hand,IP Profee,26320,,,,,1341.0,,,Glendive_Medical_Center
5671227,26340P Manipulation Finger Joint Under Anes Each Joint,IP Profee,26340,,,,,1312.0,,,Glendive_Medical_Center
5451782,26350 Rpr/Advmnt Flxr Tdn N/Z/2 1/2 W/O Fr Grf Ea Tdn,IP Profee,26350,,,,,2789.0,,,Glendive_Medical_Center
5587385,26352 Rpr/Advmnt Flxr Tdn N/Z/2 2W/Fr Grf Ea Tdn,IP Profee,26352,,,,,3125.0,,,Glendive_Medical_Center
5451784,26356 Rpr/Advmnt Flxr Tdn Zone 2 1W/O Fr Grf Ea Tdn,IP Profee,26356,,,,,3063.0,,,Glendive_Medical_Center
5451786,26357 Rpr/Advmnt Flxr Tdn Zone 2 2W/O Fr Grf Ea Tdn,IP Profee,26357,,,,,3433.0,,,Glendive_Medical_Center
5451788,26358 Rpr/Advmnt Flxr Tdn Zone 2 2W/Fr Grf Ea Tdn,IP Profee,26358,,,,,3800.0,,,Glendive_Medical_Center
5451790,26370 Rpr/Advmnt Tdn W/Ntc Supfcis Tdn Prim Ea Tdn,IP Profee,26370,,,,,2945.0,,,Glendive_Medical_Center
7348809,26390 Exc Flxr Tdn W/Impltj Synth Rod Dlyd Tdn Grf H/F,IP Profee,26390,,,,,3280.0,,,Glendive_Medical_Center
7348810,26392 Repair/Grant Hand Tendon,IP Profee,26392,,,,,3786.0,,,Glendive_Medical_Center
5451796,26410 Repair Extensor Tendon Hand W/O Graft Each,IP Profee,26410,,,,,2219.0,,,Glendive_Medical_Center
5451800,26418 Repair Extensor Tendon Finger W/O Graft Each,IP Profee,26418,,,,,2282.0,,,Glendive_Medical_Center
6793273,"26432 Closed treatment of distal extensor tendon insertion, w/ or w/o percutaneous pinning",IP Profee,26432,,,,,1970.0,,,Glendive_Medical_Center
5451806,26433 Repair Extensor Tendon Distal Insertion W/O Grf,IP Profee,26433,,,,,2093.0,,,Glendive_Medical_Center
5451810,26440 Tenolysis Flexor Tendon Palm/Finger Each Tendon,IP Profee,26440,,,,,2417.0,,,Glendive_Medical_Center
5629848,26442 Tenolysis Flexor Tendon Palm&Finger Each Tendon,IP Profee,26442,,,,,3721.0,,,Glendive_Medical_Center
5451812,26445 Tenolysis Extensor Tendon Hand/Finger Each,IP Profee,26445,,,,,2253.0,,,Glendive_Medical_Center
7348811,26502 Hand Tendon Reconstruction,IP Profee,26502,,,,,2795.0,,,Glendive_Medical_Center
5682112,26525 Capsulectomy/Capsulotomy Iphal Joint Each,IP Profee,26525,,,,,2545.0,,,Glendive_Medical_Center
5756205,26530 Arthroplasty Metacarpophalangeal Joint Each,IP Profee,26530,,,,,2080.0,,,Glendive_Medical_Center
5565376,26540 Rpr Coltrl Ligm Mtcarphlngl/Iphal Jt,IP Profee,26540,,,,,2589.0,,,Glendive_Medical_Center
5451824,26542 Rcnstj Coltrl Ligm Mtcarphlngl 1 W/Local Tiss,IP Profee,26542,,,,,2671.0,,,Glendive_Medical_Center
7348812,26565 Correct Metacarpal Flaw,IP Profee,26565,,,,,2660.0,,,Glendive_Medical_Center
7059062,"26567P Osteotomy, Phalanx Of Finger, Each",IP Profee,26567,,,,,2676.0,,,Glendive_Medical_Center
5451836,26600 Cltx Mtcrpl Fx 1 W/O Mnpj Ea B1,IP Profee,26600,,,,,1080.0,,,Glendive_Medical_Center
5451838,26605 Cltx Mtcrpl Fx 1 W/Mnpj Ea B1,IP Profee,26605,,,,,1132.0,,,Glendive_Medical_Center
5451842,26608 Prq Skel Fixj Mtcrpl Fx Ea B1,IP Profee,26608,,,,,1849.0,,,Glendive_Medical_Center
5451844,26615 Open Tx Metacarpal Fracture Single Ea Bone,IP Profee,26615,,,,,2218.0,,,Glendive_Medical_Center
5451848,26645 Cltx Carp/Mtcrpl Fx Dislc Thmb W/Mnpj,IP Profee,26645,,,,,1517.0,,,Glendive_Medical_Center
5451858,26676 Prq Skel Fixj Carp/Mtcrpl Dislc Thmb Mnpj Ea Jt,IP Profee,26676,,,,,1948.0,,,Glendive_Medical_Center
5451864,26700 Cltx Mtcarphlngl Dislc 1 W/Mnpj W/O Anes,IP Profee,26700,,,,,1187.0,,,Glendive_Medical_Center
5451866,26705 Cltx Mtcarphlngl Dislc 1 W/Mnpj Req Anes,IP Profee,26705,,,,,1477.0,,,Glendive_Medical_Center
5451868,26715 Open Treatment Metacarpophalangeal Dislocation 1,IP Profee,26715,,,,,2207.0,,,Glendive_Medical_Center
5451870,26720 Cltx Phlngl Fx Prox/Middle Px/F/T W/O Mnpj Ea,IP Profee,26720,,,,,713.0,,,Glendive_Medical_Center
5451872,26725 Cltx Phlngl Fx Prox/Middle Px/F/T W/Mnpj Ea,IP Profee,26725,,,,,1170.0,,,Glendive_Medical_Center
5451874,26727 Prq Skel Fixj Phlngl Shft Fx Prox/Middle Px/F/T,IP Profee,26727,,,,,1817.0,,,Glendive_Medical_Center
5451876,26735 Open Tx Phalangeal Shaft Fracture Prox/Middle Ea,IP Profee,26735,,,,,2293.0,,,Glendive_Medical_Center
5451878,26740 Cltx Articular Fx Invg Mtcarphlngl/Iphal Jt W/O,IP Profee,26740,,,,,838.0,,,Glendive_Medical_Center
5451882,26746 Open Tx Articular Fracture Mcp/Ip Joint Ea,IP Profee,26746,,,,,2865.0,,,Glendive_Medical_Center
5451884,26750P Cltx Dstl Phlngl Fx Fngr/Thmb W/O Mnpj Ea,IP Profee,26750,,,,,717.0,,,Glendive_Medical_Center
5451886,26755 Cltx Dstl Phlngl Fx Fngr/Thmb W/Mnpj Ea,IP Profee,26755,,,,,1055.0,,,Glendive_Medical_Center
5451888,26756 Prq Skel Fixj Dstl Phlngl Fx Fngr/Thmb Ea,IP Profee,26756,,,,,1624.0,,,Glendive_Medical_Center
5451890,26765 Open Tx Distal Phalangeal Fracture Each,IP Profee,26765,,,,,1932.0,,,Glendive_Medical_Center
5451892,26770 Cltx Iphal Jt Dislc 1 W/Mnpj W/O Anes,IP Profee,26770,,,,,993.0,,,Glendive_Medical_Center
5451894,26775 Cltx Iphal Jt Dislc 1 W/Mnpj Req Anes,IP Profee,26775,,,,,1335.0,,,Glendive_Medical_Center
5451898,26785 Open Tx Interphalangeal Joint Dislocation 1,IP Profee,26785,,,,,2105.0,,,Glendive_Medical_Center
7319415,"26841 Arthrodesis, carpometacarpal joint, thumb, with or without internal fixation;",IP Profee,26841,,,,,2849.0,,,Glendive_Medical_Center
